description,drugbank-id,name,reagent-id
The risk or severity of adverse effects can be increased when Interferon gamma-1b is combined with Zidovudine.,BIOD00017,Zidovudine,DB00495
"The risk or severity of adverse effects can be increased when Interferon Alfa-2a, Recombinant is combined with Zidovudine.",DB00037,Zidovudine,DB00495
The therapeutic efficacy of Desmopressin can be decreased when used in combination with Lithium.,BIOD00061,Lithium,DB01356
Cyclophosphamide may increase the cardiotoxic activities of Oprelvekin.,BIOD00021,Cyclophosphamide,DB00531
The serum concentration of Palifermin can be increased when it is combined with Heparin.,BIOD00042,Heparin,DB01109
Glucagon recombinant may increase the anticoagulant activities of Tioclomarol.,BIOD00057,Tioclomarol,DB13451
Aldesleukin may increase the hypotensive activities of Risperidone.,BIOD00082,Risperidone,DB00734
Bekanamycin may increase the neuromuscular blocking activities of Botulinum Toxin Type B.,BIOD00070,Bekanamycin,DB13673
The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Omalizumab.,BIOD00081,Hepatitis B Vaccine (Recombinant),DB11627
Trolamine salicylate may increase the hypoglycemic activities of Insulin Lispro.,DB01310,Trolamine salicylate,DB11079
Trolamine salicylate may increase the hypoglycemic activities of Insulin Glargine.,DB01308,Trolamine salicylate,DB11079
The risk or severity of adverse effects can be increased when Ticagrelor is combined with Collagenase clostridium histolyticum.,DB11249,Ticagrelor,DB08816
Sarilumab may increase the immunosuppressive activities of Rasburicase.,BIOD00090,Sarilumab,DB11767
The serum concentration of Cyclosporine can be decreased when it is combined with Adalimumab.,BIOD00049,Cyclosporine,DB00091
The therapeutic efficacy of Cortisone acetate can be decreased when used in combination with Somatotropin.,DB06417,Cortisone acetate,DB01380
The risk or severity of adverse effects can be increased when Abciximab is combined with Azficel-T.,BIOD00041,Azficel-T,DB11051
The risk or severity of adverse effects can be increased when Drotrecogin alfa is combined with Treprostinil.,BIOD00068,Treprostinil,DB00374
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Gemtuzumab ozogamicin.,BIOD00077,Sipuleucel-T,DB06688
The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Indium In-111 satumomab pendetide.,BIOD00108,Hepatitis B Vaccine (Recombinant),DB11627
The serum concentration of Zidovudine can be decreased when it is combined with Alpha-1-proteinase inhibitor.,BIOD00002,Zidovudine,DB00495
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Pegaspargase.,BIOD00079,Sipuleucel-T,DB06688
The risk or severity of adverse effects can be increased when Interferon beta-1a is combined with Zidovudine.,BIOD00093,Zidovudine,DB00495
The therapeutic efficacy of Pegademase bovine can be decreased when used in combination with Pegloticase.,BIOD00100,Pegloticase,DB09208
Vitamin E may increase the antiplatelet activities of Eptifibatide.,BIOD00063,Vitamin E,DB00163
Trastuzumab may increase the neutropenic activities of Infliximab.,BIOD00004,Trastuzumab,DB00072
The therapeutic efficacy of Vasopressin can be decreased when used in combination with Patent Blue.,DB09392,Patent Blue,DB13967
The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Zidovudine.,BIOD00078,Zidovudine,DB00495
The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Zidovudine.,BIOD00062,Zidovudine,DB00495
The risk or severity of adverse effects can be increased when Hyaluronidase is combined with Metabutethamine.,BIOD00022,Metabutethamine,DB13578
Insulin Pork may increase the hypoglycemic activities of Insulin Glulisine.,BIOD00031,Insulin Glulisine,DB01309
Trastuzumab may increase the neutropenic activities of Wortmannin.,BIOD00098,Wortmannin,DB08059
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Rituximab.,BIOD00014,Sipuleucel-T,DB06688
Trastuzumab may increase the neutropenic activities of Basiliximab.,BIOD00073,Trastuzumab,DB00072
Trastuzumab may increase the neutropenic activities of Muromonab.,BIOD00005,Trastuzumab,DB00072
The risk or severity of adverse effects can be increased when Licorice is combined with Digoxin Immune Fab (Ovine).,BIOD00027,Licorice,DB10675
The risk or severity of adverse effects can be increased when Ticagrelor is combined with Ibritumomab tiuxetan.,BIOD00069,Ticagrelor,DB08816
The risk or severity of adverse effects can be increased when Mevastatin is combined with Daptomycin.,BIOD00111,Mevastatin,DB06693
The risk or severity of adverse effects can be increased when Ticagrelor is combined with Tositumomab.,DB09557,Ticagrelor,DB08816
Pegvisomant may increase the hypoglycemic activities of Sulfisoxazole.,BIOD00044,Sulfisoxazole,DB00263
Bekanamycin may increase the neuromuscular blocking activities of Botulinum Toxin Type A.,BIOD00092,Bekanamycin,DB13673
Pancrelipase can cause a decrease in the absorption of Ferric pyrophosphate resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB05356,Ferric pyrophosphate,DB09147
The risk or severity of adverse effects can be increased when Streptokinase is combined with Treprostinil.,BIOD00028,Treprostinil,DB00374
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Alemtuzumab.,BIOD00109,Sipuleucel-T,DB06688
The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Capromab pendetide.,BIOD00080,Hepatitis B Vaccine (Recombinant),DB11627
The serum concentration of Cyclosporine can be increased when it is combined with Dasatinib.,BIOD00003,Dasatinib,DB01254
Trastuzumab may increase the neutropenic activities of Alefacept.,BIOD00055,Trastuzumab,DB00072
The therapeutic efficacy of Felypressin can be decreased when used in combination with Patent Blue.,BIOD00114,Patent Blue,DB13967
Trastuzumab may increase the neutropenic activities of Efalizumab.,BIOD00074,Trastuzumab,DB00072
Trastuzumab may increase the neutropenic activities of Antithymocyte immunoglobulin (rabbit).,BIOD00040,Trastuzumab,DB00072
The risk or severity of adverse effects can be increased when Filgrastim is combined with Cyclophosphamide.,DB09560,Cyclophosphamide,DB00531
The risk or severity of adverse effects can be increased when Aminocaproic Acid is combined with Coagulation Factor IX (Recombinant).,BIOD00038,Aminocaproic Acid,DB00513
The risk or severity of adverse effects can be increased when Becaplermin is combined with Azficel-T.,BIOD00053,Azficel-T,DB11051
The therapeutic efficacy of Agalsidase beta can be decreased when used in combination with Amiodarone.,BIOD00075,Amiodarone,DB01118
"The therapeutic efficacy of (1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE can be decreased when used in combination with Octreotide.",BIOD00088,"(1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE",DB08044
"The risk or severity of adverse effects can be increased when Interferon Alfa-2b, Recombinant is combined with Zidovudine.",DB05600,Zidovudine,DB00495
Oxytocin may increase the QTc-prolonging activities of Lenvatinib.,BIOD00016,Lenvatinib,DB09078
Trastuzumab may increase the neutropenic activities of Natalizumab.,BIOD00083,Trastuzumab,DB00072
The metabolism of Enfuvirtide can be decreased when combined with Nicotine.,BIOD00106,Nicotine,DB00184
The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Palivizumab.,BIOD00097,Hepatitis B Vaccine (Recombinant),DB11627
Trastuzumab may increase the neutropenic activities of Daclizumab.,BIOD00007,Trastuzumab,DB00072
The risk or severity of adverse effects can be increased when Bevacizumab is combined with Sorafenib.,BIOD00087,Sorafenib,DB00398
The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Technetium Tc-99m arcitumomab.,BIOD00107,Hepatitis B Vaccine (Recombinant),DB11627
The serum concentration of Cyanocobalamin can be decreased when it is combined with Colchicine.,EXPT00965,Colchicine,DB01394
Trastuzumab may increase the neutropenic activities of L-Phenylalanine.,NUTR00044,Trastuzumab,DB00072
The serum concentration of Choline can be increased when it is combined with Bupropion.,NUTR00020,Bupropion,DB01156
The serum concentration of Bazedoxifene can be increased when it is combined with Vitamin C.,DB11317,Bazedoxifene,DB06401
The therapeutic efficacy of Lactulose can be decreased when used in combination with L-Glutamine.,NUTR00026,Lactulose,DB00581
The therapeutic efficacy of Levodopa can be decreased when used in combination with Methionine.,NUTR00038,Levodopa,DB01235
The serum concentration of Calcitriol can be increased when it is combined with Dasatinib.,DB05314,Dasatinib,DB01254
Riboflavin may increase the photosensitizing activities of Verteporfin.,DB09358,Verteporfin,DB00460
"The serum concentration of 2,5-Dimethoxy-4-ethylthioamphetamine can be decreased when it is combined with Glutamic Acid.",NUTR00027,"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940
The risk or severity of adverse effects can be increased when Glycine is combined with Memantine.,NUTR00028,Memantine,DB01043
Calcidiol may increase the arrhythmogenic activities of Digoxin Immune Fab (Ovine).,APRD00428,Digoxin Immune Fab (Ovine),DB00076
L-Tryptophan may increase the serotonergic activities of Vilazodone.,EXPT02064,Vilazodone,DB06684
The serum concentration of Ergocalciferol can be increased when it is combined with Dasatinib.,APRD00426,Dasatinib,DB01254
The serum concentration of Folic Acid can be increased when it is combined with Teriflunomide.,NUTR00025,Teriflunomide,DB08880
The risk or severity of adverse effects can be increased when Fluticasone is combined with Icosapent.,NUTR00024,Fluticasone,DB13867
Cyclophosphamide may increase the cardiotoxic activities of Vitamin A.,APRD00486,Cyclophosphamide,DB00531
Vitamin E may increase the antiplatelet activities of Ramatroban.,EXPT03227,Ramatroban,DB13036
The metabolism of Phenytoin can be increased when combined with Pyridoxine.,APRD00204,Phenytoin,DB00252
The therapeutic efficacy of Cisplatin can be decreased when used in combination with Lipoic Acid.,NUTR00035,Cisplatin,DB00515
The serum concentration of Cholecalciferol can be increased when it is combined with Dasatinib.,APRD00506,Dasatinib,DB01254
The serum concentration of Menadione can be decreased when it is combined with Osimertinib.,NUTR00062,Osimertinib,DB09330
"The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Adenine.",EXPT00520,Irinotecan,DB00762
The serum concentration of Pravastatin can be increased when it is combined with Dasatinib.,APRD00328,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.,APRD00425,Doxylamine,DB00366
The serum concentration of Valsartan can be decreased when it is combined with Apalutamide.,APRD00133,Apalutamide,DB11901
Trimethoprim may increase the hyperkalemic activities of Ramipril.,APRD00009,Trimethoprim,DB00440
The risk or severity of adverse effects can be increased when Masoprocol is combined with Pitolisant.,DB05900,Pitolisant,DB11642
The serum concentration of Flunisolide can be increased when it is combined with Dasatinib.,APRD00976,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Baclofen.,APRD00551,Doxylamine,DB00366
Amphetamine may increase the hypertensive activities of Norepinephrine.,APRD00480,Norepinephrine,DB00368
The serum concentration of Nicotine can be increased when it is combined with Dasatinib.,DB11303,Dasatinib,DB01254
The serum concentration of Cevimeline can be increased when it is combined with Dasatinib.,APRD00224,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Lorazepam.,APRD00116,Doxylamine,DB00366
Esmolol may increase the hypoglycemic activities of Metahexamide.,APRD00954,Metahexamide,DB13675
The serum concentration of Bortezomib can be increased when it is combined with Dasatinib.,DB07475,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Ethchlorvynol.,APRD00958,Doxylamine,DB00366
The therapeutic efficacy of Droxidopa can be decreased when used in combination with Carbidopa.,APRD00160,Droxidopa,DB06262
The risk or severity of adverse effects can be increased when Ethanol is combined with Phentermine.,APRD00093,Ethanol,DB00898
Tramadol may increase the constipating activities of Ramosetron.,APRD00028,Ramosetron,DB09290
Vidarabine may increase the myelosuppressive activities of Lipegfilgrastim.,EXPT02753,Lipegfilgrastim,DB13200
The serum concentration of Brexpiprazole can be increased when it is combined with Betaxolol.,APRD00245,Brexpiprazole,DB09128
Fluconazole may increase the QTc-prolonging activities of Delamanid.,APRD00327,Delamanid,DB11637
The serum concentration of Troglitazone can be increased when it is combined with Dasatinib.,APRD00488,Dasatinib,DB01254
The serum concentration of the active metabolites of Oseltamivir can be increased when Oseltamivir is used in combination with Probenecid.,APRD01148,Probenecid,DB01032
The serum concentration of Erythromycin can be increased when it is combined with Dasatinib.,APRD00953,Dasatinib,DB01254
The serum concentration of Caffeine can be increased when it is combined with Dasatinib.,APRD00673,Dasatinib,DB01254
Vancomycin may increase the neuromuscular blocking activities of Succinylcholine.,APRD00159,Vancomycin,DB00512
The serum concentration of Sildenafil can be increased when it is combined with Dasatinib.,APRD00556,Dasatinib,DB01254
The serum concentration of Dofetilide can be increased when it is combined with Dasatinib.,APRD00367,Dasatinib,DB01254
The metabolism of Avatrombopag can be decreased when combined with Pyrimethamine.,APRD00599,Avatrombopag,DB11995
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Reserpine.,APRD00472,Doxylamine,DB00366
The serum concentration of Azithromycin can be increased when it is combined with Dasatinib.,APRD00397,Dasatinib,DB01254
The serum concentration of Bupropion can be increased when it is combined with Ticlopidine.,APRD01257,Bupropion,DB01156
The risk or severity of adverse effects can be increased when Trospium is combined with Nicomorphine.,APRD00393,Nicomorphine,DB13454
The risk or severity of adverse effects can be increased when Adapalene is combined with Pitolisant.,APRD00780,Pitolisant,DB11642
Nabilone may increase the tachycardic activities of Midodrine.,APRD01116,Nabilone,DB00486
The serum concentration of Zidovudine can be decreased when it is combined with Remikiren.,APRD00163,Zidovudine,DB00495
The serum concentration of Brentuximab vedotin can be increased when it is combined with Pantoprazole.,APRD00073,Brentuximab vedotin,DB08870
The serum concentration of Torasemide can be decreased when it is combined with Apalutamide.,APRD00217,Apalutamide,DB11901
The serum concentration of Citalopram can be increased when it is combined with Dasatinib.,APRD00147,Dasatinib,DB01254
The serum concentration of Eletriptan can be increased when it is combined with Dasatinib.,APRD00945,Dasatinib,DB01254
Iloprost may increase the hypotensive activities of Bethanidine.,APRD00825,Iloprost,DB01088
Moxifloxacin may increase the QTc-prolonging activities of Delamanid.,APRD00281,Delamanid,DB11637
The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Nicomorphine.,APRD00189,Nicomorphine,DB13454
Nelfinavir may increase the QTc-prolonging activities of Delamanid.,APRD00003,Delamanid,DB11637
Racepinephrine may decrease the vasoconstricting activities of Isoetarine.,APRD00750,Racepinephrine,DB11124
The serum concentration of Glimepiride can be increased when it is combined with Voriconazole.,APRD00381,Voriconazole,DB00582
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Diflorasone.,APRD00921,Corticorelin ovine triflutate,DB09067
Indinavir may increase the QTc-prolonging activities of Delamanid.,APRD00069,Delamanid,DB11637
Iloprost may increase the hypotensive activities of Guanadrel.,APRD01006,Iloprost,DB01088
The serum concentration of Lovastatin can be increased when it is combined with Dasatinib.,APRD00370,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Enflurane.,APRD00234,Doxylamine,DB00366
The serum concentration of Cefotiam can be increased when it is combined with Probenecid.,APRD00855,Probenecid,DB01032
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Pregabalin.,APRD01198,Doxylamine,DB00366
The serum concentration of Temazepam can be increased when it is combined with Dasatinib.,APRD00676,Dasatinib,DB01254
Alaproclate may increase the hyponatremic activities of Methyclothiazide.,APRD01104,Alaproclate,DB13233
The risk or severity of adverse effects can be increased when Aminosalicylic Acid is combined with Deflazacort.,DB09367,Deflazacort,DB11921
The serum concentration of Reboxetine can be increased when it is combined with Dasatinib.,APRD00198,Dasatinib,DB01254
Milrinone may increase the antiplatelet activities of Relcovaptan.,APRD00010,Relcovaptan,DB13929
Cyclophosphamide may increase the cardiotoxic activities of Pipobroman.,APRD00693,Cyclophosphamide,DB00531
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Butabarbital.,APRD00752,Doxylamine,DB00366
The serum concentration of Agomelatine can be increased when it is combined with Nevirapine.,DB08311,Agomelatine,DB06594
The therapeutic efficacy of Oxiconazole can be increased when used in combination with Menthol.,APRD01154,Menthol,DB00825
The serum concentration of Alclometasone can be increased when it is combined with Dasatinib.,APRD00783,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Butalbital.,APRD00266,Doxylamine,DB00366
The serum concentration of Cladribine can be increased when it is combined with Teriflunomide.,APRD00260,Teriflunomide,DB08880
The serum concentration of Vindesine can be increased when it is combined with Ranolazine.,APRD01300,Vindesine,DB00309
The risk or severity of adverse effects can be increased when Mesalazine is combined with Pitolisant.,DB06396,Pitolisant,DB11642
The risk or severity of adverse effects can be increased when Benzatropine is combined with Nicomorphine.,APRD00748,Nicomorphine,DB13454
The serum concentration of Ziprasidone can be increased when it is combined with Dasatinib.,APRD00540,Dasatinib,DB01254
The metabolism of Methysergide can be decreased when combined with Procarbazine.,APRD00463,Procarbazine,DB01168
The serum concentration of Cabergoline can be increased when it is combined with Dasatinib.,APRD00836,Dasatinib,DB01254
The serum concentration of Dapsone can be increased when it is combined with Dasatinib.,APRD00345,Dasatinib,DB01254
The therapeutic efficacy of Terconazole can be increased when used in combination with Menthol.,APRD00659,Menthol,DB00825
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Phenytoin.,APRD00241,Doxylamine,DB00366
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Medrysone.,APRD01091,Corticorelin ovine triflutate,DB09067
Doxycycline may increase the anticoagulant activities of Tioclomarol.,APRD00597,Tioclomarol,DB13451
The serum concentration of Diethylstilbestrol can be decreased when it is combined with Apalutamide.,EXPT01164,Apalutamide,DB11901
The serum concentration of Medrogestone can be decreased when it is combined with Lymecycline.,EXPT01049,Medrogestone,DB09124
The serum concentration of Bupropion can be increased when it is combined with Clotrimazole.,APRD00244,Bupropion,DB01156
The therapeutic efficacy of Menthol can be decreased when used in combination with Calcium Acetate.,APRD00839,Menthol,DB00825
The serum concentration of Rilpivirine can be increased when it is combined with Sulfanilamide.,APRD00438,Rilpivirine,DB08864
The risk or severity of adverse effects can be increased when Isoniazid is combined with Cycloserine.,DB03123,Isoniazid,DB00951
Anagrelide may increase the QTc-prolonging activities of Delamanid.,APRD00798,Delamanid,DB11637
The serum concentration of Carmustine can be decreased when it is combined with Osimertinib.,APRD00006,Osimertinib,DB09330
The serum concentration of Sulfisoxazole can be decreased when it is combined with Apalutamide.,APRD00595,Apalutamide,DB11901
The serum concentration of Brexpiprazole can be increased when it is combined with Metoprolol.,APRD00208,Brexpiprazole,DB09128
The risk or severity of adverse effects can be increased when Dicoumarol is combined with Azficel-T.,APRD00761,Azficel-T,DB11051
The serum concentration of Cefmenoxime can be increased when it is combined with Probenecid.,APRD00851,Probenecid,DB01032
The serum concentration of Ropinirole can be increased when it is combined with Dasatinib.,APRD00302,Dasatinib,DB01254
Chlorotrianisene may increase the thrombogenic activities of Conestat alfa.,APRD00715,Conestat alfa,DB09228
The serum concentration of Isradipine can be increased when it is combined with Dasatinib.,APRD00298,Dasatinib,DB01254
The risk of a hypersensitivity reaction to Diatrizoate is increased when it is combined with Aldesleukin.,APRD00913,Aldesleukin,DB00041
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Topiramate.,APRD00237,Doxylamine,DB00366
The serum concentration of Cefmetazole can be increased when it is combined with Probenecid.,APRD00852,Probenecid,DB01032
The serum concentration of Olmesartan can be decreased when it is combined with Apalutamide.,APRD00223,Apalutamide,DB11901
The serum concentration of Brentuximab vedotin can be increased when it is combined with Amsacrine.,APRD00064,Brentuximab vedotin,DB08870
The serum concentration of Theophylline can be increased when it is combined with Dasatinib.,DB09359,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Argatroban is combined with Azficel-T.,APRD00105,Azficel-T,DB11051
The serum concentration of Liothyronine can be decreased when it is combined with Apalutamide.,APRD01074,Apalutamide,DB11901
The serum concentration of Disopyramide can be increased when it is combined with Dasatinib.,APRD00507,Dasatinib,DB01254
The serum concentration of Lidocaine can be increased when it is combined with Dasatinib.,DB05291,Dasatinib,DB01254
The risk or severity of adverse effects can be increased when Palmidrol is combined with Pamidronate.,APRD01161,Palmidrol,DB14043
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Clemastine.,APRD00875,Doxylamine,DB00366
Trolamine salicylate may increase the hypoglycemic activities of Acarbose.,APRD00656,Trolamine salicylate,DB11079
The serum concentration of Bupropion can be increased when it is combined with Venlafaxine.,APRD00125,Bupropion,DB01156
The serum concentration of Conjugated estrogens can be increased when it is combined with Dasatinib.,APRD00396,Dasatinib,DB01254
Iloprost may increase the hypotensive activities of Travoprost.,APRD01271,Iloprost,DB01088
The therapeutic efficacy of Corticorelin ovine triflutate can be decreased when used in combination with Amcinonide.,APRD00788,Corticorelin ovine triflutate,DB09067
The serum concentration of Rilpivirine can be increased when it is combined with Atomoxetine.,APRD00614,Rilpivirine,DB08864
The risk or severity of adverse effects can be increased when Sargramostim is combined with Bleomycin.,EXPT00718,Sargramostim,DB00020
The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Chlorambucil.,APRD00115,Sipuleucel-T,DB06688
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Etomidate.,APRD00965,Doxylamine,DB00366
Cyclophosphamide may increase the cardiotoxic activities of Raltitrexed.,EXPT01092,Cyclophosphamide,DB00531
The serum concentration of Etonogestrel can be increased when it is combined with Dasatinib.,APRD00766,Dasatinib,DB01254
Morphine may increase the constipating activities of Ramosetron.,DB05354,Ramosetron,DB09290
The serum concentration of Ropivacaine can be increased when it is combined with Dasatinib.,APRD00492,Dasatinib,DB01254
The serum concentration of Bupivacaine can be increased when it is combined with Dasatinib.,APRD00247,Dasatinib,DB01254
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Dapiprazole.,APRD00902,Doxylamine,DB00366
The serum concentration of Agomelatine can be increased when it is combined with Tenofovir disoproxil.,DB13426,Agomelatine,DB06594
The serum concentration of Methotrexate can be increased when it is combined with Flucloxacillin.,APRD00609,Methotrexate,DB00563
Tretinoin may increase the thrombogenic activities of Tranexamic Acid.,EXPT00508,Tretinoin,DB00755
The serum concentration of Ertapenem can be increased when it is combined with Probenecid.,APRD00952,Probenecid,DB01032
Desogestrel may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.,APRD00762,Lamotrigine,DB00555
The serum concentration of Brentuximab vedotin can be increased when it is combined with Mitomycin.,APRD00284,Brentuximab vedotin,DB08870
The risk or severity of sedation and somnolence can be increased when Talbutal is combined with Deutetrabenazine.,APRD01333,Deutetrabenazine,DB12161
The serum concentration of Bexarotene can be increased when it is combined with Dasatinib.,APRD00114,Dasatinib,DB01254
Ibutilide may increase the QTc-prolonging activities of Delamanid.,APRD01025,Delamanid,DB11637
The serum concentration of Vindesine can be increased when it is combined with Dasatinib.,APRD00392,Dasatinib,DB01254
Yohimbine may decrease the antihypertensive activities of Chlorthalidone.,APRD00127,Yohimbine,DB01392
The risk or severity of adverse effects can be increased when Ethoxzolamide is combined with Phenytoin.,DB07727,Phenytoin,DB00252
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Pentobarbital.,APRD01174,Doxylamine,DB00366
Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Valproic Acid.,APRD00066,Doxylamine,DB00366
Capreomycin may increase the neuromuscular blocking activities of Colistimethate.,APRD00844,Colistimethate,DB01111
The serum concentration of Zolmitriptan can be increased when it is combined with Propranolol.,APRD00376,Propranolol,DB00571
Acetaminophen may increase the hepatotoxic activities of Mipomersen.,APRD00252,Mipomersen,DB05528
The serum concentration of Gefitinib can be increased when it is combined with Dasatinib.,DB07998,Dasatinib,DB01254
Codeine may increase the constipating activities of Ramosetron.,DB09471,Ramosetron,DB09290
