left-id,left-name,right-id,right-name,sequence
DB00188,Bortezomib,DBMET01081,Bortezomib metabolite M34,1
DB00188,Bortezomib,DBMET01122,Bortezomib metabolite M23 or M24 (1),1
DB00188,Bortezomib,DBMET01124,Bortezomib metabolite M23 or M24 (2),1
DBMET01061,Bortezomib metabolite M1,DBMET01063,Bortezomib metabolite M3,2
DBMET01062,Bortezomib metabolite M2,DBMET01063,Bortezomib metabolite M3,2
DBMET01061,Bortezomib metabolite M1,DBMET01065,Bortezomib metabolite M5,2
DBMET01062,Bortezomib metabolite M2,DBMET01066,Bortezomib metabolite M6,2
DBMET01062,Bortezomib metabolite M2,DBMET01067,Bortezomib metabolite M8,2
DBMET01061,Bortezomib metabolite M1,DBMET01082,Bortezomib metabolite M25,2
DBMET01061,Bortezomib metabolite M1,DBMET01084,Bortezomib metabolite M26,2
DBMET01062,Bortezomib metabolite M2,DBMET01085,Bortezomib metabolite M27,2
DBMET01062,Bortezomib metabolite M2,DBMET01086,Bortezomib metabolite M28,2
DBMET01063,Bortezomib metabolite M3,DBMET01064,Bortezomib metabolite M4,3
DBMET01067,Bortezomib metabolite M8,DBMET01068,Bortezomib metabolite M33,3
DB00190,Carbidopa,DBMET00637,"3,4-Dihydroxyphenylacetone",1
DB00190,Carbidopa,DBMET00698,3-(3-hydroxyphenyl)-2-methyllactic acid,1
DB00190,Carbidopa,DBMET00699,3-(3-hydroxyphenyl)-2-methylpropionic acid,1
DB00190,Carbidopa,DBMET00700,"3-(3,4-dihydroxyphenyl)-2-methylpropionic acid",1
DB00190,Carbidopa,DBMET00701,3-(4-hydroxy-3-methoxyphenyl)-2-methyllactic acid,1
DB00190,Carbidopa,DBMET00702,3-(4-hydroxy-3-methoxyphenyl)-2-methylpropionic acid,1
DB00193,Tramadol,DBMET00324,O-Desmethyltramadol,1
DB00193,Tramadol,DBMET00343,N-Desmethyltramadol,1
DBMET00324,O-Desmethyltramadol,DBMET00966,O-Desmethyl-tramado glucuronide,2
DBMET00324,O-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",2
DBMET00343,N-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",2
DBMET00343,N-Desmethyltramadol,DBMET00954,"N,N-didesmethyltramadol",2
DBMET00957,"N,O-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",3
DBMET00954,"N,N-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",3
DB00199,Erythromycin,DBMET00365,norerythromycin,1
DB00199,Erythromycin,DBMET01656,N-Desmethylerythromycin,1
DB00201,Caffeine,DBMET00220,Theobromine,1
DB00201,Caffeine,DBMET00221,Theophylline,1
DB00201,Caffeine,DBMET00222,"1,3,7-Trimethyluric acid",1
DB00201,Caffeine,DBMET00223,Paraxanthine,1
DBMET00223,Paraxanthine,DBMET00611,"1,7-Dimethyluric acid",2
DBMET00221,Theophylline,DBMET00271,1-Methylxanthine,2
DBMET00223,Paraxanthine,DBMET00612,5-Acetylamino-6-formylamino-3-methyluracil,2
DBMET00223,Paraxanthine,DBMET00271,1-Methylxanthine,2
DBMET00271,1-Methylxanthine,DBMET00560,1-Methyluric acid,3
DB00203,Sildenafil,DBMET01744,N-Desmethyl sildenafil,1
DB00203,Sildenafil,DBMET00182,"N-Desmethyl sildenafil (UK-103,320)",1
DB00208,Ticlopidine,DBMET00091,2-Chloroticlopidine,1
DB00208,Ticlopidine,DBMET00092,2-Oxoticlopidine,1
DB00208,Ticlopidine,DBMET00093,Thienodihydropyridinium,1
DB00208,Ticlopidine,DBMET00094,Ticlopidine S-oxide,1
DB00208,Ticlopidine,DBMET00095,Dehydrogenated ticlopidine,1
DB00208,Ticlopidine,DBMET00096,Ticlopidine N-oxide,1
DB00208,Ticlopidine,DBMET00097,di-Hydroxyticlopidine,1
DB00208,Ticlopidine,DBMET00618,7-Hydroxyticlopidine,1
DBMET00092,2-Oxoticlopidine,DBMET01202,Active metabolite of Ticlopidine,2
DBMET00094,Ticlopidine S-oxide,DBMET01207,Ticlopidine S-oxide dimer,2
DBMET00093,Thienodihydropyridinium,DBMET01208,Thienopyridinium,2
DBMET00093,Thienodihydropyridinium,DBMET01209,Ticlopidine lactam analog (M8),2
DB00211,Midodrine,DBMET00829,desglymidodrine,1
DB00213,Pantoprazole,DBMET01168,Active Metabolite of Pantoprazole,1
DB00214,Torasemide,DBMET00297,hydroxytorsemide,1
DB00215,Citalopram,DBMET00659,Citalopram propionic acid,1
DB00215,Citalopram,DBMET00195,Citalopram N-oxide,1
DB00215,Citalopram,DBMET00196,N-Desmethylcitalopram,1
DBMET00196,N-Desmethylcitalopram,DBMET00661,"N,N-Didesmethylcitalopram",2
DB00216,Eletriptan,DBMET00088,N-Desmethyleletriptan,1
DB00216,Eletriptan,DBMET00089,Eletriptan N-oxide,1
DB00220,Nelfinavir,DBMET01800,Nelfinavir hydroxyl-t- butylamide,1
DB00220,Nelfinavir,DBMET01801,"3,4-Dihydroxynelfinavir",1
DB00222,Glimepiride,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,1
DBMET01326,Cyclohexyl hydroxymethyl glimepiride,DBMET01327,Cyclohexyl carboxyl glimepiride,2
DB00224,Indinavir,DBMET00373,Metabolite M6,1
DB00227,Lovastatin,DBMET01698,6'beta-Hydroxylovastatin,1
DB00227,Lovastatin,DBMET01699,3''-Hydroxylovastatin,1
DB00228,Enflurane,DBMET01560,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",1
DB00230,Pregabalin,DBMET01540,N-methylpregabalin,1
DB00231,Temazepam,DBMET00246,Oxazepam,1
DB00231,Temazepam,DBMET00650,Oxazepam glucuronide,1
DB00238,Nevirapine,DBMET00074,12-Hydroxynevirapine,1
DB00238,Nevirapine,DBMET00075,2-Hydroxynevirapine,1
DB00238,Nevirapine,DBMET00076,8-Hydroxynevirapine,1
DB00238,Nevirapine,DBMET00077,3-Hydroxynevirapine,1
DB00238,Nevirapine,DBMET01713,2-OH-nevirapine,1
DB00238,Nevirapine,DBMET01714,8-OH-nevirapine,1
DB00238,Nevirapine,DBMET01715,3-OH-nevirapine,1
DB00238,Nevirapine,DBMET01716,12-OH-nevirapine,1
DBMET00074,12-Hydroxynevirapine,DBMET00669,12-hydroxynevirapine glucuronide,2
DBMET00074,12-Hydroxynevirapine,DBMET00727,4-carboxynevirapine,2
DBMET00075,2-Hydroxynevirapine,DBMET00685,2-hydroxynevirapine glucuronide,2
DBMET00076,8-Hydroxynevirapine,DBMET00779,8-hydroxynevirapine glucuronide,2
DBMET00077,3-Hydroxynevirapine,DBMET00712,3-hydroxynevirapine glucuronide,2
DB00242,Cladribine,DBMET00677,2-chloro-2'-deoxyadenosine-5'-triphosphate,1
DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),1
DB00246,Ziprasidone,DBMET00400,benzisothiazole piperazine,1
DB00248,Cabergoline,DBMET00757,6-allyl-8b-carboxy-ergoline,1
DB00250,Dapsone,DBMET00301,dapsone hydroxylamine,1
DB00250,Dapsone,DBMET00014,N-Acetyldapsone,1
DBMET00301,dapsone hydroxylamine,DBMET01043,Nitroso-dapsone,2
DBMET01043,Nitroso-dapsone,DBMET01045,Dapsone mercaptal intermediate,3
DBMET01045,Dapsone mercaptal intermediate,DBMET01046,Dapsone GSH conjugate,4
DB00252,Phenytoin,DBMET00284,4'-HPPH,1
DB00252,Phenytoin,DBMET00058,"3',4'-Dihydrodiol",1
DB00252,Phenytoin,DBMET00059,3'-HPPH,1
DB00252,Phenytoin,DBMET00988,Phenytoin arene-oxide,1
DB00252,Phenytoin,DBMET00989,Phenytoin catechol,1
DB00252,Phenytoin,DBMET00888,Hydroxyphenytoin,1
DB00252,Phenytoin,DBMET00992,Phenytoin quinone,1
DB00252,Phenytoin,DBMET00990,Phenytoin dihydrodiol,1
DBMET00989,Phenytoin catechol,DBMET00991,Phenytoin methylcatechol,2
DBMET00988,Phenytoin arene-oxide,DBMET00990,Phenytoin dihydrodiol,2
DBMET00988,Phenytoin arene-oxide,DBMET00888,Hydroxyphenytoin,2
DBMET00989,Phenytoin catechol,DBMET00992,Phenytoin quinone,2
DBMET00059,3'-HPPH,DBMET01149,"3',4'-diHPPH",2
DBMET00284,4'-HPPH,DBMET01149,"3',4'-diHPPH",2
DBMET00888,Hydroxyphenytoin,DBMET00989,Phenytoin catechol,3
DBMET00888,Hydroxyphenytoin,DBMET00889,Hydroxyphenytoin-O-glucuronide,3
DB00261,Anagrelide,DBMET00772,"6,7-dichloro-3-hydroxy-1,5 dihydro-imidazo[2,1-b]quinazolin-2-one",1
DB00261,Anagrelide,DBMET00676,"2-amino-5,6-dichloro-3,4,-dihydroquinazoline",1
DB00264,Metoprolol,DBMET00319,alpha-Hydroxymetoprolol,1
DB00264,Metoprolol,DBMET01561,O-Demethylmetoprolol,1
DB00264,Metoprolol,DBMET01562,Deisopropylmetoprolol,1
DB00268,Ropinirole,DBMET00940,N-despropyl ropinirole,1
DB00277,Theophylline,DBMET00271,1-Methylxanthine,1
DB00277,Theophylline,DBMET00272,3-methylxanthine,1
DB00277,Theophylline,DBMET00535,Caffeine,1
DB00277,Theophylline,DBMET00326,"1,3-dimethyluric acid",1
DB00279,Liothyronine,DBMET00559,Triiodothyronine sulfate,1
DB00280,Disopyramide,DBMET00363,mono-isopropyl-disopyramide,1
DB00281,Lidocaine,DBMET00256,3-hydroxylidocaine,1
DB00281,Lidocaine,DBMET00257,monoethylglycinexylidide,1
DB00281,Lidocaine,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",1
DBMET00256,3-hydroxylidocaine,DBMET01090,3-Hydroxymonoethylglycinexylidide,2
DBMET00257,monoethylglycinexylidide,DBMET01090,3-Hydroxymonoethylglycinexylidide,2
DBMET00257,monoethylglycinexylidide,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",2
DBMET00257,monoethylglycinexylidide,DBMET01091,Glycinexylidide (GX),2
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,2
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",2
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,2
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,2
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",2
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",2
DBMET01091,Glycinexylidide (GX),DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",3
DB00285,Venlafaxine,DBMET00054,O-Desmethylvenlafaxine,1
DB00285,Venlafaxine,DBMET00055,N-Desmethylvenlafaxine,1
DBMET00054,O-Desmethylvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine",2
DBMET00054,O-Desmethylvenlafaxine,DBMET00967,O-Desmethylvenlafaxine glucuronide,2
DBMET00055,N-Desmethylvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine",2
DBMET00437,"N,O-Didesmethylvenlafaxine",DBMET00958,"N,O-didesmethylvenlafaxine glucuronide",3
DBMET00437,"N,O-Didesmethylvenlafaxine",DBMET01040,"N,N,O-Tridesmethylvenlafaxine",3
DB00289,Atomoxetine,DBMET00734,4-hydroxyatomoxetine,1
DB00295,Morphine,DBMET00649,Normorphine,1
DB00295,Morphine,DBMET00461,morphine-6-glucuronide,1
DB00295,Morphine,DBMET00462,morphine-3-glucuronide,1
DB00296,Ropivacaine,DBMET01741,3-OH-ropivacaine,1
DB00296,Ropivacaine,DBMET00269,3-hydroxyropivacaine,1
DB00296,Ropivacaine,DBMET01742,PPX,1
DB00297,Bupivacaine,DBMET00692,"2,6-pipecoloxylidine",1
DB00300,Tenofovir disoproxil,DBMET01176,Tenofovir Monophosphate,1
DBMET01176,Tenofovir Monophosphate,DBMET01177,Tenofovir Diphosphate,2
DB00304,Desogestrel,DBMET01366,6-alpha-hydroxydesogestrel,1
DB00304,Desogestrel,DBMET01367,6-beta-hydroxydesogestrel,1
DB00304,Desogestrel,DBMET01368,16-hydroxy-desogestrel,1
DB00304,Desogestrel,DBMET01369,13-ethyl-hydroxy desogestrel,1
DB00304,Desogestrel,DBMET01370,Desogestrel sulfate,1
DB00304,Desogestrel,DBMET01371,15-alpha-hydroxydesogestrel,1
DB00304,Desogestrel,DBMET01642,3-alpha-OH-desogestrel,1
DB00304,Desogestrel,DBMET01643,3-beta-OH-desogestrel,1
DB00304,Desogestrel,DBMET00671,15b-hydroxydesogestrel,1
DB00304,Desogestrel,DBMET00683,2-hydroxydesogestrel,1
DB00304,Desogestrel,DBMET00723,3a-hydroxydesogestrel,1
DB00304,Desogestrel,DBMET00724,3b-hydroxydesogestrel,1
DBMET00723,3a-hydroxydesogestrel,DBMET00622,3-Ketodesogestrel,2
DBMET01371,15-alpha-hydroxydesogestrel,DBMET00488,Glucuronic acid,2
DB00309,Vindesine,DBMET00393,Unknown,1
DB00313,Valproic Acid,DBMET01015,Valproic acid CoA,1
DB00313,Valproic Acid,DBMET00060,4-ene-Valproic acid,1
DB00313,Valproic Acid,DBMET00061,5-Hydroxyvalproic acid,1
DB00313,Valproic Acid,DBMET00062,3-Hydroxyvalproic acid,1
DB00313,Valproic Acid,DBMET00063,4-Hydroxyvalproic acid,1
DB00313,Valproic Acid,DBMET00064,Valproic acid β-O-glucuronide,1
DB00313,Valproic Acid,DBMET00065,2-ene-Valproic acid,1
DB00313,Valproic Acid,DBMET00066,(3Z)-2-Propylpent-3-enoic acid (3Z-Ene-VPA),1
DB00313,Valproic Acid,DBMET00067,(3E)-2-Propylpent-3-enoic acid (3E-Ene-VPA),1
DBMET00060,4-ene-Valproic acid,DBMET01106,"2,4-Diene-VPA",2
DBMET00063,4-Hydroxyvalproic acid,DBMET01107,2-n-Propyl-4-oxopentanoic acid,2
DBMET00061,5-Hydroxyvalproic acid,DBMET01109,2-Propylglutaric acid,2
DBMET00062,3-Hydroxyvalproic acid,DBMET01110,3-Oxovalproic acid,2
DBMET00065,2-ene-Valproic acid,DBMET00062,3-Hydroxyvalproic acid,2
DBMET00062,3-Hydroxyvalproic acid,DBMET01110,3-Oxovalproic acid,2
DBMET01107,2-n-Propyl-4-oxopentanoic acid,DBMET01108,2-Propylsuccinic acid,3
DB00315,Zolmitriptan,DBMET00276,norzolmitripan,1
DB00315,Zolmitriptan,DBMET01792,N-Desmethylzolmitriptan,1
DB00315,Zolmitriptan,DBMET01793,Zolmitriptan N-oxide,1
DB00315,Zolmitriptan,DBMET00497,Indole acetic acid,1
DB00316,Acetaminophen,DBMET01578,3-Hydroxyacetaminophen,1
DB00316,Acetaminophen,DBMET00580,Acetaminophen glucuronide,1
DB00316,Acetaminophen,DBMET00653,Acetaminophen sulfate,1
DB00316,Acetaminophen,DBMET00243,NAPQI,1
DBMET00243,NAPQI,DBMET00789,Acetaminophen cystein,2
DB00318,Codeine,DBMET00313,morphine,1
DB00318,Codeine,DBMET00340,norcodeine,1
DB00318,Codeine,DB00295,Morphine,1
DB00318,Codeine,DBMET00660,Codeine-6-glucuronide,1
DB00321,Amitriptyline,DBMET01584,E-10-OH-amitriptyline,1
DB00321,Amitriptyline,DB00540,Nortriptyline,1
DB00321,Amitriptyline,DBMET00051,E-10-Hydroxyamitriptyline,1
DBMET00051,E-10-Hydroxyamitriptyline,DBMET00052,E-10-Hydroxynortriptyline,2
DB00540,Nortriptyline,DBMET00052,E-10-Hydroxynortriptyline,2
DB00540,Nortriptyline,DBMET00053,Desmethylnortriptyline,2
DBMET00052,E-10-Hydroxynortriptyline,DBMET00482,E-10-Hydroxydesmethylnortriptyline,3
DBMET00053,Desmethylnortriptyline,DBMET00482,E-10-Hydroxydesmethylnortriptyline,3
DB00322,Floxuridine,DBMET00855,alpha-Fluoro-beta-alanine,1
DB00322,Floxuridine,DBMET00856,Fluoro-beta-ureidopropionate,1
DB00322,Floxuridine,DBMET00655,"5,6-Dihydro-5-fluorouracil",1
DB00322,Floxuridine,DBMET00449,5-fluorouracil,1
DB00325,Nitroprusside,DBMET00818,cyanmethemoglobin,1
DB00327,Hydromorphone,DBMET00838,Dihydroisomorphine-6-glucuronide,1
DB00327,Hydromorphone,DBMET00865,Hydromorphone-3-glucoside,1
DB00327,Hydromorphone,DBMET00866,Hydromorphone-3-glucuronide,1
DB00327,Hydromorphone,DBMET00177,Dihydromorphine,1
DB00327,Hydromorphone,DBMET00178,Dihydroisomorphine,1
DB00327,Hydromorphone,DBMET00179,Norhydromorphone,1
DB00327,Hydromorphone,DBMET00180,Hydromorphone 3-beta-O-glucuronide,1
DB00327,Hydromorphone,DBMET01032,Hydromorphone-3-sulphate,1
DBMET00177,Dihydromorphine,DBMET01031,Dihydromorphine-3-glucuronide,2
DB00328,Indomethacin,DBMET00156,O-Desmethylindomethacin,1
DB00328,Indomethacin,DBMET00157,Indomethacin acyl glucuronide,1
DB00328,Indomethacin,DBMET00158,N-Deschlorobenzoyl indomethacin,1
DBMET00158,N-Deschlorobenzoyl indomethacin,DBMET01351,O-Desmethyl-N-deschlorobenzoyl indomethacin,2
DB00332,Ipratropium,DBMET00945,N-isopropylnortropium methobromide,1
DB00332,Ipratropium,DBMET00987,Phenylacetic acid-N-isopropylnortropine-ester methobromide,1
DB00333,Methadone,DBMET01829,"2ethylidene-1,5-dimethyl-3,3-diphenylpyrolidine",1
DB00333,Methadone,DBMET00181,"2-Ethyl-1,5-dimethyl-3,3-diphenylpyrrolinium (EDDP)",1
DBMET00181,"2-Ethyl-1,5-dimethyl-3,3-diphenylpyrrolinium (EDDP)",DBMET01087,"2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline (EMDP)",2
DB00334,Olanzapine,DBMET00264,7-hydroxyolanzapine,1
DB00334,Olanzapine,DBMET00265,4'-N-desmethylolanzapine,1
DB00334,Olanzapine,DBMET00308,2-hydroxymethylolanzapine,1
DB00338,Omeprazole,DBMET00185,5-Hydroxyomeprazole,1
DB00338,Omeprazole,DBMET00186,5'-O-Desmethyl omeprazole,1
DB00338,Omeprazole,DBMET00187,Omeprazole sulfone,1
DB00338,Omeprazole,DBMET00188,3-Hydroxyomeprazole,1
DB00339,Pyrazinamide,DBMET00415,5-hydroxypyrazinamide,1
DB00342,Terfenadine,DBMET00391,fexofenadine,1
DB00343,Diltiazem,DBMET00362,N-Desmethyldiltiazem,1
DB00343,Diltiazem,DBMET01647,N-Demethyldiltiazem,1
DB00343,Diltiazem,DBMET01648,O-Demethyldiltiazem,1
DB00347,Trimethadione,DBMET00451,dimethadione,1
DB00349,Clobazam,DBMET00281,norclobazam,1
DB00349,Clobazam,DBMET00743,4'-hydroxyclobazam,1
DB00352,Tioguanine,DBMET01152,Thioguanosine monophosphate,1
DBMET01152,Thioguanosine monophosphate,DBMET01153,Methyl-thioguanosine monophosphate,2
DBMET01152,Thioguanosine monophosphate,DBMET01154,Thioguanosine diphosphate,2
DBMET01154,Thioguanosine diphosphate,DBMET01155,Thioguanosine triphosphate,3
DBMET01154,Thioguanosine diphosphate,DBMET01156,Thiodeoxyguanosine diphosphate,3
DBMET01156,Thiodeoxyguanosine diphosphate,DBMET01157,Thiodeoxyguanosine triphosphate,4
DB00356,Chlorzoxazone,DBMET00327,6-hydroxychlorzoxazone,1
DB00358,Mefloquine,DBMET00693,"2,8-bis-trifluoromethyl-4-quinoline carboxylic acid",1
DB00361,Vinorelbine,DBMET02029,4-0-deacetyl Vinorelbine,1
DB00363,Clozapine,DBMET00100,Norclozapine,1
DB00363,Clozapine,DBMET00101,Clozapine N-oxide,1
DB00363,Clozapine,DBMET00102,Clozapine glucuronide,1
DB00368,Norepinephrine,DBMET00549,Norepinephrine sulfate,1
DB00368,Norepinephrine,DBMET00563,3-Methoxy-4-Hydroxyphenylglycol sulfate,1
DB00370,Mirtazapine,DBMET00261,mirtazapine-N-oxide,1
DB00370,Mirtazapine,DBMET00262,N-desmethylmirtazapine,1
DB00370,Mirtazapine,DBMET00263,8-hydroxymirtazapine,1
DB00370,Mirtazapine,DBMET01827,8-OH-mirtazapine,1
DB00378,Dydrogesterone,DBMET00695,20-dihydrodydrogesterone,1
DB00379,Mexiletine,DBMET00259,2-hydroxymexiletine,1
DB00379,Mexiletine,DBMET00260,p-hydroxymexiletine,1
DB00382,Tacrine,DBMET00270,1-hydroxytacrine,1
DB00382,Tacrine,DBMET01755,4- Hydroxytacrine,1
DB00382,Tacrine,DBMET01756,2-Hydroxytacrine,1
DB00382,Tacrine,DBMET01757,7-Hydroxytacrine,1
DB00384,Triamterene,DBMET01771,4'-OH-triamterene,1
DB00385,Valrubicin,DBMET00663,N-trifluoroacetyladriamycinol,1
DB00385,Valrubicin,DBMET00952,N-trifluoroacetyladriamycin,1
DB00390,Digoxin,DBMET00697,3 b-digoxigenin,1
DB00390,Digoxin,DBMET00716,3-keto-digoxigenin,1
DB00396,Progesterone,DBMET01352,2β-Hydroxyprogesterone,1
DB00396,Progesterone,DBMET01353,21-Hydroxyprogesterone,1
DB00396,Progesterone,DBMET01354,17β-Hydroxyprogesterone,1
DB00396,Progesterone,DBMET01356,16β-Hydroxyprogesterone,1
DB00396,Progesterone,DBMET01357,15β-Hydroxyprogesterone,1
DB00396,Progesterone,DBMET01358,7β-Hydroxyprogesterone,1
DB00396,Progesterone,DBMET00286,6β-Hydroxyprogesterone,1
DB00396,Progesterone,DBMET01723,2beta-OH-progesterone,1
DB00396,Progesterone,DBMET01724,6beta-OH-progesterone,1
DB00396,Progesterone,DBMET01725,16beta-OH-progesterone,1
DB00396,Progesterone,DBMET01726,17beta-OH-progesterone,1
DB00396,Progesterone,DBMET01727,21-OH-progesterone,1
DBMET01354,17β-Hydroxyprogesterone,DBMET01355,"17β,21-Hydroxyprogesterone",2
DB00398,Sorafenib,DBMET01001,Sorafenib beta-D-Glucuronide,1
DB00398,Sorafenib,DBMET00624,Pyridine N-oxide,1
DB00398,Sorafenib,DBMET00994,Pyridine N-oxide glucuronide,1
DB00400,Griseofulvin,DBMET00765,6-methyl-griseofulvin,1
DB00402,Eszopiclone,DBMET00135,Zopiclone N-oxide,1
DB00402,Eszopiclone,DBMET00422,nopiclone N-oxide,1
DB00402,Eszopiclone,DBMET00299,zopiclone-N-oxide,1
DB00402,Eszopiclone,DBMET00300,N-desmethylzopiclone,1
DB00402,Eszopiclone,DBMET00137,Carbon dioxide,1
DB00404,Alprazolam,DBMET01582,Beta-Hydroxyalprazolam,1
DB00404,Alprazolam,DBMET00348,4-hydroxyalprazolam,1
DB00404,Alprazolam,DBMET00112,alpha-Hydroxyalprazolam,1
DB00410,Mupirocin,DBMET00912,Monic acid,1
DB00412,Rosiglitazone,DBMET01365,Phenoxyacetic acid derivative of rosiglitazone,1
DB00412,Rosiglitazone,DBMET00295,N-Desmethylrosiglitazone,1
DB00412,Rosiglitazone,DBMET00296,para-Hydroxyrosiglitazone,1
DB00412,Rosiglitazone,DBMET00942,N-Despyridinyl rosiglitazone,1
DB00412,Rosiglitazone,DBMET00470,ortho-Hydroxyrosiglitazone,1
DBMET00295,N-Desmethylrosiglitazone,DBMET00936,N-Desmethyl-ortho-hydroxy rosiglitazone,2
DBMET00470,ortho-Hydroxyrosiglitazone,DBMET00936,N-Desmethyl-ortho-hydroxy rosiglitazone,2
DBMET00295,N-Desmethylrosiglitazone,DBMET00938,N-Desmethyl-para-hydroxy rosiglitazone,2
DBMET00296,para-Hydroxyrosiglitazone,DBMET00938,N-Desmethyl-para-hydroxy rosiglitazone,2
DBMET00470,ortho-Hydroxyrosiglitazone,DBMET00968,ortho-O-Glucuronide rosiglitazone,2
DBMET00470,ortho-Hydroxyrosiglitazone,DBMET00969,ortho-O-Sulfate rosiglitazone,2
DBMET00295,N-Desmethylrosiglitazone,DBMET01111,N-Desmethyl glucuronide rosiglitazone,2
DBMET00296,para-Hydroxyrosiglitazone,DBMET00981,para-O-Glucuronide rosiglitazone,2
