drugbank-id,form,route,strength
DB09392,Injection,Intravenous,20 [USP'U]/mL
BIOD00078,"Injection, powder, for solution",Subcutaneous,250 μg/ml
BIOD00062,Solution,Subcutaneous,0.03 mg
BIOD00022,Liquid,Infiltration; Subcutaneous,150 unit
BIOD00031,Solution,Intramuscular; Intravenous; Subcutaneous,100 unit
BIOD00098,"Kit; powder, for solution; solution",Intravenous,
BIOD00014,Solution,Subcutaneous,1600 mg
BIOD00073,"Powder, for solution",Intravenous,20 mg
BIOD00005,Solution,Intravenous,1 mg
BIOD00027,"Powder, for solution",Intravenous,40 mg
BIOD00069,Kit,Intravenous,1.6 mg/ml
BIOD00111,"Injection, powder, lyophilized, for solution",Intravenous,500 mg/10mL
DB09557,Kit; solution,Intravenous,14 mg
BIOD00044,"Kit; powder, for solution",Subcutaneous,30 mg
BIOD00092,"Powder, for solution",Intramuscular,50 unit
DB05356,Tablet,Oral,150 mg
BIOD00028,"Powder, for solution",Intravenous,750000 unit
BIOD00109,Solution,Intravenous,30 mg
BIOD00080,Kit,,
BIOD00008,Solution,Intravenous,0.58 mg
BIOD00003,Liquid,Oral,100 mg
BIOD00055,"Powder, for solution",Intramuscular,15 mg
BIOD00104,"Powder, for solution",Intramuscular,
BIOD00074,"Powder, for solution",Subcutaneous,150 mg
BIOD00034,"Injection, solution",Subcutaneous,250 micrograms/0.5ml
BIOD00040,"Powder, for solution",Intravenous,25 mg
DB09560,"Injection, solution",Intravenous; Subcutaneous,12000000 [units of filgrastim]/0.2mL
BIOD00038,"Kit; powder, for solution",Intravenous,3000 unit
BIOD00053,Gel,Topical,100 mcg
BIOD00075,Solution,Intravenous,1 mg
BIOD00088,Kit,,
DB05600,Capsule; kit; liquid,Oral; Subcutaneous,
BIOD00016,Injection,Intravenous,10 [iU]/mL
BIOD00083,Solution,Intravenous,300 mg
BIOD00106,"Powder, for solution",Subcutaneous,108 mg
BIOD00097,Solution,Intramuscular,50 mg
BIOD00007,Solution,Subcutaneous,150 mg
BIOD00087,Solution,Intravenous,25 mg
NUTR00045,"Capsule, gelatin coated",Oral,
EXPT00965,Tablet,Oral,3 mcg
NUTR00030,Kit,,
DB11194,Solution,Extracorporeal,
NUTR00044,Solution,Intravenous,
NUTR00019,Liquid,Oral,
NUTR00020,"Tablet, coated",Oral,
DB11101,Solution,Intravenous,
NUTR00014,Solution,Intravenous,
DB11317,Lozenge,Oral,
EXPT01823,Solution,Intravenous,
NUTR00043,Liquid,Intravenous,
NUTR00026,"Powder, for solution",Oral,5 g/1
NUTR00034,Capsule,Oral,
DB03375,Solution,Intravenous,
NUTR00038,Solution,Intravenous,
NUTR00059,Solution,Intravenous,
DB05314,Ointment,Topical,3 mcg
DB11138,"Capsule, gelatin coated",Oral,
NUTR00023,Powder,Topical,
NUTR00054,Tablet,Oral,
DB09358,Tablet,Oral,4 mg
NUTR00027,Solution,Intravenous,
EXPT01650,Kit,,
NUTR00048,"Capsule, delayed release pellets",Oral,
NUTR00028,Solution,Intravenous,
APRD00428,"Capsule, extended release",Oral,30 ug/1
NUTR00033,Solution,Intravenous,
EXPT02064,Tablet,Oral,750 mg
DB09485,Solution,Intravenous,
EXPT03222,Tablet,Oral,2 mg
APRD00426,Liquid,Oral,
NUTR00021,Injection,Intramuscular,
NUTR00057,Solution,Intravenous,
DB03527,Capsule,Oral,
NUTR00025,Capsule,Oral,
NUTR00024,"Capsule, gelatin coated",Oral,
NUTR00013,Solution,Intravenous,
NUTR00060,Solution,Intravenous,
APRD00486,Tablet,Oral,2000 unit
EXPT03227,Capsule,Oral,
APRD00204,Lozenge,Oral,
NUTR00035,"Capsule, gelatin coated",Oral,
NUTR00031,Solution,Intravenous,
APRD00506,Capsule,Oral,
NUTR00047,Solution,Intravenous,
EXPT00520,Solution,Unknown,
APRD00328,Tablet,Oral,80 mg/1
APRD00425,"Capsule, extended release",Oral,150 mg/1
APRD00133,"Tablet, film coated",Oral,80 mg/1
APRD00009,Tablet,Oral,5 mg
APRD00976,Solution; spray,Nasal,25 mcg
APRD00551,Tablet,Oral,20 mg
APRD00480,Tablet,Oral,5 mg/1
APRD01172,Liquid,Intramuscular; Intravenous; Subcutaneous,.25 mg
DB11303,"Patch, extended release",Topical,7 mg/24h
APRD00224,Capsule,Oral,30 mg/1
APRD00116,Tablet,Oral,.5 mg
APRD00954,"Injection, solution",Intravenous,100 mg/10mL
DB07475,"Powder, for solution",Intravenous; Subcutaneous,3.5 mg
APRD00958,Capsule,Oral,750 mg
APRD00160,"Tablet, extended release",Oral,
APRD00093,"Tablet, orally disintegrating",Oral,37.5 mg/1
APRD00028,"Tablet, extended release",Oral,75 mg
APRD00245,Solution,Ophthalmic,0.5 %
APRD00327,Tablet,Oral,150 mg
APRD01148,"Powder, for suspension",Oral,12 mg
APRD00953,Lotion; swab,Topical,
APRD01022,"Injection, solution",Intramuscular,1000 ug/mL
APRD00673,Liquid,Oral,50 mg
APRD00159,Solution,Intravenous,20 mg
APRD00556,"Tablet, orally disintegrating",Oral,25 mg
APRD00367,Capsule,Oral,.5 mg/1
APRD00599,Capsule,Oral,
APRD00472,Tablet,Oral,0.25 mg
APRD00397,"Granule, for suspension, extended release",Oral,2 g
APRD01257,"Tablet, film coated",Oral,250 mg/1
APRD00393,"Capsule, extended release",Oral,60 mg/1
APRD00780,Gel,Topical,.1 g/100g
APRD01116,Tablet,Oral,5 mg/1
APRD00073,"Injection, powder, for solution",Intravenous,40 mg/10mL
APRD00217,"Injection, solution",Intravenous,10 mg/mL
APRD00147,Kit,,
APRD00945,"Tablet, film coated",Oral,40 mg/1
APRD00281,Solution / drops,Ophthalmic,5 mg/mL
APRD00003,Powder,Oral,50 mg
APRD00381,Tablet,Oral,3 mg
APRD00921,Cream,Topical,5 mg/g
APRD00069,Capsule,Oral,400 mg
APRD00990,Liquid,Intravenous,287 mg
APRD00370,Tablet,Oral,40 mg/1
APRD00234,Liquid,Respiratory (inhalation),100 %
APRD01198,"Tablet, film coated, extended release",Oral,82.5 mg/1
APRD00676,Capsule,Oral,7.5 mg/1
APRD01104,Tablet,Oral,5 mg/1
DB09367,"Granule, delayed release",Oral,4 g/1
APRD00010,Solution,Intravenous,1 mg
APRD00752,Tablet,Oral,30 mg
DB08311,"Tablet, extended release",Oral,400 mg
APRD01154,Lotion,Topical,10 mg
APRD00783,Ointment,Topical,.5 mg/g
APRD00266,Capsule,Oral,
APRD00260,Tablet,Oral,10 mg
APRD01300,"Tablet, film coated, extended release",Oral,500 mg/1
DB06396,Suppository,Rectal,250 mg
APRD00748,Tablet,Oral,0.5 mg
APRD00540,Capsule,Oral,80 mg
APRD00463,Tablet,Oral,2 mg
APRD00836,Tablet,Oral,0.5 mg
DB03778,Liquid,Topical,0.1 %
APRD00345,Tablet,Oral,25 mg/1
APRD00659,Cream,Vaginal,4 mg
APRD00241,Solution,Intramuscular; Intravenous,50 mg
APRD01091,Solution / drops,Ophthalmic,1 %
APRD00597,Powder,Intravenous,100 mg
EXPT01164,Tablet,Oral,.5 mg
APRD00244,Cream,Topical,10 mg/100g
APRD00839,Kit,,
APRD00438,Cream,Vaginal,15 g/100g
DB03123,Capsule,Oral,250 mg
APRD00798,Capsule,Oral,0.5 mg
APRD00006,Wafer,Intralesional,7.7 mg
APRD00595,Tablet,Oral,500 mg
APRD00208,Solution,Intravenous,1 mg
APRD00211,Cream,Topical,10 %
APRD00302,"Tablet, coated",Oral,5 mg/1
APRD00298,Capsule,Oral,5 mg/1
APRD00913,Liquid,Intrauterine,
APRD00237,"Tablet, film coated",Oral,50 mg/1
APRD00223,Tablet,Oral,5 mg
APRD00064,Liquid,Intravenous,50 mg
DB09359,"Tablet, extended release",Oral,600 mg
APRD00105,Solution,Intravenous,125 mg/125mL
APRD01074,Injection,Intravenous,10 ug/mL
APRD00507,"Tablet, extended release",Oral,250 mg
DB05291,Patch,Topical,36 mg/1
APRD01161,Solution,Intravenous,9 mg
APRD00875,"Tablet, extended release",Oral,
APRD00656,Tablet,Oral,50 mg
APRD00125,"Tablet, film coated, extended release",Oral,75 mg/1
APRD00396,"Tablet, sugar coated",Oral,
APRD01271,Solution,Ophthalmic,.04 mg/mL
APRD00788,Cream,Topical,0.1 %
APRD00614,Kit,Oral,
EXPT00718,"Powder, for solution",Intramuscular; Intrapleural; Intravenous; Subcutaneous,15 unit
APRD00115,"Tablet, film coated",Oral,2 mg/1
APRD00965,Solution,Intravenous,2 mg/mL
EXPT01092,"Powder, for solution",Intravenous,2 mg
APRD00766,Ring,Vaginal,
DB05354,"Capsule, extended release",Oral,40 mg
APRD00492,Solution,Epidural; Infiltration,5 mg
APRD00247,Solution,Epidural; Infiltration,
DB01730,Cream,Topical,10 mg/g
DB13426,"Tablet, film coated",Oral,245 mg
APRD00609,Capsule,Oral,250 mg
EXPT00508,"Tablet, film coated",Oral,650 mg/1
APRD00952,"Powder, for solution",Intramuscular; Intravenous,1 g
APRD00762,Tablet,Oral,
APRD00284,"Powder, for solution",Intravenous; Intravesical,0.5 mg
APRD00114,"Capsule, liquid filled",Oral,75 mg/1
APRD01025,"Injection, solution",Intravenous,.1 mg/mL
APRD00392,"Powder, for solution",Intravenous,5 mg
APRD00127,Tablet,Oral,100 mg
APRD01174,Capsule,Oral,50 mg
APRD00066,Tablet,Oral,250 mg/1
APRD00844,"Injection, powder, for solution",Intramuscular; Intravenous,1 g/1
APRD00376,"Tablet, orally disintegrating",Oral,5 mg/1
APRD00252,Solution,Oral,120 mg
DB07998,"Tablet, film coated",Oral,250 mg
DB09471,Suspension,Oral,
APRD00325,"Injection, powder, lyophilized, for solution",Intravenous,
DB05743,Liquid,Nasal,4 mg
APRD00227,Kit,,
APRD00692,"Injection, powder, lyophilized, for solution",Intra-arterial,500 mg/5mL
APRD00445,"Tablet, film coated",Oral,100 mg/1
APRD00980,Suspension,Ophthalmic,0.1 %
APRD01143,Solution,Intravenous,25 mg
APRD00841,Syrup,Oral,625 mg
APRD01021,Tablet,Oral,8 mg
APRD00109,Capsule,Oral,40 mg/1
APRD00957,"Tablet, film coated",Oral,400 mg/1
APRD01099,Tablet,Oral,500 mg
APRD00537,Solution,Respiratory (inhalation),125 mcg
APRD00485,Tablet,Oral,40 mg/1
APRD00138,"Tablet, orally disintegrating",Oral,5 mg
APRD00172,Tablet,Oral,50 mg
APRD01182,Cream,Topical,10 mg/g
APRD00446,Capsule,Oral,
APRD01206,"Tablet, sugar coated",Oral,
APRD00630,Tablet,Oral,10 mg/1
APRD00606,Suspension,Oral,6 mg
APRD00473,"Tablet, extended release",Oral,360 mg
APRD00441,Tablet,Oral,10 mg
APRD00792,"Injection, solution",Intravenous,2 g/10mL
APRD00490,"Tablet, extended release",Oral,10 mg
APRD00315,"Tablet, chewable",Oral,150 mg/1
APRD01141,Suspension,Oral,4 mg
APRD00307,Tablet,Oral,5 mg/1
DB08225,"Aerosol, foam",Topical,5 %
APRD01092,Tablet,Oral,40 mg/1
APRD00290,Tablet,Oral,40 mg/1
APRD00739,Tablet,Oral,.2 mg/1
EXPT00605,"Powder, for suspension",Respiratory (inhalation),75 mg
APRD00308,Tablet,Oral,750 mg/1
APRD00592,Tablet,Oral,250 mg
APRD00300,Tablet,Oral,250 mg/1
APRD00190,Tablet,Oral,500.5 mg
DB02692,Tablet,Oral,100 mg/1
APRD00101,Solution,Intravenous,10 mg
APRD01301,"Powder, for solution",Intravenous,100 mg
APRD00470,Suspension,Oral,50 mg/mL
APRD01238,Tablet,Oral,1 g
APRD01003,Tablet,Oral,200 mg
APRD00937,Tablet,Oral,25 mg/1
APRD00106,Intrauterine device,Intrauterine,13.5 mg/1
APRD01299,Liquid,Intravenous,1 mg
APRD00148,"Injection, solution, concentrate",Intravenous,75 mg/ml
APRD00685,Tablet,Oral,15 mg
APRD01095,Tablet,Oral,200 mg
DB08625,"Solution, gel forming, extended release",Ophthalmic,0.5 %
APRD01272,Inhalant,Oral,1.74 mg/2.9mL
APRD00884,"Granule, for suspension",Oral,5 g/7.5g
APRD00070,Tablet,Oral,5 mg/1
APRD00351,Injection,Intravenous,.25 mg/2mL
APRD00242,Capsule,Oral,250 mg/1
DB02444,"Powder, for solution",Intravenous,500 mg
APRD00520,"Tablet, multilayer",Oral,
APRD00079,Tablet,Oral,
APRD00662,Solution,Intravesical,40 mg
APRD00383,Tablet,Oral,5 mg
APRD00365,Liquid,Ophthalmic,
APRD00098,Tablet,Oral,0.250 mg
APRD00729,Tablet,Oral,50 mg
APRD00612,Solution,Oral,60 mg/20mL
DB11897,Spray,Nasal,50 mcg
APRD00417,Tablet,Oral,350 mg
APRD00700,Capsule,Vaginal,200 mg
DB09441,"Capsule, extended release",Oral,
DB07438,"Tablet, film coated",Oral,200 mg
DB06286,"Powder, for solution",Intravenous,4 mg
APRD01004,"Tablet, coated",Oral,250 mg/1
APRD00635,"Tablet, film coated, extended release",Oral,8.5 mg/1
APRD00431,"Tablet, coated",Oral,3 mg/1
DB05925,Tablet,Oral,1 mg
APRD00770,Syrup,Oral,
APRD00998,Liquid,Topical,
APRD00574,Tablet,Oral,50 mg
APRD00162,Kit,,
DB02487,Solution,Intraocular,.01 %
APRD00403,"Tablet, film coated",Oral,4 mg/1
APRD00156,Tablet,Oral,1.5 mg/1
APRD00773,Tablet,Oral,500 mg
APRD00320,Capsule; tablet,Oral,
APRD01318,Liquid,Intravenous,2 mg
DB08415,Tablet,Oral,250 mg
APRD00497,Capsule,Oral,
APRD01118,Capsule,Oral,100 mg/1
APRD00358,Liquid,Intramuscular; Intravenous,50 mg
APRD01234,"Tablet, film coated",Oral,
APRD00657,"Tablet, extended release",Oral,20 mg
APRD01102,Liquid,Intramuscular; Intravenous,100 mg
APRD00607,"Tablet, coated",Oral,
APRD00095,"Spray, metered",Oral,5 mg/1
APRD00600,Tablet,Oral,500 mg
APRD00306,Liquid,Oral,.625 mg/mL
APRD00209,"Powder, for solution",Intravenous,1 g
APRD00847,Solution,Intramuscular,250 mcg
APRD01072,Lotion,Topical,1 %
APRD01275,Solution,Ophthalmic,1 g/100mL
APRD00624,Syrup,Oral,5 mg
APRD00033,Tablet,Oral,4 mg
APRD01142,Gas,Respiratory (inhalation),
APRD00666,Tablet,Oral,5 mg
DB03027,Tablet,Oral,300 mg
APRD00857,"Injection, powder, for solution",Intravenous,
APRD00102,Tablet,Oral,0.3 mg
APRD00103,Tablet,Oral,200 mg
APRD00201,Solution,Intravenous,40 mg
APRD00948,Tablet,Oral,1 mg
APRD00513,Lotion,Topical,0.1 %
APRD00649,Liquid,Intravenous,10 mg
APRD00361,"Powder, for solution",Intravenous,10 mg
EXPT00942,Solution / drops,Ophthalmic,
APRD00077,"Tablet, delayed release",Oral,30 mg
APRD00930,Solution,Ophthalmic,0.1 %
APRD00939,Liquid,Intramuscular; Intravenous,
EXPT02993,Capsule,Oral,88 ug/1
APRD00618,Ointment,Topical,
APRD00074,Solution,Intravenous,10 mg
APRD00384,"Tablet, film coated",Oral,
EXPT00946,"Powder, for solution",Intramuscular; Intravenous,2 g
APRD00020,Capsule,Oral,5 mg/1
DB08002,Capsule,Oral,75 mg/1
APRD00778,Capsule,Oral,25 mg
APRD01290,"Powder, for solution",Intravenous,15 mg
APRD01128,Tablet,Oral,750 mg
APRD00314,Tablet,Oral,5 mg/1
APRD00575,Solution,Intravenous,3 %
APRD01060,Tablet,Oral,10 mg
APRD00563,Capsule,Oral,300 mg
APRD00011,Tablet,Oral,20 mg
APRD00571,Solution,Oral,5 mg/mL
APRD00434,"Tablet, film coated",Oral,10 mg/1
APRD00530,"Capsule, delayed release",Oral,90 mg/1
APRD00058,"Powder, for solution",Intravenous,500 mg
APRD00682,Capsule,Oral,
APRD00060,"Capsule, delayed release",Oral,40 mg
APRD00482,Tablet,Oral,50.0 mg
APRD01219,Kit,,
APRD00550,Solution,Intramuscular; Intravenous,250 mg
APRD01303,Capsule,Oral,7.5 mg
APRD00400,"Tablet, film coated",Oral,60 mg/1
APRD00373,Capsule,Oral,400 mg
APRD00712,Liquid,Intravenous,20 mg
APRD00034,Suspension / drops,Ophthalmic,
APRD00916,Capsule,Oral,500 mg/1
APRD01127,Capsule,Oral,1.0 mg
APRD00652,Capsule,Oral,50 mg
APRD01230,Solution,Oral,5 mg/mL
APRD00222,Tablet,Oral,5 mg
APRD01117,"Tablet, coated",Oral,50 mg/1
APRD00526,Tablet,Oral,20 mg
APRD00854,"Powder, for solution",Intramuscular; Intravenous,500 mg
APRD00416,Tablet,Oral,
APRD00449,"Tablet, film coated",Oral,300 mg/1
APRD00903,"Tablet, extended release",Oral,7.5 mg
APRD00387,"Capsule, extended release",Oral,9 mg/1
APRD00984,Tablet,Oral,250 mg
APRD01268,"Tablet, film coated",Oral,600 mg/1
APRD00568,Liquid,Oral,60 mg
APRD00538,Tablet,Oral,20 mg
APRD00312,Tablet,Oral,
APRD00558,Tablet,Oral,500 mg/1
APRD00911,Tablet,Oral,4 mg
EXPT03217,"Injection, powder, lyophilized, for solution",Intravenous,10 g/80mL
DB04134,"Paste, dentifrice",Dental,
APRD00655,Spray,Oral,6 mg/.25mL
APRD00359,"Injection, powder, lyophilized, for solution",Intravenous,1 mg/mL
APRD00782,"Tablet, film coated",Oral,200 mg/1
APRD01269,Tablet,Oral,2 mg/1
APRD00199,"Injection, powder, lyophilized, for solution",Intravenous,70 mg/10.8mL
APRD00195,Solution / drops,Ophthalmic,10 mg/mL
APRD00017,Capsule,Oral,30 mg
APRD01109,Tablet,Oral,10 mg
APRD01607,Powder,Topical,1 %
APRD00186,Solution,Intravenous,5.0 mg
APRD00915,Suppository,Rectal,
APRD00669,"Injection, solution",Intravenous,24 mg/mL
APRD00951,"Tablet, film coated",Oral,25 mg
APRD00408,"Powder, for solution",Intravenous,1 g
APRD00151,Tablet,Oral,25 mg
APRD00644,"Powder, for suspension",Oral,250 mg/5mL
EXPT01546,Tablet,Oral,125 mg/1
EXPT00999,Tablet,Oral,750 mg
APRD00993,Solution,Intravenous,330.9 mg
APRD00391,Tablet,Oral,60 mg
APRD00602,Solution,Oral,20 mg/10mL
APRD00495,Solution,Intravenous,1 mg
APRD00063,Tablet,Oral,
APRD00142,Tablet,Oral,50 mg
EXPT03204,Cream,Topical,40 mg/g
APRD00380,Liquid,Intramuscular; Intravenous,5 mg
APRD00910,Ointment,Topical,2.5 mg
EXPT00598,"Tablet, coated",Oral,
APRD00377,Tablet,Oral,20 mg
APRD00297,Tablet,Oral,50 mg/1
EXPT01688,Tablet,Oral,250 mg/1
APRD00202,"Powder, for solution",Intravenous,10 mg
APRD00157,Solution,Extracorporeal,20 mcg
APRD01187,Kit,,
APRD00570,Tablet,Oral,300 mg/1
APRD01177,"Injection, solution",Intravenous,
APRD00688,Solution,Intramuscular,50 mg/mL
APRD00378,Powder,Respiratory (inhalation),5 mg/1
APRD00829,"Tablet, soluble",Oral,32 mg/1
APRD01307,"Injection, powder, for solution",Intravenous,50 mg
APRD00935,Liquid,Intravenous,20 mg
APRD00353,Solution,Oral,2.5 mg/mL
APRD00337,"Tablet, extended release",Oral,400 mg/1
APRD00874,Liquid,Intravenous,10 mg
APRD01236,Capsule,Oral,100 mg/1
APRD00250,"Powder, for suspension",Oral,125 mg
DB11728,Solution,Subcutaneous,7.5 mg
APRD00708,Solution,Intravenous,1 mg
APRD00194,Tablet,Oral,80 mg
EXPT02427,Elixir,Oral,
APRD00970,Tablet,Oral,600 mg
APRD00319,Tablet,Oral,20 mg
DB07566,Tablet,Oral,0.2 mg
APRD00697,Tablet,Oral,500 mg
APRD01085,Tablet,Oral,2 mg
APRD01063,Syrup,Oral,3.3 g
APRD00543,"Tablet, film coated",Oral,50 mg
APRD01070,Injection,Intramuscular,
APRD00510,Tablet,Oral,8 mg
APRD00706,Capsule,Oral,300 mg
APRD00527,Capsule,Oral,35 mg/1
APRD00065,"Spray, metered",Nasal,93 ug/1
APRD00474,Tablet,Oral,1 mg/1
APRD00977,Cream,Topical,0.01 %
DB11514,Syrup,Oral,110 mg
APRD00318,Syrup,Oral,250 mg
EXPT00514,Tablet,Oral,5 mg
APRD01010,Kit,,
APRD00992,Liquid,Intravenous,279.3 mg
APRD01062,Tablet,Oral,200 mg
APRD00660,"Powder, for solution",Intravenous,5 g
APRD01121,Cream,Topical,20 %
DB08769,Tablet,Oral,600 mg
APRD01058,Tablet,Oral,3 mg/1
APRD00627,Tablet,Oral,10 mg
APRD00454,Tablet,Oral,5 mg
APRD01243,Tablet,Oral,200 mg
DB08269,"Powder, for solution",Intramuscular; Intravenous,500 mg
APRD00468,Tablet,Oral,250 mg
APRD00961,"Tablet, film coated",Oral,250 mg/1
APRD00835,"Aerosol, metered; liquid",Nasal,10 mg
APRD00257,"Tablet, film coated",Oral,
APRD00094,Capsule,Oral,150 mg
APRD00272,"Tablet, film coated",Oral,300 mg/1
DB03261,"Tablet, film coated",Oral,400 mg/1
APRD00422,Kit,Intra-articular,
APRD01151,Tablet,Oral,2.5 mg/1
APRD00088,"Injection, solution",Intravenous,2.5 mg/mL
APRD00633,Solution,Intramuscular; Subcutaneous,100 mg
DB05275,Pellet,Oral,87.5 mg/1
DB07709,Tablet,Oral,
APRD00816,Ointment,Topical,500 [USP'U]/g
APRD00536,Tablet,Oral,10 mg
APRD00881,Tablet,Oral,7.5 mg/1
APRD00561,Tablet,Oral,5 mg
DB06189,"Injection, solution, concentrate",Intravenous,1 mg/ml
APRD00933,Cream,Topical,100 mg/g
APRD00578,Solution,Intravenous,4 mcg
APRD00452,Liquid,Ophthalmic,
APRD00340,Tablet,Oral,1 mg
APRD00879,Capsule,Oral,500 mg
APRD00585,Suspension,Oral,2 mg
APRD00834,Cream,Vaginal,2 %
DB06639,Liquid,Topical,.06 g/150mL
APRD00104,Tablet,Oral,40 mg
EXPT02075,"Powder, for solution",Intravenous,1000 mg
APRD01086,Tablet,Oral,100 mg
APRD01001,"Liquid; powder, for solution",Intravenous; Subcutaneous,
APRD00940,Gel,Topical,
APRD01146,Ointment,Topical,100000 unit
APRD00548,"Tablet, film coated",Oral,
APRD00494,Tablet,Oral,500 mg/1
APRD00440,Capsule,Oral,40 mg
APRD00698,Capsule,Oral,
APRD00769,Tablet,Oral,200 mg
APRD01173,Liquid,Intramuscular; Intravenous; Subcutaneous,30 mg
APRD01080,Solution,Intravenous,
APRD01065,Solution,Ophthalmic,50 mcg
APRD00588,Cream,Vaginal,1 mg
APRD00533,Tablet,Oral,68.25 mg
APRD00458,Tablet,Oral,2.5 mg/1
APRD01226,"Tablet, film coated",Oral,800 mg/1
APRD00661,"Tablet, delayed release",Oral,333 mg
APRD00514,Tablet,Oral,800 mg/1
APRD00335,"Capsule, extended release",Oral,300 mg/1
APRD01277,"Injection, solution",Intramuscular,100 mg/mL
APRD00975,Ointment,Topical,
APRD00150,Tablet,Oral,150 mg/1
APRD01129,Liquid,Nasal,2 mg
EXPT00496,Liquid,Epidural,
APRD00379,"Injection, solution",Subcutaneous,3 mg/1
APRD00515,Tablet,Oral,50 mg
APRD00583,"Tablet, chewable",Oral,200 mg/1
APRD00029,Tablet,Oral,250 mg/1
APRD00100,Capsule; kit,Oral,
EXPT01628,Tablet,Oral,8 mg
APRD00123,"Tablet, film coated",Oral,20 mg/1
APRD00052,"Tablet, film coated",Oral,
APRD00596,Suspension,Oral,2 mg
APRD00797,"Injection, powder, lyophilized, for solution",Intravenous,50 mg/10mL
APRD00341,Tablet,Oral,7.5 mg/1
APRD00680,Solution,Intramuscular; Intravenous,5 mg
APRD00582,Ointment,Ophthalmic,3 mg/g
APRD01281,Tablet,Oral,200 mg
APRD01175,"Capsule, gelatin coated",Oral,100 mg/1
DB02478,Tablet,Oral,.1 mg/1
APRD01602,"Tablet, film coated",Oral,500 mg
APRD00983,Tablet,Oral,30 mg
APRD01120,"Tablet, film coated",Oral,15 mg/1
APRD00615,"Powder, for solution",Intramuscular; Intravenous,5 mg
DB07777,Solution,Intravenous,100 mg
APRD00521,"Injection, powder, lyophilized, for suspension",Intravenous,
DB07799,Liquid,Intravenous,10 mg
APRD00677,Suppository,Rectal,
APRD00128,Capsule,Oral,6 mg/1
APRD00191,Capsule,Oral,50 mg
APRD00707,Tablet,Oral,50 mg
APRD00605,Solution,Oral,15 mg/ml
APRD01026,Solution,Intraperitoneal,
APRD00740,Tablet,Oral,25 mg
DB05067,Kit,,
DB08563,Tablet,Oral,200 mg/1
