coder,drugbank-id,language,synonym
,BIOD00062,,Recombinant methionyl human consensus interferon
,BIOD00022,,Sperm surface protein PH-20
,BIOD00031,,Porcine insulin
,BIOD00098,,trastuzumab-dkst
,BIOD00014,,AntiCD20
,BIOD00073,,chimeric mouse-human antiCD25
,BIOD00005,,Muromonab-CD3
,BIOD00027,,Ovine digoxin immune fab
,BIOD00069,,mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)
,BIOD00092,,OnabotulinumtoxinA
,DB05356,,Pancrelipase (amylase;lipase;protease)
,BIOD00028,,Streptokinase C precursor
,BIOD00080,,Indium In 111 capromab pendetide
,BIOD00008,,Alpha-L-iduronidase precursor
,BIOD00003,,Cyclosporin A
,BIOD00055,,ASP0485
,BIOD00114,,PLV-2
,BIOD00104,,Urofollitrophin
,BIOD00074,,hu1124
,BIOD00034,,Chorionic gonadotropin (recombinant)
,BIOD00040,,Thymoglobuline
,DB09560,,Tbo-filgrastim
,BIOD00038,,Recombinant factor IX
,BIOD00053,,SH-POLYPEPTIDE-59
,BIOD00075,,Melibiase
,BIOD00088,,Octrotide
,DB05600,,rIFN-alpha-2b
,BIOD00083,,Anti-VLA4
,BIOD00097,,anti-RSV
,BIOD00007,,Daclizumab beta
,BIOD00087,,bevacizumab-awwb
,BIOD00107,,Technetium-99m arcitumomab
,NUTR00045,,Pyridoxal-P
,EXPT00965,,Vitamin B12 NOS
,NUTR00056,,Tetrahydrofolate
,NUTR00030,,L-Histidine
,NUTR00052,,SAMe
,DB11194,,α-Oxopropionsäure
,NUTR00044,,β-phenyl-L-alanine
,NUTR00019,,Vitamin H
,NUTR00020,,Vitamin J
,DB11101,,Lysinum
,NUTR00014,,R
,DB11317,,L-Ascorbic Acid
,DB02564,,Spermine
,EXPT01823,,L-Aspartic acid
,NUTR00043,,levo-ornithine
,NUTR00026,,Q
,EXPT00512,,Phosphate d'adenosine
,NUTR00034,,α-linolenic acid
,DB03375,,Serinum
,NUTR00038,,Met
,NUTR00059,,Y
,DB05314,,Calcitriolum
,DB11138,,Xantofyl
,NUTR00023,,"β,β'-dithiodialanine"
,NUTR00054,,Succinic acid
,DB09358,,Vitamin G
,NUTR00040,,N-Acetylchitosamine
,NUTR00027,,L-Glutaminic acid
,EXPT01650,,Reduced glutathione
,NUTR00048,,Ptd-L-Ser
,NUTR00028,,Leimzucker
,APRD00428,,Calcifediolum
,NUTR00049,,Pyridoxaldehyde
,NUTR00022,,N-methyl-N-guanylglycine
,NUTR00033,,Leucine
,EXPT02064,,W
,DB09485,,L-Zystein
,EXPT03222,,Vitamin B1
,APRD00426,,Vitamina D2
,NUTR00032,,Homo-γ-linolensäure
,NUTR00021,,δ-ureidonorvaline
,NUTR00057,,Threonine
,DB03527,,Reduced nicotinamide-adenine dinucleotide
,NUTR00025,,Vitamin M
,NUTR00024,,Timnodonic acid
,NUTR00013,,L-α-alanine
,NUTR00060,,Valine
,APRD00486,,Vitamin A1
,EXPT03227,,d-α-tocopherol
,APRD00204,,Vitamin B6
,NUTR00035,,α-lipoic acid
,NUTR00031,,α-amino-β-methylvaleric acid
,NUTR00046,,L-Aspartyl-L-phenylalanine methyl ester
,APRD00506,,Vitamin D3
,NUTR00062,,Vitamin K3
,EXPT00007,,ATP
,NUTR00047,,Prolinum
,EXPT00520,,Vitamin B4
,NUTR00015,,α-aminosuccinamic acid
,APRD00328,,Pravastatinum
,APRD00425,,Fluvoxaminum
,APRD00133,,N-pentanoyl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-L-valine
,APRD00009,,Tritace
,DB05900,,Nordihydroguaiaretic acid
,APRD00976,,Flunisolidum
,APRD00551,,gamma-Amino-beta-(P-chlorophenyl)butyric acid
,APRD00480,,β-phenylisopropylamine
,DB11303,,Nicotine polacrilex
,APRD00224,,Sni 2011
,APRD00116,,o-Chloroxazepam
,APRD00954,,methyl p-(2-hydroxy-3-(isopropylamino)propoxy)hydrocinnamate
,DB07475,,N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE
,APRD00958,,β-chlorovinyl ethyl ethynyl carbinol
,APRD00160,,L-α-methyldopahydrazine
,APRD00093,,Phenterminum
,APRD01032,,Indecainidum
,APRD00028,,(+)-trans-2-(Dimethylaminomethyl)-1-(m-methoxyphenyl)cyclohexanol
,EXPT02753,,Vidarabine
,APRD00245,,Betaxololum
,APRD00327,,Triflucan
,APRD01148,,Oseltamivirum
,APRD00953,,Erythromycinum
,APRD01022,,Vitamin B-12b
,APRD00673,,Theine
,APRD00159,,Suxamethonium
,APRD00556,,"1-((3-(4,7-Dihydro-1-methyl-7-oxo-3-propyl-1H-pyrazolo(4,3-d)pyrimidin-5-yl)-4-ethoxyphenyl)sulfonyl)-4-methylpiperazine"
,APRD00367,,Dofetilidum
,APRD00599,,Pyrimethaminum
,APRD00472,,Serpalan
,APRD00397,,Azitromicina
,APRD01257,,Ticlopidinum
,APRD00780,,Differine
,APRD01116,,Midodrinum
,APRD00073,,Pantoprazolum
,APRD00217,,Torsemide
,APRD00147,,Nitalapram 
,APRD00945,,Eletriptanum
,APRD00825,,"N,N'-dimethyl-N''-(phenylmethyl)-guanidine"
,APRD00281,,"1-Cyclopropyl-6-fluoro-1,4-dihydro-8-methoxy-7-((4as,7as)-octahydro-6H-pyrrolo(3,4-b)pyridin-6-yl)-4-oxo-3-quinolinecarboxylic acid"
,APRD00189,,Oxyphenonium ion
,APRD00750,,Isoetharine
,APRD00381,,Glimepiridum
,APRD00921,,Diflorasonum
,APRD00069,,Indinavir anhydrous
,APRD00990,,Gadodiamide anhydrous
,APRD01006,,Guanadrelum
,APRD00370,,Mevinolin
,APRD00234,,Methylflurether
,APRD00855,,CTM
,APRD01198,,S-(+)-3-isobutylgaba
,DB09367,,PAS
,APRD00010,,Milrinonum
,APRD00693,,Vercyte
,APRD00752,,Secbutabarbital
,DB08311,,NVP
,APRD01154,,Oxiconazolum
,APRD00783,,7α-Chloro-16α-methylprednisolone
,APRD00266,,Tetrallobarbital
,APRD00260,,CldAdo
,DB06396,,p-Aminosalicylsaeure
,APRD00748,,Tropine Benzohydryl Ether
,APRD00540,,Ziprasidonum
,APRD00463,,N-(1-(Hydroxymethyl)propyl)-1-methyl-dextro-(+)-lysergamide
,APRD00836,,Cabergolinum
,DB03778,,Joddeoxiuridin
,APRD00345,,"P,P'-diaminodiphenyl sulfone"
,APRD00241,,Phenytoinum
,APRD01091,,"11beta-Hydroxy-6alpha-methylpregn-4-ene-3,20-dione"
,APRD00597,,Doxycyclinum
,EXPT01164,,"α,α'-diethyl-(E)-4,4'-stilbenediol"
,EXPT01049,,Tetracycline-L-methylenelysine
,APRD00244,,Mycelex (tn)
,APRD00839,,Lime pyrolignite
,APRD00438,,Sulphanilamide
,DB03123,,α-Cycloserine
,APRD00798,,Anagrelidum
,APRD00006,,"N,N'-Bis(2-chloroethyl)-N-nitrosourea"
,APRD00595,,Sulphofurazole
,APRD00208,,DL-metoprolol
,APRD00761,,Dicumarol
,APRD00851,,Cefmenoximum
,APRD00302,,Ropinirolum
,APRD00715,,Clorotrianiseno
,APRD00298,,Isradipinum
,APRD00913,,Urogranoic acid
,APRD00714,,Betazolum
,APRD00237,,TPM
,APRD00852,,Cefmetazolum
,APRD00223,,"4-(hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)-1,1'-biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid"
,APRD00064,,mAMSA
,DB09359,,"Theophylline, anhydrous"
,APRD00105,,Argatroban anhydrous
,APRD01074,,Triiodothyronine
,APRD00507,,Disopyramidum
,DB05291,,"α-diethylamino-2,6-dimethylacetanilide"
,APRD01161,,Ribodroat
,APRD00875,,Meclastin
,APRD00656,,Acarbosum
,APRD00125,,Venlafaxinum
,APRD00396,,"Estrogens,conjugated"
,APRD01271,,Travoprostum
,APRD00788,,Triamcinolonacetatcyclopentanonid
,APRD00614,,Tomoxetinum
,EXPT00718,,BLM
,APRD00115,,γ-[p-di(2-chloroethyl)aminophenyl]butyric acid
,APRD00965,,R-(+)-Ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate
,EXPT01092,,Raltitrexed
,APRD00766,,Etonogestrelum
,DB05354,,Morphium
,APRD00492,,Ropivacainum
,APRD00247,,racemic bupivacaine
,APRD00902,,Dapiprazolum
,DB01730,,Penciclovirum
,DB13426,,Tenofovir bis(isopropyloxycarbonyloxymethyl) ester
,APRD00609,,Flucloxacillinum
,EXPT00508,,trans-Tranexamic acid
,APRD00952,,ERTAPENEM
,APRD00762,,Desogestrelum
,APRD00284,,MMC
,APRD01333,,Talbutalum
,APRD00114,,Targrexin
,APRD01025,,N-(4-{4-[ethyl(heptyl)amino]-1-hydroxybutyl}phenyl)methanesulfonamide
,APRD00392,,Desacetylvinblastine amide
,APRD00127,,Phthalamudine
,DB07727,,Ethoxyzolamide
,APRD01174,,Pentobarbitone
,APRD00066,,VPA
,APRD00376,,Zolmitriptanum
,APRD00252,,Paracetamolum
,DB07998,,ZD 1839
,DB09471,,O(3)-methylmorphine
,APRD00325,,Piperacillinum
,DB05743,,Diidroergotamina
,APRD00227,,Amitriptylinum
,APRD00692,,Fluoruridine Deoxyribose
,APRD00445,,Tolcaponum
,APRD00980,,Oxylone
,APRD01143,,Nitroferricyanide
,APRD00841,,Trimethylene chlorobromide
,APRD01021,,Idromorfone
,APRD00109,,Indomethacin
,APRD00957,,"S,S-Ethambutol"
,APRD01099,,Metforminum
,APRD00537,,Ipratropium ion
,APRD00485,,Methadonum
,APRD00138,,Olanzapinum
,APRD00172,,Atenololum
,APRD00050,,Nitrofural
,APRD01182,,Pimecrolimusum
,APRD00446,,Omeprazolum
,APRD01206,,Pyrizinamide
,APRD01101,,Metixenum
,APRD00630,,Cetirizinum
,APRD00606,,Terfenadinum
,APRD00473,,Diltiazemum
,APRD00441,,Protriptylinum
,APRD00792,,paraaminohippuric acid
,APRD00490,,"N-[3-[(4-amino-6,7-dimethoxy-quinazolin-2-yl)- methyl-amino]propyl] tetrahydrofuran- 2-carboxamide"
,APRD00315,,Troxidone
,APRD01141,,Nitisinonum
,APRD00307,,Clobazamum
,DB08225,,Tricoxidil
,APRD01092,,MGA
,APRD00290,,Tioguaninum
,APRD00739,,Metilergometrina
,APRD00723,,Buclizinum
,EXPT00605,,Primbactam
,APRD00308,,Clorzoxazone
,APRD00592,,α-(p-Aminophenyl)-α-ethylglutarimide
,APRD00300,,Mefloquinum
,APRD00190,,Sulphadiazine
,DB02692,,Tetrahydrobiopterin
,APRD00101,,Vinorelbinum
,APRD01301,,V-Echinocandin
,APRD00470,,Clozapinum
,APRD01238,,Sucralfatum
,APRD00937,,"Phenyl-2-pyridylmethyl-beta-N,N-dimethylaminoethyl ether"
,APRD00106,,Postinor
,APRD01299,,Norepinephrinum
,APRD00148,,Cidofovirum
,APRD00685,,Mirtazapinum
,APRD01095,,Meprobamic acid
,APRD00323,,Tietilperazina
,DB08625,,Timololum
,APRD01272,,Uniprost
,APRD00884,,Epichlorohydrin-tetraethylenepentamine polymer
,APRD00070,,Trihexyphenidylum
,APRD00351,,Palonosetronum
,APRD00941,,Retro-6-dehydroprogesterone
,APRD00242,,Mexiletinum
,DB02444,,Dextrorazoxane
,APRD00520,,Amlodipinum
,APRD00690,,THA
,APRD00399,,Oxyphencycliminum
,APRD00079,,Triamterenum
,APRD00662,,Valrubicinum
,APRD00383,,Tricyclamol
,APRD00365,,R(-)-Phenylephrine
,APRD00503,,Ethyl 3-methyl-2-thioimidazoline-1-carboxylate
,APRD00098,,Lanadicor
,APRD00032,,Sulpyrid
,APRD00729,,Profenaminum
,APRD00612,,Nimodipinum
,DB11897,,Beclometasone dipropionate
,APRD00417,,Someprobamate
,APRD00700,,Progesteronum
,DB09441,,β-hydroxyamphetamine
,DB07438,,Sorafenibum
,DB06286,,"Zoledronic Acid, Anhydrous"
,APRD01004,,Sporostatin
,APRD00635,,Nisoldipinum
,APRD00431,,Eszopiclone
,APRD00861,,Ceruletidum
,DB05925,,Alprazolam
,APRD00770,,Parabromodylamine
,APRD00998,,Methylrosanilinium
,APRD00574,,oxilapine
,APRD00316,,Remoxipridum
,APRD00162,,Pseudomonic acid a
,DB02487,,Karbamoylcholin chlorid
,APRD00403,,Rosiglitazonum
,APRD00156,,Pramipexolum
,APRD00773,,N-(p-Acetylphenylsulfonyl)-N'-cyclohexylurea
,APRD00320,,D-(−)-ampicillin
,APRD01318,,Trimethyltubocurarine Iodide
,DB08415,,PV
,APRD00497,,Seconal
,APRD01118,,SC-48334
,APRD00358,,Promazinum
,APRD01234,,Spironolattone
,APRD00657,,α-phenyl-2-piperidineacetic acid methyl ester
,APRD01102,,Metocarbamolo
,APRD00607,,Tropine-L-tropate
,APRD00095,,Zolpidemum
,APRD00600,,FCV
,APRD00306,,Triprolidinum
,APRD00209,,Streptozotocin
,APRD00847,,Methyldinoprost
,APRD00856,,Cefpiramidum
,APRD01072,,γ-lindane
,APRD01275,,Trifluridinum
,APRD00624,,Proclorperazina
,APRD00033,,Glutodina
,APRD01142,,Stickstoffmonoxid
,APRD00666,,Benzhydroflumethiazide
,DB03027,,Alopurinol
,APRD00857,,Ceftazidimum
,APRD00103,,Trimetoprima
,APRD00201,,Gemcitabinum
,APRD00948,,Entecavirum
,APRD00513,,Rinderon
,APRD00649,,Teniposidum
,APRD00361,,Pidorubicinum
,EXPT00942,,Sificetina
,APRD01077,,Loracarbefum
,APRD00077,,Opiren
,APRD00930,,Pro-Epinephrine
,APRD00939,,Droperidolum
,EXPT02993,,T4
,APRD00618,,Neomycin B
,APRD00343,,Clomocyclinum
,APRD00074,,Petydyna
,APRD00384,,Loratadinum
,EXPT00946,,CET
,APRD00020,,Prazosinum
,DB08002,,N-(γ-dimethylaminopropyl)iminodibenzyl
,APRD00778,,Neotigason
,APRD01290,,Verteporfinum
,APRD01128,,Nabumetonum
,APRD00314,,Scopolamine methyl bromide
,APRD00757,,Metharbitalum
,APRD00575,,Tetradecyl sulfate de sodium
,APRD01060,,rac-Ketorolac
,APRD00269,,cocculin
,APRD00947,,Enoxacinum
,APRD00563,,Quinine
,APRD00011,,Tenoxicamum
,APRD00571,,Δ9-tetrahydrocannabinol
,APRD00434,,Montelukastum
,APRD00530,,Fluoxetinum
,APRD01014,,Hexylcainum
,APRD00058,,Metohexital
,APRD00682,,Methaminodiazepoxide
,APRD00060,,(S)-duloxetine
,APRD00482,,N-(3-dimethylaminopropyl)-3-chlorophenothiazine
,APRD01219,,Rimantadine
,APRD00550,,O-3-amino-3-Deoxy-alpha-D-glucopyranosyl-(1->4)-O-(6-amino-6-deoxy-alpha-D-glucopyranosyl-(1->6))-N(3)-(4-amino-L-2-hydroxybutyryl)-2-deoxy-L-streptamine
,APRD01303,,IMiD3
,APRD00400,,Raloxifenum
,APRD00373,,P-(5-P-Tolyl-3-(trifluoromethyl)pyrazol-1-yl)benzenesulfonamide
,APRD00712,,Trietioduro de galamina
,APRD00034,,Bromoxidine
,APRD00916,,Dicloxacillinum
,APRD01127,,Nabilonum
,APRD00108,,PFLX
,APRD00652,,HMM
,APRD01230,,Sotalolum
,APRD00222,,Buspironum
,APRD01117,,Miglitolum
,APRD00854,,Cephotaxime
,APRD00416,,"N,N-Diethyl-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl) acrylamide"
,APRD00449,,Zidovudinum
,APRD00903,,Darifenacinum
,APRD00387,,Oxycodonum
,APRD00166,,PID
,APRD00984,,Niftolide
,APRD01268,,Tolmetinum
,APRD00568,,Ulcerfen
,APRD00538,,γ-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone
,APRD00312,,Ritonavirum
,APRD00733,,Naloxiphan
,APRD00558,,Nitazoxanidum
,APRD00465,,Triflupromazinum
,APRD00911,,"O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodo-D-tyrosine"
,APRD01334,,Digitoxin 3'''-acetate
,EXPT03217,,Vancomycinum
,DB04134,,omega-Aminohexanoic acid
,APRD00655,,DM
,APRD00359,,cis-diamminedichloroplatinum(II)
,APRD00800,,Octatropini methylbromidum
,APRD00782,,Proftril
,APRD01269,,Trandolaprilum
,APRD00199,,"1-[(4R,5S)-5-[(2-Aminoethyl)amino]-N(2)-(10,12-dimethyl-1-oxotetradecyl)-4-hydroxy-L-ornithine]-5-[(3R)-3-hydroxy-L-ornithine]-pneumocandin b0"
,APRD00195,,Carteololum
,APRD00818,,PFT
,APRD00017,,Alitretinoinum
,APRD01109,,Metolazonum
,APRD01607,,Tolnaphthate
,APRD00186,,oxaliplatinum
,APRD00915,,N-(2-(Diethylamino)ethyl)-2-butoxycinchoninamide
,APRD00193,,Lercanil
,APRD00669,,Phosphonomethanoic acid
,APRD00951,,"[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine"
,APRD00408,,"N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"
,APRD00864,,Chlormerodrinum
,APRD00644,,CFDN
,EXPT01546,,Iminourea
,EXPT00999,,Ciprofloxacinum
,APRD00993,,Gadoversetamidum
,APRD00391,,Toremifenum
,APRD00602,,Sensaval
,APRD00495,,Vincristinum
,APRD00063,,Benazeprilum
,APRD00142,,Desmethylloxapin
,EXPT03204,,FU
,APRD00380,,Pyridostigmini Bromidum
,APRD00724,,Adinazolamum
,APRD00910,,Desoxymethasone
,EXPT00598,,Skinoren
,APRD00377,,"ICI-204,219"
,APRD00297,,Propylthiouracilum
,EXPT01688,,N-Hydroxyacetamide
,APRD00202,,Pentostatinum
,APRD00157,,Zanthotoxin
,APRD01187,,Pyroxycam
,APRD00570,,Lamotriginum
,APRD01177,,Perflutren
,APRD00688,,Hydroxyzinum
,APRD00378,,ZMR
,APRD00829,,p-tert-Butyl-N-(6-(2-hydroxyethoxy)-5-(o-methoxyphenoxy)-2-(2-pyrimidinyl)-4-pyrimidinyl)benzenesulfonamide
,APRD01307,,Tigecyclinum
,APRD00935,,Doxapramum
,APRD00728,,Benztiazide
,APRD00353,,"N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
,APRD00337,,CBZ
,APRD00874,,Cisatracurium cation
,APRD01236,,meso-dimercaptosuccinic acid
,APRD00250,,Cephalexin anhydrous
,APRD00332,,Cinnarizinum
,DB11728,,Natural heparin pentasaccharide
,APRD00708,,Vincaleukoblastine
,APRD00194,,β-Propranolol
,EXPT02427,,Tropine tropate
,APRD00970,,Fenoprofenum
,APRD00319,,Fenfluraminum
,DB07566,,Clonidinum
,APRD00684,,Sulfametizol
,APRD00697,,Valacyclovir
,APRD00846,,"N-(2-Carboxy-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)hept-6-yl)-2-phenylmalonamic acid"
,APRD01085,,Mazindolum
,APRD01063,,Lactulosum
,APRD00543,,Voriconazolum
,APRD01070,,Vitamin BT
,APRD00510,,Enalaprilum
,APRD00706,,Nizatidinum
,APRD00527,,Diclofenacum
,APRD00637,,Cinalukast
,APRD00636,,"N'-((8alpha)-9,10-didehydro-6-methylergolin-8-yl)-N,N-diethylurea"
,APRD00474,,Doxazosinum
,APRD00977,,fluocinoloni acetonidum
,DB11514,,Piperazin
,APRD00318,,γ-ethyl-γ-methyl-succinimide
,EXPT00514,,"N-amidino-3,5-diamino-6-chloropyrazinecarboxamide"
,APRD00019,,Oxytetracyclinum
,APRD01010,,Ulobetasolum
,APRD00992,,Gd-hpdo3a
,APRD01062,,Labetolol
,APRD00660,,Trapanal
,APRD01121,,p-Hydroxyphenyl benzyl ether
,DB08769,,N-(((S)-3-(3-Fluoro-4-morpholinophenyl)-2-oxo-5-oxazolidinyl)methyl)acetamide
,APRD01058,,Ivermectinum
,APRD00627,,MPA
,APRD00454,,Cisapridum
,APRD01243,,Sulindacum
,EXPT01082,,Cyclothiazidum
,DB08269,,Naphcillin
,APRD00468,,"N4-(7-chloro-4-quinolinyl)-N1,N1-diethyl-1,4-pentanediamine"
,APRD00961,,ETP
,APRD00555,,Metaraminolum
,APRD00835,,Butorphanolum
,APRD00257,,Bisoprololum
,APRD00796,,Amodiaquinum
,APRD00988,,Nitrofurazolidonum
,APRD00094,,Rifabutinum
,APRD00027,,4-({1-[(S)-2-(indan-5-yloxycarbonyl)-3-(2-methoxy-ethoxy)-propyl]-cyclopentanecarbonyl}-amino)-cyclohexanecarboxylic acid
,APRD00236,,Paramethadionum
,APRD00272,,DMCTC
,DB03261,,STI 571
,APRD00422,,Triamcinolonum
,APRD01151,,Protivar
,APRD00088,,Nicardipinum
,APRD00633,,Triflumethazine
,DB05275,,Virosterone
,DB07709,,Efavirenzum
,APRD00816,,"Bacitracin F, 1-(N-((2-(1-amino-2-methylbutyl)-4,5-dihydro-4-thiazolyl)carbonyl)-L-leucine)-"
,APRD00536,,β-pyridinecarboxylic acid
,APRD00881,,Clorazepic acid
,APRD00487,,Guanabenzum
,APRD00561,,Alendronate
,DB06189,,Clofarex
,APRD00933,,N-Docosanol
,APRD00578,,Dexmedetomidinum
,APRD00452,,Sulphacetamidum
,APRD00340,,Prednisonum
,APRD00879,,Liprin
,APRD00585,,Astemizolum
,APRD00834,,Polyfructosanum
,DB06639,,beta-D-Adenosine
,APRD00104,,Synvinolin
,APRD01086,,Mebendazolum
,APRD01001,,Gonadotropin-releasing hormone
,APRD00940,,Dycloninum
,APRD01146,,Nystatinum
,APRD00548,,Propoxyphene
,APRD00494,,"Piprine-DDD, O-"
,APRD00440,,STV
,APRD00698,,N5-Formyltetrahydrofolic acid
,APRD00769,,Dyphylline
,APRD01173,,Pentazocinum
,APRD01080,,MgSO4
,APRD01065,,"Propan-2-yl (5Z)-7-{(1R,2R,3R,5S)-3,5-dihydroxy-2-[(3R)-3-hydroxy-5-phenylpentyl]cyclopentyl}hept-5-enoate"
,APRD00588,,Oestrone
,APRD00533,,Trazodonum
,APRD00458,,Versamine
,APRD01226,,Sevelamerum
,APRD00661,,N-Acetylhomotaurine
,APRD00514,,Metaxalonum
,APRD00335,,Verapamilum
,APRD01277,,Trimetobenzamida
,APRD00975,,Flumetasonum
,APRD00517,,Sulfalenum
,APRD00150,,Nilutamidum
,APRD01129,,Nafarelinum
,EXPT00496,,levoepinephrine
,APRD00379,,triptan
,APRD00515,,Pirenzepinum
,APRD00583,,Cefiximum
,APRD00029,,N-Propyl-n'-P-chlorophenylsulfonylcarbamide
,APRD00100,,Aprepitantum
,EXPT01628,,Galanthamine
,APRD00123,,trans-Tamoxifen
,DB02775,,Phenylmethyl benzoate
,APRD00763,,"O,O'-diisopropyl phosphoryl fluoride"
,APRD00052,,Losartan
,APRD00596,,Tioridazina
,APRD01124,,Moricizine
,APRD00797,,Liposomal amphotericin b
,APRD00341,,Zoocoumarin
,APRD00680,,Midazolamum
,APRD00582,,Tobrex (tn)
,APRD01175,,Pentosanpolysulfat
,DB02478,,Fluohydrocortisone
,APRD01602,,Mycophenolic acid morpholinoethyl ester
,APRD00858,,D-Cephaloglycine
,APRD00983,,Insumin
,APRD01120,,Moexiprilum
,APRD00615,,Vesomax
,DB07777,,Yellow fluorescein
,APRD00521,,Rubidomycin
,DB07799,,Lasix (tn)
,APRD00677,,Ergotaminum
,APRD00128,,Tizanidinum
,APRD00191,,Nitrofurantoinum anhydrous
,APRD00617,,Sermion
,APRD00707,,Epoxymexrenone
,APRD00605,,Amprenavirum
,APRD01026,,Icodextrinum
,APRD00740,,Neptazaneat
,DB05067,,Naltrexonum
,DB08563,,N-{2-[4-(3-isopropylamino-pyridin-2-yl)-piperazine-1-carbonyl]-1H-indol-5-yl}-methanesulfonamide
,APRD00036,,Tamsulosinum
,APRD00078,,Porfimerum natricum
,DB05563,,Sufentanyl
,APRD00681,,Lamivudinum
,DB04635,,Ibandronic Acid
,APRD00918,,"N,N-Diethyl-4-methyl-1-piperazinecarboxamide"
,APRD00753,,S-flurbiprofen
,APRD01149,,Oxazocilline
,DB05816,,R-(−)-apomorphine
,DB00715,,Paroxetinum
,APRD01137,,Nedocromilum
,APRD00679,,Noretisterona
,APRD00781,,bis-POM PMEA
,APRD00810,,Azatadinum
,APRD00639,,Dichloromethylidene diphosphonate
,DB05342,,β-(diethylamino)ethyl p-aminobenzoate
,APRD00560,,Lisinoprilum
,APRD00062,,Pseudomethoxamine
,APRD01030,,Zartra
,APRD01017,,Tropinium methobromide mandelate
,APRD00498,,Trimipraminum
,APRD00153,,Trinitroglycerol
,APRD01221,,Rocuronium
,APRD00928,,Vagophemanil
,DB08630,,Tiabendazole
,APRD00806,,Atracurium dibesylate
,APRD01193,,Pralidoximum
,APRD00187,,Sequinan
,APRD01131,,Naftifinum
,APRD00363,,Perprazole
,APRD00354,,Nevidoxine
,EXPT02625,,Pentamidinum
,APRD01012,,Phenazacillin
,APRD00145,,Riluzolum
,DB07886,,Reichstein's substance M
,EXPT02246,,Mannitolum
,APRD00989,,Gadobensäure
,APRD00265,,Zileutonum
,APRD00534,,Moderateafinil
,APRD00904,,DFOM
,APRD00616,,Scopolamine hydrobromide
,APRD00765,,Paracarbinoxamine
