approved,country,dosage-form,dpd-id,ema-product-code,ema-product-number,ended-marketing-on,fda-application-number,generic,labeller,name,ncd-id,ncd-product-code,over-the-counter,route,source,started-marketing-on,strngth
True,Canada,"Powder, for solution",00886777,,,2009-10-28,,False,Microbix Biosystems Inc,Kinlytic Open-cath,,,False,Intravenous,DPD,1991-12-31,5000 unit
True,Canada,Implant,02225905,,,,,False,Tersera Therapeutics Llc,Zoladex LA,,,False,Subcutaneous,DPD,1996-08-28,10.8 mg
True,Canada,"Powder, for solution",02233013,,,2013-08-29,,False,Ekr Therapeutics,Retavase,,,False,Intravenous,DPD,1999-02-19,10.4 unit
True,EU,"Injection, solution",,EMEA/H/C/000760,EU/1/07/432/022,,,False,Stada Arzneimittel Ag,Silapo,,,False,Intravenous; Subcutaneous,EMA,2007-12-18,40000 IU/1.0ml
True,Canada,Liquid,02261766,,,2013-10-01,,True,Sandoz Canada Incorporated,Sandoz-calcitonin NS,,,False,Nasal,DPD,2004-12-01,200 unit
True,US,Injection,,,,,BLA103158,False,Hemispherx Biopharma,Alferon,,54746-001,False,Subcutaneous,FDA NDC,1989-10-10,5000000 [arb'U]/mL
False,EU,"Injection, solution",,EMEA/H/C/000422,EU/1/02/228/003,2008-12-22,,False,Dompé Biotec S.P.A.,Neupopeg,,,False,Subcutaneous,EMA,2002-08-22,6 mg
True,US,"Injection, powder, for solution",,,,2016-06-30,BLA103362,False,Genzyme Corporation,Leukine,,58468-0180,False,Intravenous; Subcutaneous,FDA NDC,2010-03-15,250 ug/mL
True,Canada,"Powder, for solution",00874000,,,1999-08-04,,False,Ferring Pharmaceuticals,Secretin Inj 75unit/vial,,,False,Intravenous,DPD,1990-12-31,75 unit
True,Canada,"Capsule; Powder, for solution",02371472,,,2016-09-02,,False,Merck Ltd.,Victrelis Triple,,,False,Oral; Subcutaneous,DPD,2011-08-16,
True,EU,"Injection, powder, for solution",,EMEA/H/C/002661,EU/1/15/1072/002,,,False,Medac Gesellschaft Fuer Klinische Spezialpraeparate Mb H,Spectrila,,,False,Intravenous,EMA,2016-01-14,10000 U
True,US,Kit,,,,,NDA020898,False,Genzyme Corporation,Thyrogen,,58468-1849,False,,FDA NDC,1998-11-30,
True,US,Kit,,,,,BLA125264,False,"Wyeth Bio Pharma Division Of Wyeth Pharmaceuticals Inc., A Subsidiary Of Pfizer Inc.",Xyntha,,58394-025,False,,FDA NDC,2011-08-01,
True,US,"Injection, solution",,,,,BLA103950,False,SWEDISH ORPHAN BIOVITRUM AB (PUBL),Kineret,,66658-234,False,Subcutaneous,FDA NDC,2009-12-15,100 mg/.67mL
True,Canada,Ointment,00717029,,,,,False,"Taro Pharmaceuticals, Inc.",Viaderm Kc Ont,,,False,Topical,DPD,1983-12-31,
True,US,Liquid,,,,,BLA103649,False,Aptevo Bio Therapeutics Llc,Winrho,,70504-3500,False,Intramuscular; Intravenous,FDA NDC,2016-07-01,2500 [iU]/mL
True,Canada,"Powder, for solution",02229390,,,2009-02-23,,False,Well Spring Pharmaceutical Corporation,Eminase 30 Units,,,False,Intravenous,DPD,1997-12-15,30 unit
False,EU,"Injection, solution",,EMEA/H/C/000423,EU/1/02/232/003,2009-04-17,,False,Novo Nordisk,Velosulin,,,False,Intravenous; Subcutaneous,EMA,2002-10-07,100 IU/ml
True,US,Kit,,,,,BLA103909,False,"Genentech, Inc.",TNKase,,50242-120,False,,FDA NDC,2000-06-02,
True,Canada,"Powder, for solution",02247790,,,,,False,Ferring Pharmaceuticals,Repronex,,,False,Intramuscular; Subcutaneous,DPD,2003-08-28,75 unit
True,US,"Injection, solution",,,,,BLA103836,False,"Hznp Usa, Inc.",Actimmune,,42238-111,False,Subcutaneous,FDA NDC,2013-12-01,100 ug/.5mL
True,Canada,Solution,00891002,,,1997-06-18,,False,Hoffmann La Roche,Roferon-A Solution Inj 36000000unit/ml,,,False,Intramuscular; Subcutaneous,DPD,1992-12-31,36000000 unit
True,Canada,Tablet,02287749,,,,,True,Teva,Teva-desmopressin,,,False,Oral,DPD,2007-07-16,0.2 mg
True,US,Kit,,,,2015-10-31,BLA103665,False,Novo Nordisk,NovoSeven RT,,0169-7050,False,,FDA NDC,2008-04-30,
True,US,Kit,,,,2017-04-30,BLA103694,False,"Wyeth Bio Pharma Division Of Wyeth Pharmaceuticals Inc., A Subsidiary Of Pfizer Inc.",Neumega,,58394-004,False,,FDA NDC,1997-11-01,
True,Canada,"Powder, for solution",02274221,,,2016-01-30,,False,SWEDISH ORPHAN BIOVITRUM AB (PUBL),Kepivance,,,False,Intravenous,DPD,2006-03-14,6.25 mg
True,Canada,"Powder, for solution",00015377,,,2002-05-27,,False,Eli Lilly & Co. Ltd.,Glucagon Ampoule 666 1mg,,,False,Intramuscular; Intravenous; Subcutaneous,DPD,1961-12-31,1 mg
True,Canada,"Powder, for solution",02130181,,,,,False,Novartis,Proleukin,,,False,Intravenous,DPD,1995-12-31,22000000 unit
True,US,"Injection, solution",,,,,BLA103846,False,Solstice Neurosciences,Myobloc,,10454-712,False,Intramuscular,FDA NDC,2000-12-08,10000 [USP'U]/2mL
True,Canada,Solution,02459787,,,,,False,Novartis,Xolair,,,False,Subcutaneous,DPD,2017-06-28,75 mg
True,EU,"Injection, powder, for solution",,EMEA/H/C/000714,EU/1/07/396/003,,,False,Merck Serono Europe Limited,Pergoveris,,,False,Subcutaneous,EMA,2007-06-25,
False,,,,,,,,False,,,,,False,,,,
True,EU,"Injection, suspension",,EMEA/H/C/000393,EU/1/01/195/021,,,False,Eli Lilly Nederland B.V.,Liprolog Mix50 Kwikpen,,,False,Subcutaneous,EMA,2001-08-01,100 U/ml
True,Canada,Solution,02441829,,,,,False,Sanofi Aventis,Toujeo Solostar,,,False,Subcutaneous,DPD,2015-07-15,300 unit
True,EU,"Injection, powder, for solution",,EMEA/H/C/002048,EU/1/11/671/001,,,False,Swedish Orphan Biovitrum Ab,Xiapex,,,False,Intralesional,EMA,2011-02-28,0.9 mg
True,Canada,"Powder, for solution",02271397,,,,,False,Sanofi Aventis,Fasturtec,,,False,Intravenous,DPD,,7.5 mg
True,US,Kit,,,,,NDA021197,False,Emd Serono,Cetrotide,,44087-1225,False,Subcutaneous,FDA NDC,2000-08-11,
True,Canada,Solution,02258595,,,,,False,Abbvie,Humira,,,False,Subcutaneous,DPD,2004-09-24,40 mg
True,US,Kit,,,,,NDA021597,False,Emd Serono,Zorbtive,,44087-3388,False,Subcutaneous,FDA NDC,2003-12-01,
True,US,"Injection, powder, lyophilized, for solution",,,,,NDA020367,False,Genzyme Corporation,Cerezyme,,58468-4663,False,Intravenous,FDA NDC,1994-05-23,40 U/mL
True,US,"Injection, solution",,,,,BLA103575,False,Eli Lilly & Co. Ltd.,Reopro,,0002-7140,False,Intravenous,FDA NDC,1993-12-16,2 mg/mL
True,Canada,"Powder, for solution",02247129,,,2011-11-14,,False,Eli Lilly & Co. Ltd.,Xigris (5mg/vial),,,False,Intravenous,DPD,2003-02-20,5 mg
True,US,"Injection, powder, lyophilized, for solution",,,,,BLA761060,False,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",Mylotarg,,0008-4510,False,Intravenous,FDA NDC,2017-09-07,5 mg/5mL
False,,,,,,,,False,,,,,False,,,,
True,Canada,"Kit; Powder, for solution",02457911,,,,,False,Csl Behring,Zemaira,,,False,Intravenous,DPD,,1000 mg
True,Canada,Solution,02461900,,,,,False,Shire Pharma Canada Ulc,Oncaspar,,,False,Intramuscular; Intravenous,DPD,2017-06-01,750 unit
True,US,"Injection, solution",,,,,BLA103780,False,Emd Serono,Rebif Rebidose,,44087-3344,False,Subcutaneous,FDA NDC,2012-12-21,44 ug/.5mL
True,US,"Injection, solution",,,,,NDA019818,False,"Leadiant Biosciences, Inc.",Adagen,,57665-001,False,Intramuscular,FDA NDC,2010-10-18,250 [iU]/mL
True,Canada,Liquid,02375141,,,,,False,Greer Laboratories,Sterile Diluent for Allergenic Extracts Normal Saline With Hsa,,,False,Intradermal; Subcutaneous,DPD,2014-02-19,0.03 %
True,US,"Injection, solution",,,,,NDA020718,False,Merck Sharp & Dohme Limited,Integrilin,,0085-1136,False,Intravenous,FDA NDC,1998-05-18,.75 mg/mL
True,Canada,"Powder, for solution",02470373,,,,,False,"Samsung Bioepis Co., Ltd.",Renflexis,,,False,Intravenous,DPD,,100 mg
True,Canada,Solution,02474093,,,,,False,Ferring Pharmaceuticals,Rekovelle,,,False,Subcutaneous,DPD,,12 mcg
True,US,Injection,,,,,NDA204485,False,"Medical Purchasin Solutions, Llc",Vasostrict,,71872-7014,False,Intravenous,FDA NDC,2014-11-12,20 [USP'U]/mL
True,Canada,"Powder, for solution",02337819,,,,,False,Novartis,Extavia,,,False,Subcutaneous,DPD,2010-05-05,0.3 mg
True,Canada,Solution,02239832,,,2012-10-31,,False,Three Rivers Pharmaceuticals Llc,Infergen,,,False,Subcutaneous,DPD,1999-07-12,0.03 mg
True,Canada,Liquid,02041278,,,2002-06-10,,False,Wyeth Ayerst Canada Inc.,Wydase Injection Liq 150 Units/ml,,,False,Infiltration; Subcutaneous,DPD,1994-12-31,150 unit
True,Canada,Solution,02275872,,,,,False,Wockhardt Uk Ltd,Hypurin Regular Insulin Pork,,,False,Intramuscular; Intravenous; Subcutaneous,DPD,2006-04-01,100 unit
True,Canada,"Kit; Powder, for solution; Solution",02405024,,,,,False,Hoffmann La Roche,Perjeta-herceptin,,,False,Intravenous,DPD,2013-05-09,
True,Canada,Solution,02457350,,,,,False,Hoffmann La Roche,Rituxan Sc,,,False,Subcutaneous,DPD,2016-11-22,1400 mg
True,US,"Injection, powder, for solution",,,,,BLA103764,False,Novartis,Simulect,,0078-0393,False,Intravenous,FDA NDC,1998-05-12,10 mg/2.5mL
True,Canada,Solution,02015978,,,2007-07-09,,False,Janssen Pharmaceuticals,Orthoclone Okt 3 Sterile Solution  IV 1mg/ml,,,False,Intravenous,DPD,1987-12-31,1 mg
True,Canada,"Powder, for solution",02361043,,,,,False,Btg International Inc,DigiFab,,,False,Intravenous,DPD,2011-11-04,40 mg
True,US,Kit,,,,,BLA125019,False,"Spectrum Pharmaceuticals, Inc.",Zevalin,,68152-103,False,,FDA NDC,2002-02-19,
True,US,"Injection, powder, lyophilized, for solution",,,,,NDA021572,True,"Teva Parenteral Medicines, Inc.",Daptomycin,,0703-0125,False,Intravenous,FDA NDC,2016-06-15,500 mg/10mL
True,Canada,Kit; Solution,02270471,,,2014-07-31,,False,Glaxosmithkline Inc,Bexxar Therapy,,,False,Intravenous,DPD,2006-04-10,14 mg
True,Canada,"Kit; Powder, for solution",02272199,,,,,False,Pfizer,Somavert,,,False,Subcutaneous,DPD,2006-01-24,10 mg
True,Canada,"Powder, for solution",02383489,,,,,False,Merz Pharmaceuticals,Xeomin Cosmetic,,,False,Intramuscular,DPD,2012-07-05,100 unit
True,Canada,Tablet,00191353,,,1996-09-09,,False,Therapeutic Foods Co.,Zypanax,,,True,Oral,DPD,1980-04-02,
True,Canada,"Powder, for solution",00527149,,,1996-08-29,,False,Hoechst Canada Inc.,Streptase Inj 750000unit/vial,,,False,Intravenous,DPD,1981-12-31,750000 unit
True,Canada,Solution,02273993,,,2008-08-07,,False,Genzyme Corporation,Mabcampath,,,False,Intravenous,DPD,2006-05-01,10 mg
False,,,,,,,,False,,,,,False,,,,
True,US,Kit,,,,,BLA103608,False,Jazz Pharmaceuticals,ProstaScint Kit for the Preparation of Indium In 111 Capromab Pendetide,,57902-817,False,,FDA NDC,1996-10-28,
True,EU,"Injection, solution, concentrate",,EMEA/H/C/000477,EU/1/03/253/003,,,False,Genzyme Europe Bv,Aldurazyme,,,False,Intravenous,EMA,2003-06-10,100 U/ml
True,Canada,Emulsion,02462486,,,,,True,Teva,Teva-cyclosporine,,,False,Ophthalmic,DPD,,0.05 %
True,Canada,"Powder, for solution",02259052,,,2012-12-01,,False,Astellas Pharma Inc,Amevive,,,False,Intramuscular,DPD,2004-10-12,15 mg
False,,,,,,,,False,,,,,False,,,,
True,Canada,"Powder, for solution",00254916,,,2007-05-07,,False,"Emd Serono, A Division Of Emd Inc., Canada",Pergonal 75 I.U.,,,False,Intramuscular,DPD,1979-12-31,
True,Canada,"Powder, for solution",02272504,,,2009-06-08,,False,"Emd Serono, A Division Of Emd Inc., Canada",Raptiva,,,False,Subcutaneous,DPD,2005-10-26,150 mg
True,EU,"Injection, solution",,EMEA/H/C/000320,EU/1/00/165/008,,,False,Merck Serono Europe Limited,Ovitrelle,,,False,Subcutaneous,EMA,2001-02-02,250 micrograms
True,US,"Injection, powder, lyophilized, for solution",,,,,BLA103869,False,Genzyme Corporation,Thymoglobulin,,58468-0080,False,Intravenous,FDA NDC,1998-12-30,5 mg/mL
True,US,"Injection, solution",,,,,BLA125553,False,Sandoz,Zarxio,,61314-312,False,Intravenous; Subcutaneous,FDA NDC,2015-03-06,480 ug/.8mL
True,US,Kit,,,,,BLA125446,False,Baxalta Canada Corporation,Rixubis,,0944-3034,False,,FDA NDC,2013-06-26,
True,Canada,Gel,02239405,,,2011-07-27,,False,Janssen Pharmaceuticals,Regranex (becaplermin) 0.01%,,,False,Topical,DPD,1999-02-01,100 mcg
True,Canada,Solution,02249057,,,,,False,Shire Human Genetic Ther API Es Inc,Replagal,,,False,Intravenous,DPD,2004-03-18,1 mg
True,US,Kit,,,,2017-08-31,NDA021008,False,Novartis,Sandostatin LAR Depot Demonstration Kit,,0078-9342,False,,FDA NDC,1988-11-01,
True,Canada,Capsule; Kit; Liquid,02241159,,,2004-10-27,,False,Schering Plough,Rebetron Solution (albumin (human) Free) (18 Miu Multi-dose Pen / 200mg Capsules),,,False,Oral; Subcutaneous,DPD,1999-12-23,
False,,,,,,,,False,,,,,False,,,,
True,US,Injection,,,,,NDA018261,False,Par Pharmaceutical,Pitocin,,42023-116,False,Intravenous,FDA NDC,2007-10-01,10 [iU]/mL
True,US,Injection,,,,,BLA125104,False,Biogen,Tysabri,,64406-008,False,Intravenous,FDA NDC,2004-11-23,300 mg/15mL
True,US,Kit,,,,,NDA021481,False,"Genentech, Inc.",Fuzeon,,0004-0381,False,,FDA NDC,2012-04-10,
True,Canada,"Powder, for solution",02245890,,,,,False,Abbvie,Synagis,,,False,Intramuscular,DPD,2002-09-26,100 mg
True,US,"Injection, solution",,,,,BLA761029,False,Abbvie,Zinbryta Pen,,0074-0034,False,Subcutaneous,FDA NDC,2017-05-26,150 mg/mL
True,US,"Injection, solution",,,,,BLA761028,False,Amgen,Mvasi,,55513-207,False,Intravenous,FDA NDC,2018-06-01,400 mg/16mL
False,,,,,,,,False,,,,,False,,,,
False,US,"Capsule, gelatin coated",,,,,,False,"Pure Source, Llc",Vita-Rx Diabetic Vitamin,,65121-301,False,Oral,FDA NDC,2015-08-11,
True,Canada,Tablet,00529893,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews Plus Iron,,,True,Oral,DPD,1981-12-31,
False,,,,,,,,False,,,,,False,,,,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
False,,,,,,,,False,,,,,False,,,,
True,US,Solution,,,,,BN950522,False,Citra Labs,Rejuvesol,,23731-7000,False,Extracorporeal,FDA NDC,1997-02-26,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Tablet,02232894,,,2007-09-25,,False,Pro Ma Systems,Women's Formula,,,True,Oral,DPD,1998-10-31,
True,Canada,Tablet,02232894,,,2007-09-25,,False,Pro Ma Systems,Women's Formula,,,True,Oral,DPD,1998-10-31,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Tablet,00639680,,,2004-03-15,,False,Anabolic Laboratories Inc.,Zymain Tab,,,True,Oral,DPD,1985-12-31,
False,,,,,,,,False,,,,,False,,,,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Liquid,02161192,,,1998-08-13,,False,Clintec Nutrition Company,Primene 10%-liq IV,,,False,Intravenous,DPD,1995-12-31,
True,US,"Powder, for solution",,,,,NDA021667,False,"Emmaus Medical, Inc.",NutreStore,,42457-001,False,Oral,FDA NDC,2008-06-04,5 g/1
False,,,,,,,,False,,,,,False,,,,
False,US,Capsule,,,,2017-09-16,,False,"Trigen Laboratories, Inc.",UltimateCare ONE NF,,13811-050,False,Oral,FDA NDC,2009-12-04,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Tablet,02243445,,,2003-08-22,,False,"Nutricia Manufacturing Usa, Inc.",Women's Biomultiple Vitamin and Mineral Supplement,,,True,Oral,DPD,2001-10-20,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,US,Ointment,,,,,NDA022087,False,Galderma,Vectical,,0299-2012,False,Topical,FDA NDC,2009-02-01,3 ug/g
False,US,"Capsule, gelatin coated",,,,2016-10-13,,False,"Focus Laboratories, Inc.",Tozal,,15821-501,False,Oral,FDA NDC,2013-06-01,
False,US,Powder,,,,2017-09-16,,False,Mbg Inc (Korea Institute of Science Development),Medi Msm (methyl Sulfonyl Methane),,70694-3850,True,Topical,FDA NDC,2016-09-16,
False,US,Tablet,,,,,,False,"Avion Pharmaceuticals, Llc",Niferex,,75854-321,False,Oral,FDA NDC,2017-01-23,
True,Canada,Tablet,00529893,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews Plus Iron,,,True,Oral,DPD,1981-12-31,
False,,,,,,,,False,,,,,False,,,,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,US,Kit,,,,2017-05-31,NDA018469,False,"Alcon, Inc.",Bss Plus,,0065-0800,False,,FDA NDC,1982-06-28,
False,US,"Capsule, delayed release pellets",,,,,,False,Jaymac Pharmaceuticals Llc,EnLyte,,64661-711,False,Oral,FDA NDC,2011-10-01,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,US,"Capsule, extended release",,,,,NDA208010,False,Opko Pharmaceuticals Llc,Rayaldee,,70301-1001,False,Oral,FDA NDC,2016-10-25,30 ug/1
False,,,,,,,,False,,,,,False,,,,
False,,,,,,,,False,,,,,False,,,,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Tablet,00529893,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews Plus Iron,,,True,Oral,DPD,1981-12-31,
True,Canada,Tablet,00529761,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews,,,True,Oral,DPD,1981-12-31,
False,,,,,,,,False,,,,,False,,,,
False,US,Injection,,,,,,False,Perdido Key Health And Wellness Inc,Lipovite,,70104-128,False,Intramuscular,FDA NDC,2015-11-23,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
False,US,Capsule,,,,,,False,"Sterling Knight Pharmaceuticals, Llc",Lexazin,,69336-358,False,Oral,FDA NDC,2018-01-02,
True,Canada,Tablet,00529893,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews Plus Iron,,,True,Oral,DPD,1981-12-31,
False,US,Capsule,,,,2017-09-08,,False,Virtus Pharmaceuticals,Vp-CH-pnv,,76439-224,False,Oral,FDA NDC,2012-03-15,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,Canada,Tablet,00529893,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews Plus Iron,,,True,Oral,DPD,1981-12-31,
True,Canada,Tablet,00529761,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews,,,True,Oral,DPD,1981-12-31,
True,Canada,Tablet,00529893,,,2003-09-11,,False,"Hall Laboratories, Ltd.",Zoo Chews Plus Iron,,,True,Oral,DPD,1981-12-31,
False,US,"Capsule, gelatin coated",,,,,,False,"Pure Source, Llc",Vita-Rx Diabetic Vitamin,,65121-301,False,Oral,FDA NDC,2015-08-11,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
False,,,,,,,,False,,,,,False,,,,
False,US,Capsule,,,,2017-06-21,,False,Axiom Pharma,Zolate,,70033-113,False,Oral,FDA NDC,2016-07-25,
False,,,,,,,,False,,,,,False,,,,
False,,,,,,,,False,,,,,False,,,,
True,Canada,Solution,02065665,,,2006-07-17,,False,Fresenius Kabi Ab,Vamin N,,,False,Intravenous,DPD,1995-12-31,
True,US,Kit,,,,,NDA880217,False,Terumo Corporation,TERUFLEX Blood Bag System with Diversion Blood Sampling Arm Anticoagulant Citrate Phosphate Dextrose (CPD) AND OPTISOL (AS-5) Red Cell Preservative,,53877-008,False,Intravenous,FDA NDC,2010-05-05,
False,,,,,,,,False,,,,,False,,,,
True,Canada,Tablet,02247010,,,,,True,Teva,Teva-pravastatin,,,False,Oral,DPD,2003-01-08,40 mg
True,Canada,Tablet,02247055,,,,,False,Sandoz Canada Incorporated,Sandoz Fluvoxamine,,,False,Oral,DPD,2003-02-27,100 mg
True,Canada,Tablet,02367785,,,,,False,Pro Doc Limitee,Valsartan-hctz,,,False,Oral,DPD,2011-05-30,
True,Canada,Capsule,02438909,,,,,True,Vanc Pharmaceuticals Inc,Van-ramipril,,,False,Oral,DPD,2016-01-27,15 mg
False,,,,,,,,False,,,,,False,,,,
True,Canada,Solution; Spray,02162687,,,2015-10-26,,False,Ivax Pharmaceuticals Incorporated,Rhinalar Nasal Mist,,,False,Nasal,DPD,1996-12-31,25 mcg
True,Canada,Tablet,02442159,,,,,False,Sandoz Canada Incorporated,Sandoz Baclofen,,,False,Oral,DPD,,20 mg
True,Canada,"Capsule, extended release",02457342,,,,,False,Sandoz Canada Incorporated,Sandoz Amphetamine XR,,,False,Oral,DPD,2016-12-22,
True,Canada,Liquid,02043319,,,1998-09-18,,False,Wyeth Ayerst Canada Inc.,Peptavlon Liq Inj 0.25mg/ml,,,False,Intramuscular; Intravenous; Subcutaneous,DPD,1994-12-31,.25 mg
True,US,"Gum, chewing",,,,,ANDA076779,True,Niconovum Usa Inc.,Zonnic Nicotine Polacrilex,,42884-532,True,Oral,FDA NDC,2012-06-27,4 mg/1
True,US,Capsule,,,,2018-02-08,NDA020989,False,Stat Rx USA,Evoxac,,16590-859,False,Oral,FDA NDC,2000-01-11,30 mg/1
True,Canada,Tablet,00711101,,,,,True,Teva,Teva-lorazepam,,,False,Oral,DPD,1987-12-31,0.5 mg
True,US,Injection,,,,,NDA019386,False,"Medical Purchasing Solutions, Llc",Esmolol Hydrochloride,,71872-7136,False,Intravenous,FDA NDC,1986-12-31,10 mg/mL
True,EU,"Injection, powder, for solution",,EMEA/H/C/000539,EU/1/04/274/002,,,False,Janssen Cilag International Nv,Velcade,,,False,Intravenous,EMA,2004-04-26,1.0 mg
True,Canada,Capsule,00228893,,,2008-06-06,,False,Abbott,Placidyl Cap 750mg,,,False,Oral,DPD,1971-12-31,750 mg
True,Canada,Tablet,02244496,,,,,True,Teva,Teva-levocarbidopa,,,False,Oral,DPD,2002-07-05,
True,US,"Tablet, orally disintegrating",,,,,NDA202088,False,"Akrimax Pharmaceuticals, LLC",Suprenza,,24090-722,False,Oral,FDA NDC,2012-12-14,37.5 mg/1
False,,,,,,,,False,,,,,False,,,,
True,Canada,"Tablet, extended release",02360349,,,,,False,Purdue Pharma,Zytram XL,,,False,Oral,DPD,2011-03-02,100 mg
False,,,,,,,,False,,,,,False,,,,
True,Canada,Solution,02235971,,,,,False,Sandoz Canada Incorporated,Sandoz Betaxolol,,,False,Ophthalmic,DPD,1998-11-27,0.5 %
True,Canada,Tablet,02236979,,,,,True,Teva,Teva-fluconazole,,,False,Oral,DPD,2002-07-15,100 mg
False,,,,,,,,False,,,,,False,,,,
True,Canada,"Powder, for suspension",02245549,,,2013-12-12,,False,Hoffmann La Roche,Tamiflu Oral Suspension,,,False,Oral,DPD,2003-12-19,12 mg
True,Canada,Lotion; Swab,02047799,,,2004-08-05,,False,"Westwood Squibb, Division Of Bristol Myers Squibb Canada Inc.",T-stat Pad-lot,,,False,Topical,DPD,1994-12-31,
True,Canada,Liquid,00623857,,,2016-08-22,,False,Merit Pharmaceuticals,Hydroxy Cobal Inj 1000mcg/ml,,,False,Intramuscular,DPD,1984-12-31,1 mg
True,US,Capsule,,,,,ANDA089007,True,Mayne Pharma,Zebutal,,68308-554,False,Oral,FDA NDC,2013-12-26,
