drugbank-id,kind,source,value
BIOD00056,Molecular Formula,,C1014H1609N287O294S27
BIOD00054,Hydrophobicity,,-0.652
BIOD00054,Isoelectric Point,,6.72
BIOD00054,Molecular Weight,,27743.1
BIOD00054,Molecular Formula,,C1198H2012N322O422S2
DB01310,Melting Point,"Khachidze, D.G. et al., J. Biol. Phys. Chem. 1:64-67 (2001)",81 °C
DB01310,Hydrophobicity,,0.218
DB01310,Isoelectric Point,,5.39
DB01310,Molecular Weight,,5808.0
DB01310,Molecular Formula,,C257H387N65O76S6
DB01308,Melting Point,"Khachidze, D.G. et al., J. Biol. Phys. Chem. 1:64-67 (2001)",81 °C
DB01308,Hydrophobicity,,0.098
DB01308,Isoelectric Point,,6.88
DB01308,Molecular Weight,,6063.0
DB01308,Molecular Formula,,C267H404N72O78S6 
DB11249,Hydrophobicity,,-0.714
DB11249,Isoelectric Point,,5.58
DB11249,Molecular Weight,,112023.2
DB11249,Molecular Formula,,C5028H7666N1300O1564S21
BIOD00090,Hydrophobicity,,-0.465
BIOD00090,Isoelectric Point,,7.16
BIOD00090,Molecular Weight,,34109.5
BIOD00090,Molecular Formula,,C1521H2381N417O461S7
BIOD00049,Hydrophobicity,,-0.441
BIOD00049,Isoelectric Point,,8.25
BIOD00049,Molecular Weight,,144190.3
BIOD00049,Molecular Formula,,C6428H9912N1694O1987S46
DB06417,Melting Point,"Gomez-Orellana, I. et al., Protein Sci. 7:1352-1358 (1998)",76 °C at pH 3.5
DB06417,Hydrophobicity,,-0.411
DB06417,Isoelectric Point,,5.27
DB06417,Molecular Weight,,22129.0
DB06417,Molecular Formula,,C990H1532N262O300S7
BIOD00026,Hydrophobicity,,-0.168
BIOD00026,Isoelectric Point,,7.41
BIOD00026,Molecular Weight,,55597.4
BIOD00026,Molecular Formula,,C2532H3854N672O711S16
BIOD00041,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00041,Hydrophobicity,,-0.424
BIOD00041,Isoelectric Point,,6.16
BIOD00041,Molecular Weight,,145651.1
BIOD00041,Molecular Formula,,C6462H9964N1690O2049S48
BIOD00068,Hydrophobicity,,-0.291
BIOD00068,Isoelectric Point,,6.78
BIOD00068,Molecular Weight,,55000.0
BIOD00068,Molecular Formula,,C1786H2779N509O519S29
BIOD00077,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00077,Molecular Weight,,151500.0
BIOD00108,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00108,Hydrophobicity,,-0.427
BIOD00108,Isoelectric Point,,7.02
BIOD00108,Molecular Weight,,141478.9
BIOD00108,Molecular Formula,,C6268H9708N1666O1971S48
BIOD00002,Melting Point,"Tew D.J., Bottomley, S.P. J. Mol. Biol. 313:1161-1169 (2001)",59 °C at pH 7.8
BIOD00002,Hydrophobicity,,-0.302
BIOD00002,Isoelectric Point,,5.37
BIOD00002,Molecular Weight,,44324.5
BIOD00002,Molecular Formula,,C2001H3130N514O601S10
BIOD00079,Hydrophobicity,,0.059
BIOD00079,Isoelectric Point,,4.67
BIOD00079,Molecular Weight,,31731.9
BIOD00079,Molecular Formula,,C1377H2208N382O442S17
BIOD00093,Hydrophobicity,,-0.427
BIOD00093,Isoelectric Point,,8.93
BIOD00093,Molecular Weight,,20027.0
BIOD00093,Molecular Formula,,C908H1408N246O252S7
BIOD00100,Hydrophobicity,,-0.428
BIOD00100,Isoelectric Point,,5.33
BIOD00100,Molecular Weight,,40788.2
BIOD00100,Molecular Formula,,C1821H2834N484O552S14
DB00064,Molecular Weight,,66472.2
DB00064,Molecular Formula,,C2936H4624N786O889S41
BIOD00063,Hydrophobicity,,-2.3
BIOD00063,Molecular Weight,,831.962
BIOD00063,Molecular Formula,,C35H49N11O9S2
BIOD00004,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00004,Hydrophobicity,,-0.441
BIOD00004,Isoelectric Point,,8.25
BIOD00004,Molecular Weight,,144190.3
BIOD00004,Molecular Formula,,C6428H9912N1694O1987S46
DB09024,Melting Point,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",55 °C
DB09024,Hydrophobicity,,-0.330
DB09024,Isoelectric Point,,7.50
DB09024,Molecular Weight,,22672.9
DB09024,Molecular Formula,,C975H1513N267O304S26
DB09392,Water Solubility,,Soluble
BIOD00078,Hydrophobicity,,-0.447
BIOD00078,Isoelectric Point,,9.02
BIOD00078,Molecular Weight,,20011.0
BIOD00078,Molecular Formula,,C908H1408N246O253S6
BIOD00062,Melting Point,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",61 °C
BIOD00062,Hydrophobicity,,-0.336
BIOD00062,Isoelectric Point,,5.99
BIOD00062,Molecular Weight,,19343.0
BIOD00062,Molecular Formula,,C860H1353N227O255S9
BIOD00022,Hydrophobicity,,-0.117
BIOD00022,Isoelectric Point,,5.73
BIOD00022,Molecular Weight,,53870.9
BIOD00022,Molecular Formula,,C2455H3775N617O704S21
BIOD00031,Water Solubility,,Slightly soluble
BIOD00031,Hydrophobicity,,0.218
BIOD00031,Isoelectric Point,,5.39
BIOD00031,Molecular Weight,,5795.6
BIOD00031,Molecular Formula,,C257H387N65O76S6
BIOD00098,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00098,Hydrophobicity,,-0.415
BIOD00098,Isoelectric Point,,8.45
BIOD00098,Molecular Weight,,145531.5
BIOD00098,Molecular Formula,,C6470H10012N1726O2013S42
BIOD00014,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00014,Hydrophobicity,,-0.414
BIOD00014,Isoelectric Point,,8.68
BIOD00014,Molecular Weight,,143859.7
BIOD00014,Molecular Formula,,C6416H9874N1688O1987S44
BIOD00073,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00073,Hydrophobicity,,-0.473
BIOD00073,Isoelectric Point,,8.68
BIOD00073,Molecular Weight,,143801.3
BIOD00073,Molecular Formula,,C6378H9844N1698O1997S48
BIOD00005,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00005,Hydrophobicity,,-0.513
BIOD00005,Isoelectric Point,,8.31
BIOD00005,Molecular Weight,,146189.7
BIOD00005,Molecular Formula,,C6460H9946N1720O2043S56
BIOD00027,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",61 °C (FAB fragment)
BIOD00027,Hydrophobicity,,-0.343
BIOD00027,Isoelectric Point,,8.01
BIOD00027,Molecular Weight,,47301.7
BIOD00027,Molecular Formula,,C2085H3223N553O672S16
BIOD00069,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00069,Hydrophobicity,,-0.359
BIOD00069,Isoelectric Point,,7.91
BIOD00069,Molecular Weight,,143375.5
BIOD00069,Molecular Formula,,C6382H9830N1672O1979S54
DB09557,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
DB09557,Hydrophobicity,,-0.414
DB09557,Isoelectric Point,,8.68
DB09557,Molecular Weight,,143859.7
DB09557,Molecular Formula,,C6416H9874N1688O1987S44
BIOD00044,Melting Point,"Gomez-Orellana, I. et al., Protein Sci. 7:1352-1358 (1998)",76 °C at pH 3.5
BIOD00044,Hydrophobicity,,-0.411
BIOD00044,Isoelectric Point,,5.27
BIOD00044,Molecular Weight,,22129.0
BIOD00044,Molecular Formula,,C990H1532N262O300S7
BIOD00092,Water Solubility,,Soluble
BIOD00092,Hydrophobicity,,-0.368
BIOD00092,Isoelectric Point,,6.06
BIOD00092,Molecular Weight,,149322.7
BIOD00092,Molecular Formula,,C6760H10447N1743O2010S32
DB05356,Water Solubility,Monograph,1 mg/ml
DB05356,Melting Point,"Vinogradov, A.A. et al., Protein Eng. 14:683-689 (2001)",48-50 °C
DB05356,Molecular Weight,,131000.0
BIOD00028,Hydrophobicity,,-0.728
BIOD00028,Isoelectric Point,,5.12
BIOD00028,Molecular Weight,,47286.7
BIOD00028,Molecular Formula,,C2100H3278N566O669S4
BIOD00109,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00109,Hydrophobicity,,-0.431
BIOD00109,Isoelectric Point,,8.76
BIOD00109,Molecular Weight,,145453.8
BIOD00109,Molecular Formula,,C6468H10066N1732O2005S40
BIOD00037,Hydrophobicity,,-0.168
BIOD00037,Isoelectric Point,,7.41
BIOD00037,Molecular Weight,,55597.4
BIOD00037,Molecular Formula,,C2532H3854N672O711S16
BIOD00080,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00008,Hydrophobicity,,-0.300
BIOD00008,Isoelectric Point,,9.09
BIOD00008,Molecular Weight,,69899.4
BIOD00008,Molecular Formula,,C3160H4848N898O881S12
BIOD00003,Melting Point,,148-151 °C
BIOD00003,caco2 Permeability,"ADME Research, USCD",-6.05
BIOD00055,Hydrophobicity,,-0.432
BIOD00055,Isoelectric Point,,7.86
BIOD00055,Molecular Weight,,51801.1
BIOD00055,Molecular Formula,,C2306H3594N610O694S26
BIOD00114,Melting Point,"Boissonnas, R.and Guttmann, S.; U.S. Patent 3,232,923; February 1, 1966: assigned to Sandoz AG, Switzerland.",222
BIOD00104,Melting Point,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",55 °C
BIOD00104,Hydrophobicity,,-0.330
BIOD00104,Isoelectric Point,,7.50
BIOD00104,Molecular Weight,,980.162
BIOD00104,Molecular Formula,,C42H65N11O12S2
BIOD00074,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00034,Melting Point,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",55 °C
BIOD00034,Hydrophobicity,,-0.258
BIOD00034,Isoelectric Point,,8.61
BIOD00034,Molecular Weight,,25719.7
BIOD00034,Molecular Formula,,C1105H1770N318O336S26
BIOD00040,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
DB09560,Melting Point,"Luo, P., Protein Science 11:1218-1226 (2002)",60 °C
DB09560,Hydrophobicity,,0.209
DB09560,Isoelectric Point,,5.65
DB09560,Molecular Weight,,18800.0
DB09560,Molecular Formula,,C845H1343N223O243S9
BIOD00038,Melting Point,"Link, R.P., Castellino, F.J. Arch. Biochem. Biophsy. 227:259-265 (1983)",54 °C
BIOD00038,Hydrophobicity,,-0.431
BIOD00038,Isoelectric Point,,5.20
BIOD00038,Molecular Weight,,46548.2
BIOD00038,Molecular Formula,,C2041H3136N558O641S25
BIOD00053,Hydrophobicity,,-0.160
BIOD00053,Isoelectric Point,,9.38
BIOD00053,Molecular Weight,,12294.4
BIOD00053,Molecular Formula,,C532H892N162O153S9
BIOD00075,Hydrophobicity,,-0.307
BIOD00075,Isoelectric Point,,5.17
BIOD00075,Molecular Weight,,45351.6
BIOD00075,Molecular Formula,,C2029H3080N544O587S27
BIOD00088,logP,,1
DB05600,Melting Point,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",61 °C
DB05600,Hydrophobicity,,-0.339
DB05600,Isoelectric Point,,5.99
DB05600,Molecular Weight,,19271.0
DB05600,Molecular Formula,,C860H1353N229O255S9
BIOD00016,Hydrophobicity,,-2.7
BIOD00016,Isoelectric Point,,5.51
BIOD00016,Molecular Weight,,1007.187
BIOD00016,Molecular Formula,,C43H66N12O12S2
BIOD00083,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00106,Hydrophobicity,,-0.875
BIOD00106,Isoelectric Point,,4.30
BIOD00106,Molecular Weight,,4491.876
BIOD00106,Molecular Formula,,C204H301N51O64
BIOD00097,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00007,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00007,Hydrophobicity,,-0.437
BIOD00007,Isoelectric Point,,8.46
BIOD00007,Molecular Weight,,142612.1
BIOD00007,Molecular Formula,,C6332H9808N1678O1989S42
BIOD00087,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00087,Molecular Weight,,149000.0
BIOD00087,Molecular Formula,,C6538H10034N1716O2033S44
BIOD00107,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00107,Hydrophobicity,,-0.423
BIOD00107,Isoelectric Point,,8.26
BIOD00107,Molecular Weight,,144482.5
BIOD00107,Molecular Formula,,C6398H9900N1714O1995S54
NUTR00045,Water Solubility,,Appreciable
NUTR00045,Melting Point,PhysProp,255 °C
NUTR00045,logP,,-1.2
EXPT00965,Water Solubility,http://www.hmdb.ca/metabolites/HMDB00607,12.5 mg/mL
EXPT00965,Melting Point,PhysProp,> 300 °C
EXPT00965,logP,http://www.hmdb.ca/metabolites/HMDB00607,1.897
EXPT00965,logS,http://www.hmdb.ca/metabolites/HMDB00607,-4.5
NUTR00056,logP,,-2.7
NUTR00030,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.56E+004 mg/L (at 25 °C)
NUTR00030,Melting Point,PhysProp,287 dec °C
NUTR00030,logP,"CHMELIK,J ET AL. (1991)",-3.32
NUTR00030,logS,"ADME Research, USCD",-0.53
NUTR00030,pKa,"KORTUM,G ET AL (1961)",2.76 (at 0 °C)
NUTR00052,Boiling Point,,78 °C
DB11194,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1E+006 mg/L (at 20 °C)
DB11194,Melting Point,PhysProp,13.8 °C
DB11194,Boiling Point,PhysProp,54 °C at 1.00E+01 mm Hg
DB11194,logP,,-0.5
DB11194,pKa,"KORTUM,G ET AL (1961)",2.45 (at 25 °C)
NUTR00044,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.69E+004 mg/L (at 25 °C)
NUTR00044,Melting Point,PhysProp,283 dec °C
NUTR00044,logP,"AVDEEF,A (1997)",-1.38
NUTR00044,pKa,"KORTUM,G ET AL (1961)",1.24 (at 25 °C)
NUTR00019,Water Solubility,MERCK INDEX (1996),220 mg/L (at 25 °C)
NUTR00019,Melting Point,PhysProp,232 dec °C
NUTR00019,logP,,0.5
NUTR00020,Water Solubility,,Soluble
NUTR00020,Melting Point,,244-247 °C (as chloride salt)
NUTR00020,Boiling Point,,113 °C
DB11101,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1E+006 mg/L (at 20 °C)
DB11101,Melting Point,PhysProp,224.5 dec °C
DB11101,logP,"HANSCH,C ET AL. (1995)",-3.05
DB11101,pKa,"KORTUM,G ET AL (1961)",3.12 (at 0 °C)
NUTR00014,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.82E+005 mg/L (at 25 °C)
NUTR00014,Melting Point,PhysProp,244 dec °C
NUTR00014,logP,"HANSCH,C ET AL. (1995)",-4.20
NUTR00014,pKa,"KORTUM,G ET AL (1961)",2.24 (at 0 °C)
DB11317,Water Solubility,MERCK INDEX (1996),4E+005 mg/L (at 40 °C)
DB11317,Melting Point,PhysProp,191 dec °C
DB11317,logP,"AVDEEF,A (1997)",-1.85
DB11317,pKa,"KORTUM,G ET AL (1961)",4.7 (at 10 °C)
DB02564,Water Solubility,,> 100 mg/mL
DB02564,Melting Point,PhysProp,29 °C
DB02564,Boiling Point,,150-150 °C
DB02564,logP,,-0.7
EXPT01823,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",5390 mg/L (at 25 °C)
EXPT01823,Melting Point,PhysProp,270 °C
EXPT01823,logP,"CHMELIK,J ET AL. (1991)",-3.89
EXPT01823,pKa,"KORTUM,G ET AL (1961)",2.01 (at 0 °C)
NUTR00043,Water Solubility,,Appreciable
NUTR00043,Melting Point,PhysProp,140 °C
NUTR00043,logP,SANGSTER (1994),-4.22
NUTR00043,pKa,"KORTUM,G ET AL (1961)",1.94 (at 25 °C)
NUTR00026,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.13E+004 mg/L (at 25 °C)
NUTR00026,Melting Point,PhysProp,185.5 dec °C
NUTR00026,logP,"CHMELIK,J ET AL. (1991)",-3.64
NUTR00026,logS,"ADME Research, USCD",-0.55
NUTR00026,pKa,MERCK INDEX (1996),2.17
EXPT00512,Water Solubility,BEILSTEIN,1E+004 mg/L (at 20 °C)
EXPT00512,Melting Point,PhysProp,195 dec °C
EXPT00512,logP,,-3.1
NUTR00034,Water Solubility,"MEYLAN,WM et al. (1996)",0.000124 mg/mL at 25 °C
NUTR00034,Melting Point,PhysProp,-16.5 °C
NUTR00034,Boiling Point,PhysProp,231 °C at 1.70E+01 mm Hg
NUTR00034,logP,SANGSTER (1993),6.46
DB03375,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.25E+005 mg/L (at 25 °C)
DB03375,Melting Point,PhysProp,228 dec °C
DB03375,logP,"HANSCH,C ET AL. (1995)",-3.07
DB03375,pKa,"KORTUM,G ET AL (1961)",2.21 (at 25 °C)
NUTR00038,Water Solubility,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",5.66E+004 mg/L (at 25 °C)
