class,description,direct-parent,drugbank-id,kingdom,subclass,superclass
Carboxylic Acids and Derivatives,,Peptides,BIOD00026,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00041,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00068,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00077,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00108,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00002,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00079,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00093,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00100,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB00064,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00063,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00004,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB09024,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
,,,DB09392,,,
Carboxylic Acids and Derivatives,,Peptides,BIOD00078,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00062,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00022,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00031,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00098,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00014,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00073,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00005,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00027,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00069,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Peptidomimetics,This compound belongs to the class of organic compounds known as cyclic depsipeptides. These are natural or synthetic compounds having sequences of amino and hydroxy carboxylic acid residues (usually α-amino and α-hydroxy acids) connected in a ring. The residues are commonly but not necessarily regularly alternating.,Cyclic depsipeptides,BIOD00111,Organic compounds,Depsipeptides,Organic acids and derivatives
Carboxylic Acids and Derivatives,,Peptides,DB09557,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00044,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00092,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB05356,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00028,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00109,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00037,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00080,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00008,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Peptidomimetics,This compound belongs to the class of organic compounds known as cyclosporins. These are cyclic depsipeptides containing the cyclosporin backbone.,Cyclosporins,BIOD00003,Organic compounds,Peptoid-peptide hybrids,Organic acids and derivatives
Carboxylic Acids and Derivatives,,Peptides,BIOD00055,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Oligopeptides,BIOD00114,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic Acids and Derivatives,,Peptides,BIOD00104,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00074,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00034,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00040,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB09560,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00038,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00053,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00075,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Oligopeptides,BIOD00088,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic Acids and Derivatives,,Peptides,DB05600,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Oligopeptides,BIOD00051,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic Acids and Derivatives,,Peptides,BIOD00016,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00083,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00106,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00097,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00007,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00087,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00107,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Pyridines and derivatives,"This compound belongs to the class of organic compounds known as pyridoxals and derivatives. These are compounds containing a pyridoxal moiety, which consists of a pyridine ring substituted at positions 2,3,4, and 5 by a methyl group, a hydroxyl group, a carbaldehyde group, and a hydroxymethyl group, respectively.",Pyridoxals and derivatives,NUTR00045,Organic compounds,Pyridine carboxaldehydes,Organoheterocyclic compounds
Tetrapyrroles and derivatives,"This compound belongs to the class of organic compounds known as cobalamin derivatives. These are organic compounds containing a corrin ring, a cobalt atom, an a nucleotide moiety. Cobalamin Derivatives are actually derived from vitamin B12.",Cobalamin derivatives,EXPT00965,Organic compounds,Corrinoids,Organoheterocyclic compounds
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as glutamic acid and derivatives. These are compounds containing glutamic acid or a derivative thereof resulting from reaction of glutamic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Glutamic acid and derivatives,NUTR00056,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as histidine and derivatives. These are compounds containing cysteine or a derivative thereof resulting from reaction of cysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Histidine and derivatives,NUTR00030,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
5'-deoxyribonucleosides,This compound belongs to the class of organic compounds known as 5'-deoxy-5'-thionucleosides. These are 5'-deoxyribonucleosides  in which the ribose is thio-substituted at the 5'position by a S-alkyl group.,5'-deoxy-5'-thionucleosides,NUTR00052,Organic compounds,5'-deoxy-5'-thionucleosides,"Nucleosides, nucleotides, and analogues"
Keto acids and derivatives,This compound belongs to the class of organic compounds known as alpha-keto acids and derivatives. These are organic compounds containing an aldehyde substituted with a keto group on the adjacent carbon.,Alpha-keto acids and derivatives,DB11194,Organic compounds,Alpha-keto acids and derivatives,Organic acids and derivatives
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as phenylalanine and derivatives. These are compounds containing phenylalanine or a derivative thereof resulting from reaction of phenylalanine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Phenylalanine and derivatives,NUTR00044,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Biotin and derivatives,This compound belongs to the class of organic compounds known as biotin and derivatives. These are organic compounds containing a ureido (tetrahydroimidizalone) ring fused with a tetrahydrothiophene ring.,Biotin and derivatives,NUTR00019,Organic compounds,,Organoheterocyclic compounds
Organonitrogen compounds,"This compound belongs to the class of organic compounds known as cholines. These are organic compounds containing a N,N,N-trimethylethanolammonium cation.",Cholines,NUTR00020,Organic compounds,Quaternary ammonium salts,Organic nitrogen compounds
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,DB11101,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,NUTR00014,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Dihydrofurans,This compound belongs to the class of organic compounds known as butenolides. These are dihydrofurans with a carbonyl group at the C2 carbon atom.,Butenolides,DB11317,Organic compounds,Furanones,Organoheterocyclic compounds
Organonitrogen compounds,"This compound belongs to the class of organic compounds known as dialkylamines. These are organic compounds containing a dialkylamine group, characterized by two alkyl groups bonded to the amino nitrogen.",Dialkylamines,DB02564,Organic compounds,Amines,Organic nitrogen compounds
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as aspartic acid and derivatives. These are compounds containing an aspartic acid or a derivative thereof resulting from reaction of aspartic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Aspartic acid and derivatives,EXPT01823,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,NUTR00043,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,NUTR00026,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Purine nucleotides,This compound belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached.,Purine ribonucleoside monophosphates,EXPT00512,Organic compounds,Purine ribonucleotides,"Nucleosides, nucleotides, and analogues"
Fatty Acyls,"This compound belongs to the class of organic compounds known as lineolic acids and derivatives. These are derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.",Lineolic acids and derivatives,NUTR00034,Organic compounds,Lineolic acids and derivatives,Lipids and lipid-like molecules
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as serine and derivatives. These are compounds containing serine or a derivative thereof resulting from reaction of serine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Serine and derivatives,DB03375,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as methionine and derivatives. These are compounds containing methionine or a derivative thereof resulting from reaction of methionine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Methionine and derivatives,NUTR00038,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as tyrosine and derivatives. These are compounds containing tyrosine or a derivative thereof resulting from reaction of tyrosine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Tyrosine and derivatives,NUTR00059,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Steroids and steroid derivatives,"This compound belongs to the class of organic compounds known as vitamin d and derivatives. These are compounds containing a secosteroid backbone, usually secoergostane or secocholestane.",Vitamin D and derivatives,DB05314,Organic compounds,Vitamin D and derivatives,Lipids and lipid-like molecules
Prenol lipids,"This compound belongs to the class of organic compounds known as xanthophylls. These are carotenoids containing an oxygenated carotene backbone. Carotenes are characterized by the presence of two end-groups (mostly cyclohexene rings, but also cyclopentene rings or acyclic groups) linked by a long branched alkyl chain. Carotenes belonging form a subgroup of the carotenoids family. Xanthophylls arise by oxygenation of the carotene backbone.",Xanthophylls,DB11138,Organic compounds,Tetraterpenoids,Lipids and lipid-like molecules
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-cysteine-s-conjugates. These are compounds containing L-cysteine where the thio-group is conjugated.,L-cysteine-S-conjugates,NUTR00023,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as dicarboxylic acids and derivatives. These are organic compounds containing exactly two carboxylic acid groups.,Dicarboxylic acids and derivatives,NUTR00054,Organic compounds,Dicarboxylic acids and derivatives,Organic acids and derivatives
Pteridines and derivatives,"This compound belongs to the class of organic compounds known as flavins. These are compounds containing a flavin (7,8-dimethyl-benzo[g]pteridine-2,4-dione) moiety, with a structure characterized by an isoalloaxzine tricyclic ring.",Flavins,DB09358,Organic compounds,Alloxazines and isoalloxazines,Organoheterocyclic compounds
Organooxygen compounds,This compound belongs to the class of organic compounds known as hexoses. These are monosaccharides in which the sugar unit is a is a six-carbon containing moeity.,Hexoses,NUTR00040,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as glutamic acid and derivatives. These are compounds containing glutamic acid or a derivative thereof resulting from reaction of glutamic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Glutamic acid and derivatives,NUTR00027,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as peptides. These are compounds containing an amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another.,Peptides,EXPT01650,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Glycerophospholipids,"This compound belongs to the class of organic compounds known as phosphatidylserines. These are glycerophosphoserines in which two fatty acids are bonded to the glycerol moiety through ester linkages. As is the case with diacylglycerols, phosphatidylserines can have many different combinations of fatty acids of varying lengths and saturation attached to the C-1 and C-2 positions.",Phosphatidylserines,NUTR00048,Organic compounds,Glycerophosphoserines,Lipids and lipid-like molecules
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).,Alpha amino acids,NUTR00028,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Steroids and steroid derivatives,"This compound belongs to the class of organic compounds known as vitamin d and derivatives. These are compounds containing a secosteroid backbone, usually secoergostane or secocholestane.",Vitamin D and derivatives,APRD00428,Organic compounds,Vitamin D and derivatives,Lipids and lipid-like molecules
Pyridines and derivatives,"This compound belongs to the class of organic compounds known as pyridoxals and derivatives. These are compounds containing a pyridoxal moiety, which consists of a pyridine ring substituted at positions 2,3,4, and 5 by a methyl group, a hydroxyl group, a carbaldehyde group, and a hydroxymethyl group, respectively.",Pyridoxals and derivatives,NUTR00049,Organic compounds,Pyridine carboxaldehydes,Organoheterocyclic compounds
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof.",Alpha amino acids and derivatives,NUTR00022,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as leucine and derivatives. These are compounds containing leucine or a derivative thereof resulting from reaction of leucine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Leucine and derivatives,NUTR00033,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Indoles and derivatives,This compound belongs to the class of organic compounds known as indolyl carboxylic acids and derivatives. These are compounds containing a carboxylic acid chain (of at least 2 carbon atoms) linked to an indole ring.,Indolyl carboxylic acids and derivatives,EXPT02064,Organic compounds,Indolyl carboxylic acids and derivatives,Organoheterocyclic compounds
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as cysteine and derivatives. These are compounds containing cysteine or a derivative thereof resulting from reaction of cysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Cysteine and derivatives,DB09485,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Diazines,"This compound belongs to the class of organic compounds known as thiamines. These are compounds containing a thiamine moiety, which is structurally characterized by a 3-[(4-Amino-2-methyl-pyrimidin-5-yl)methyl]-4-methyl-thiazol-5-yl backbone.",Thiamines,EXPT03222,Organic compounds,Pyrimidines and pyrimidine derivatives,Organoheterocyclic compounds
Steroids and steroid derivatives,"This compound belongs to the class of organic compounds known as vitamin d and derivatives. These are compounds containing a secosteroid backbone, usually secoergostane or secocholestane.",Vitamin D and derivatives,APRD00426,Organic compounds,Vitamin D and derivatives,Lipids and lipid-like molecules
Fatty Acyls,This compound belongs to the class of organic compounds known as long-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.,Long-chain fatty acids,NUTR00032,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,NUTR00021,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.,L-alpha-amino acids,NUTR00057,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
(5'->5')-dinucleotides,This compound belongs to the class of organic compounds known as (5'->5')-dinucleotides. These are dinucleotides where the two bases are connected via a (5'->5')-phosphodiester linkage.,(5'->5')-dinucleotides,DB03527,Organic compounds,,"Nucleosides, nucleotides, and analogues"
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as glutamic acid and derivatives. These are compounds containing glutamic acid or a derivative thereof resulting from reaction of glutamic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Glutamic acid and derivatives,NUTR00025,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Fatty Acyls,This compound belongs to the class of organic compounds known as long-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.,Long-chain fatty acids,NUTR00024,Organic compounds,Fatty acids and conjugates,Lipids and lipid-like molecules
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as alanine and derivatives. These are compounds containing alanine or a derivative thereof resulting from reaction of alanine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Alanine and derivatives,NUTR00013,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic acids and derivatives,"This compound belongs to the class of organic compounds known as valine and derivatives. These are compounds containing valine or a derivative thereof resulting from reaction of valine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.",Valine and derivatives,NUTR00060,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
