atc-code,atc-level,description
A10AD01,A,ALIMENTARY TRACT AND METABOLISM
A10AD01,A10AF,Insulins and analogues for inhalation
A10AD01,A10A,INSULINS AND ANALOGUES
A10AD01,A10,DRUGS USED IN DIABETES
A10AD01,A,ALIMENTARY TRACT AND METABOLISM
A10AD01,A10AE,"Insulins and analogues for injection, long-acting"
A10AD01,A10A,INSULINS AND ANALOGUES
A10AD01,A10,DRUGS USED IN DIABETES
A10AD01,A,ALIMENTARY TRACT AND METABOLISM
A10AD01,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
A10AD01,A10A,INSULINS AND ANALOGUES
A10AD01,A10,DRUGS USED IN DIABETES
A10AD01,A,ALIMENTARY TRACT AND METABOLISM
B01AD11,B01AD,Enzymes
B01AD11,B01A,ANTITHROMBOTIC AGENTS
B01AD11,B01,ANTITHROMBOTIC AGENTS
B01AD11,B,BLOOD AND BLOOD FORMING ORGANS
G03GA02,G03GA,Gonadotropins
G03GA02,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA02,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03GA02,G,GENITO URINARY SYSTEM AND SEX HORMONES
L03AB04,L03AB,Interferons
L03AB04,L03A,IMMUNOSTIMULANTS
L03AB04,L03,IMMUNOSTIMULANTS
L03AB04,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
H01BA02,H01BA,Vasopressin and analogues
H01BA02,H01B,POSTERIOR PITUITARY LOBE HORMONES
H01BA02,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01BA02,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
B02BD08,B02BD,Blood coagulation factors
B02BD08,B02B,VITAMIN K AND OTHER HEMOSTATICS
B02BD08,B02,ANTIHEMORRHAGICS
B02BD08,B,BLOOD AND BLOOD FORMING ORGANS
L03AC02,L03AC,Interleukins
L03AC02,L03A,IMMUNOSTIMULANTS
L03AC02,L03,IMMUNOSTIMULANTS
L03AC02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V03AF08,V03AF,Detoxifying agents for antineoplastic treatment
V03AF08,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AF08,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AF08,V,VARIOUS
H04AA01,H04AA,Glycogenolytic hormones
H04AA01,H04A,GLYCOGENOLYTIC HORMONES
H04AA01,H04,PANCREATIC HORMONES
H04AA01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
L03AC01,L03AC,Interleukins
L03AC01,L03A,IMMUNOSTIMULANTS
L03AC01,L03,IMMUNOSTIMULANTS
L03AC01,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
M03AX01,M03AX,"Other muscle relaxants, peripherally acting agents"
M03AX01,M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03AX01,M03,MUSCLE RELAXANTS
M03AX01,M,MUSCULO-SKELETAL SYSTEM
R03DX05,R03DX,Other systemic drugs for obstructive airway diseases
R03DX05,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DX05,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DX05,R,RESPIRATORY SYSTEM
G03GA07,G03GA,Gonadotropins
G03GA07,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA07,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03GA07,G,GENITO URINARY SYSTEM AND SEX HORMONES
A10AB04,A10AC,"Insulins and analogues for injection, intermediate-acting"
A10AB04,A10A,INSULINS AND ANALOGUES
A10AB04,A10,DRUGS USED IN DIABETES
A10AB04,A,ALIMENTARY TRACT AND METABOLISM
A10AB04,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
A10AB04,A10A,INSULINS AND ANALOGUES
A10AB04,A10,DRUGS USED IN DIABETES
A10AB04,A,ALIMENTARY TRACT AND METABOLISM
A10AB04,A10AB,"Insulins and analogues for injection, fast-acting"
A10AB04,A10A,INSULINS AND ANALOGUES
A10AB04,A10,DRUGS USED IN DIABETES
A10AB04,A,ALIMENTARY TRACT AND METABOLISM
A10AE04,A10AE,"Insulins and analogues for injection, long-acting"
A10AE04,A10A,INSULINS AND ANALOGUES
A10AE04,A10,DRUGS USED IN DIABETES
A10AE04,A,ALIMENTARY TRACT AND METABOLISM
D03BA02,M09AB,Enzymes
D03BA02,M09A,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
D03BA02,M09,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
D03BA02,M,MUSCULO-SKELETAL SYSTEM
D03BA02,D03BA,Proteolytic enzymes
D03BA02,D03B,ENZYMES
D03BA02,D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D03BA02,D,DERMATOLOGICALS
D03BA02,D03BA,Proteolytic enzymes
D03BA02,D03B,ENZYMES
D03BA02,D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D03BA02,D,DERMATOLOGICALS
M04AX01,V03AF,Detoxifying agents for antineoplastic treatment
M04AX01,V03A,ALL OTHER THERAPEUTIC PRODUCTS
M04AX01,V03,ALL OTHER THERAPEUTIC PRODUCTS
M04AX01,V,VARIOUS
M04AX01,M04AX,Other antigout preparations
M04AX01,M04A,ANTIGOUT PREPARATIONS
M04AX01,M04,ANTIGOUT PREPARATIONS
M04AX01,M,MUSCULO-SKELETAL SYSTEM
H01CC02,H01CC,Anti-gonadotropin-releasing hormones
H01CC02,H01C,HYPOTHALAMIC HORMONES
H01CC02,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01CC02,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
L04AB04,L04AB,Tumor necrosis factor alpha (TNF-α) inhibitors
L04AB04,L04A,IMMUNOSUPPRESSANTS
L04AB04,L04,IMMUNOSUPPRESSANTS
L04AB04,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
H01AC01,H01AC,Somatropin and somatropin agonists
H01AC01,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01AC01,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01AC01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
A16AB02,A16AB,Enzymes
A16AB02,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB02,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB02,A,ALIMENTARY TRACT AND METABOLISM
B01AC13,B01AC,Platelet aggregation inhibitors excl. heparin
B01AC13,B01A,ANTITHROMBOTIC AGENTS
B01AC13,B01,ANTITHROMBOTIC AGENTS
B01AC13,B,BLOOD AND BLOOD FORMING ORGANS
B01AD10,B01AD,Enzymes
B01AD10,B01A,ANTITHROMBOTIC AGENTS
B01AD10,B01,ANTITHROMBOTIC AGENTS
B01AD10,B,BLOOD AND BLOOD FORMING ORGANS
L01XC05,L01XC,Monoclonal antibodies
L01XC05,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XC05,L01,ANTINEOPLASTIC AGENTS
L01XC05,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V09IB02,V09IB,Indium (111In) compounds
V09IB02,V09I,TUMOUR DETECTION
V09IB02,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09IB02,V,VARIOUS
B02AB02,B02AB,Proteinase inhibitors
B02AB02,B02A,ANTIFIBRINOLYTICS
B02AB02,B02,ANTIHEMORRHAGICS
B02AB02,B,BLOOD AND BLOOD FORMING ORGANS
L01XX24,L01XX,Other antineoplastic agents
L01XX24,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XX24,L01,ANTINEOPLASTIC AGENTS
L01XX24,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03AB07,L03AB,Interferons
L03AB07,L03A,IMMUNOSTIMULANTS
L03AB07,L03,IMMUNOSTIMULANTS
L03AB07,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V08DA01,V08DA,Ultrasound contrast media
V08DA01,V08D,ULTRASOUND CONTRAST MEDIA
V08DA01,V08,CONTRAST MEDIA
V08DA01,V,VARIOUS
B01AC16,B01AC,Platelet aggregation inhibitors excl. heparin
B01AC16,B01A,ANTITHROMBOTIC AGENTS
B01AC16,B01,ANTITHROMBOTIC AGENTS
B01AC16,B,BLOOD AND BLOOD FORMING ORGANS
L04AB02,L04AB,Tumor necrosis factor alpha (TNF-α) inhibitors
L04AB02,L04A,IMMUNOSUPPRESSANTS
L04AB02,L04,IMMUNOSUPPRESSANTS
L04AB02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
G03GA06,G03GA,Gonadotropins
G03GA06,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA06,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03GA06,G,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA06,G03GA,Gonadotropins
G03GA06,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA06,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03GA06,G,GENITO URINARY SYSTEM AND SEX HORMONES
H01BA01,H01BA,Vasopressin and analogues
H01BA01,H01B,POSTERIOR PITUITARY LOBE HORMONES
H01BA01,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01BA01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H01BA01,H01BA,Vasopressin and analogues
H01BA01,H01B,POSTERIOR PITUITARY LOBE HORMONES
H01BA01,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01BA01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H01BA01,H01BA,Vasopressin and analogues
H01BA01,H01B,POSTERIOR PITUITARY LOBE HORMONES
H01BA01,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01BA01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
L03AB08,L03AB,Interferons
L03AB08,L03A,IMMUNOSTIMULANTS
L03AB08,L03,IMMUNOSTIMULANTS
L03AB08,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03AB09,L03AB,Interferons
L03AB09,L03A,IMMUNOSTIMULANTS
L03AB09,L03,IMMUNOSTIMULANTS
L03AB09,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
B06AA03,B06AA,Enzymes
B06AA03,B06A,OTHER HEMATOLOGICAL AGENTS
B06AA03,B06,OTHER HEMATOLOGICAL AGENTS
B06AA03,B,BLOOD AND BLOOD FORMING ORGANS
A10AE03,A10AC,"Insulins and analogues for injection, intermediate-acting"
A10AE03,A10A,INSULINS AND ANALOGUES
A10AE03,A10,DRUGS USED IN DIABETES
A10AE03,A,ALIMENTARY TRACT AND METABOLISM
A10AE03,A10AB,"Insulins and analogues for injection, fast-acting"
A10AE03,A10A,INSULINS AND ANALOGUES
A10AE03,A10,DRUGS USED IN DIABETES
A10AE03,A,ALIMENTARY TRACT AND METABOLISM
A10AE03,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
A10AE03,A10A,INSULINS AND ANALOGUES
A10AE03,A10,DRUGS USED IN DIABETES
A10AE03,A,ALIMENTARY TRACT AND METABOLISM
A10AE03,A10AE,"Insulins and analogues for injection, long-acting"
A10AE03,A10A,INSULINS AND ANALOGUES
A10AE03,A10,DRUGS USED IN DIABETES
A10AE03,A,ALIMENTARY TRACT AND METABOLISM
L01XC03,L01XC,Monoclonal antibodies
L01XC03,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XC03,L01,ANTINEOPLASTIC AGENTS
L01XC03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XC02,L01XC,Monoclonal antibodies
L01XC02,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XC02,L01,ANTINEOPLASTIC AGENTS
L01XC02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AC02,L04AC,Interleukin inhibitors
L04AC02,L04A,IMMUNOSUPPRESSANTS
L04AC02,L04,IMMUNOSUPPRESSANTS
L04AC02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AA02,L04AA,Selective immunosuppressants
L04AA02,L04A,IMMUNOSUPPRESSANTS
L04AA02,L04,IMMUNOSUPPRESSANTS
L04AA02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V03AB24,V03AB,Antidotes
V03AB24,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AB24,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AB24,V,VARIOUS
V10XX02,V10XX,Various therapeutic radiopharmaceuticals
V10XX02,V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS
V10XX02,V10,THERAPEUTIC RADIOPHARMACEUTICALS
V10XX02,V,VARIOUS
J01XX09,J01XX,Other antibacterials
J01XX09,J01X,OTHER ANTIBACTERIALS
J01XX09,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01XX09,J,ANTIINFECTIVES FOR SYSTEMIC USE
V10XA53,V10XA,Iodine (131I) compounds
V10XA53,V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS
V10XA53,V10,THERAPEUTIC RADIOPHARMACEUTICALS
V10XA53,V,VARIOUS
H01AX01,H01AX,Other anterior pituitary lobe hormones and analogues
H01AX01,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01AX01,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01AX01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
M03AX01,M03AX,"Other muscle relaxants, peripherally acting agents"
M03AX01,M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03AX01,M03,MUSCLE RELAXANTS
M03AX01,M,MUSCULO-SKELETAL SYSTEM
A09AA02,A09AA,Enzyme preparations
A09AA02,A09A,"DIGESTIVES, INCL. ENZYMES"
A09AA02,A09,"DIGESTIVES, INCL. ENZYMES"
A09AA02,A,ALIMENTARY TRACT AND METABOLISM
B06AA55,B01AD,Enzymes
B06AA55,B01A,ANTITHROMBOTIC AGENTS
B06AA55,B01,ANTITHROMBOTIC AGENTS
B06AA55,B,BLOOD AND BLOOD FORMING ORGANS
B06AA55,B06AA,Enzymes
B06AA55,B06A,OTHER HEMATOLOGICAL AGENTS
B06AA55,B06,OTHER HEMATOLOGICAL AGENTS
B06AA55,B,BLOOD AND BLOOD FORMING ORGANS
L04AA34,L04AA,Selective immunosuppressants
L04AA34,L04A,IMMUNOSUPPRESSANTS
L04AA34,L04,IMMUNOSUPPRESSANTS
L04AA34,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
A16AB01,A16AB,Enzymes
A16AB01,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB01,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB01,A,ALIMENTARY TRACT AND METABOLISM
V09IB04,V09IB,Indium (111In) compounds
V09IB04,V09I,TUMOUR DETECTION
V09IB04,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09IB04,V,VARIOUS
A16AB05,A16AB,Enzymes
A16AB05,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB05,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB05,A,ALIMENTARY TRACT AND METABOLISM
L04AD01,S01XA,Other ophthalmologicals
L04AD01,S01X,OTHER OPHTHALMOLOGICALS
L04AD01,S01,OPHTHALMOLOGICALS
L04AD01,S,SENSORY ORGANS
L04AD01,L04AD,Calcineurin inhibitors
L04AD01,L04A,IMMUNOSUPPRESSANTS
L04AD01,L04,IMMUNOSUPPRESSANTS
L04AD01,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AA15,L04AA,Selective immunosuppressants
L04AA15,L04A,IMMUNOSUPPRESSANTS
L04AA15,L04,IMMUNOSUPPRESSANTS
L04AA15,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
G03GA04,G03GA,Gonadotropins
G03GA04,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA04,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03GA04,G,GENITO URINARY SYSTEM AND SEX HORMONES
L04AA21,L04AA,Selective immunosuppressants
L04AA21,L04A,IMMUNOSUPPRESSANTS
L04AA21,L04,IMMUNOSUPPRESSANTS
L04AA21,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
G03GA08,G03GA,Gonadotropins
G03GA08,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA08,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03GA08,G,GENITO URINARY SYSTEM AND SEX HORMONES
L04AA04,L04AA,Selective immunosuppressants
L04AA04,L04A,IMMUNOSUPPRESSANTS
L04AA04,L04,IMMUNOSUPPRESSANTS
L04AA04,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03AA02,L03AA,Colony stimulating factors
L03AA02,L03A,IMMUNOSTIMULANTS
L03AA02,L03,IMMUNOSTIMULANTS
L03AA02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
B02BD09,B02BD,Blood coagulation factors
B02BD09,B02B,VITAMIN K AND OTHER HEMOSTATICS
B02BD09,B02,ANTIHEMORRHAGICS
B02BD09,B,BLOOD AND BLOOD FORMING ORGANS
D03AX06,A01AD,Other agents for local oral treatment
D03AX06,A01A,STOMATOLOGICAL PREPARATIONS
D03AX06,A01,STOMATOLOGICAL PREPARATIONS
D03AX06,A,ALIMENTARY TRACT AND METABOLISM
D03AX06,D03AX,Other cicatrizants
D03AX06,D03A,CICATRIZANTS
D03AX06,D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D03AX06,D,DERMATOLOGICALS
A16AB03,A16AB,Enzymes
A16AB03,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB03,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB03,A,ALIMENTARY TRACT AND METABOLISM
A16AB03,A16AB,Enzymes
A16AB03,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB03,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB03,A,ALIMENTARY TRACT AND METABOLISM
H01CB02,H01CB,Somatostatin and analogues
H01CB02,H01C,HYPOTHALAMIC HORMONES
H01CB02,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01CB02,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
L03AB05,L03AB,Interferons
L03AB05,L03A,IMMUNOSTIMULANTS
L03AB05,L03,IMMUNOSTIMULANTS
L03AB05,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02BX01,L02BX,Other hormone antagonists and related agents
L02BX01,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS
L02BX01,L02,ENDOCRINE THERAPY
L02BX01,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
G02AC01,H01BB,Oxytocin and analogues
G02AC01,H01B,POSTERIOR PITUITARY LOBE HORMONES
G02AC01,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
G02AC01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
G02AC01,G02AC,"Ergot alkaloids and oxytocin incl. analogues, in combination"
G02AC01,G02A,UTEROTONICS
G02AC01,G02,OTHER GYNECOLOGICALS
G02AC01,G,GENITO URINARY SYSTEM AND SEX HORMONES
L04AA23,L04AA,Selective immunosuppressants
L04AA23,L04A,IMMUNOSUPPRESSANTS
L04AA23,L04,IMMUNOSUPPRESSANTS
