drugbank-id,ingredients,name
BIOD00104,Urofollitropin,Bravelle
BIOD00074,Efalizumab,Raptiva
BIOD00034,Choriogonadotropin alfa,Ovitrelle
BIOD00040,Antithymocyte immunoglobulin (rabbit),Thymoglobulin
DB09560,Filgrastim,Granix
BIOD00038,Coagulation Factor IX (Recombinant),Rixubis
BIOD00053,Becaplermin,Regranex
BIOD00075,Agalsidase beta,Replagal
BIOD00088,Octreotide,Octreotide Acetate
DB05600,"Interferon Alfa-2b, Recombinant",Intron A
BIOD00016,Oxytocin,Oxytocin
BIOD00083,Natalizumab,Tysabri
BIOD00106,Enfuvirtide,Fuzeon
BIOD00097,Palivizumab,Synagis
BIOD00007,Daclizumab,Zinbryta
BIOD00087,Bevacizumab,Mvasi
NUTR00045,alpha-Tocopherol acetate + Biotin + Cholecalciferol + Chromium picolinate + Folic Acid + Lipoic Acid + Methylcobalamin + Niacin + Pantothenic acid + Pyridoxal Phosphate + Riboflavin + Thiamine + Ubidecarenone + Vitamin C,Vita-Rx Diabetic Vitamin
EXPT00965,Beta carotene + Biotin + Calcium + Chromium + Copper + Cyanocobalamin + Folic Acid + Iron + Magnesium + Niacin + Pantothenic acid + Phosphorus + Potassium + Potassium Iodide + Pyridoxine + Riboflavin + Selenious acid + Thiamine + Vitamin C + Vitamin D + Vitamin E + Zinc,Vc II
NUTR00030,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
DB11194,Adenine + Inosine + Pyruvic acid + Sodium phosphate + Sodium phosphate,Rejuvesol
NUTR00044,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
NUTR00019,Beta carotene + Biotin + Calcium + Chromium + Copper + Cyanocobalamin + Folic Acid + Iron + Magnesium + Niacin + Pantothenic acid + Phosphorus + Potassium + Potassium Iodide + Pyridoxine + Riboflavin + Selenious acid + Thiamine + Vitamin C + Vitamin D + Vitamin E + Zinc,Vc II
NUTR00020,Choline + Chromium + Dexpanthenol + Inositol + L-Carnitine + L-Citrulline + Lidocaine + Methionine sulfoximine + Methylcobalamin + Nicotinamide + Pyridoxine + Riboflavin + Thiamine,Lipovite
DB11101,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
NUTR00014,Glycine + Histidine + L-Alanine + L-Arginine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Racemethionine,Travasol Inj Without Electrolytes 8.5%
DB11317,Vitamin C,Fruity Bita C Tablets 125mg
EXPT01823,D-Methionine + Glutamic Acid + Glycine + Histidine + L-Alanine + L-Arginine + L-Aspartic Acid + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Methionine + Serine,20% Prosol
NUTR00043,Glutamic Acid + Glycine + Histidine + L-Alanine + L-Arginine + L-Aspartic Acid + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Methionine + Ornithine + Serine + Taurine,Primene 10%
NUTR00026,L-Glutamine,Endari
NUTR00034,Alpha-Linolenic Acid + Linoleic acid + Oleic Acid + Palmitic Acid + Stearic acid + Vitamin E,Huile D'onagre Vitamin E
DB03375,Glycine + Histidine + L-Alanine + L-Arginine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Serine,8.5% Freamine III
NUTR00038,Choline + Inositol + Magnesium + Methionine + Nicotinamide + Pantothenic acid + Pyridoxine + Vitamin D,Formula Cm
NUTR00059,Glycine + Histidine + L-Alanine + L-Arginine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Racemethionine,Travasol Inj Without Electrolytes 8.5%
DB05314,Calcitriol,Calcitriol
DB11138,Biotin + Cholecalciferol + Chromium + Cupric sulfate + Cyanocobalamin + D-alpha-Tocopherol acetate + Folic Acid + Lipoic Acid + Lutein + Magnesium oxide + Manganese + Nicotinamide + Pantothenic acid + Pyridoxine + Riboflavin + Selenium + Thiamine + Vitamin A + Vitamin C + Zinc oxide,Strovite One Caplets
NUTR00023,Cystine + Inositol + Racemethionine + Urea,Amino-cerv
NUTR00054,Cyanocobalamin + Ferrous asparto glycinate + Folic Acid + Gastric intrinsic factor + Iron Dextran + Levomefolic acid + Succinic acid + Vitamin C + Zinc,Niferex
DB09358,Beta carotene + Biotin + Calcium + Chromium + Copper + Cyanocobalamin + Folic Acid + Iron + Magnesium + Niacin + Pantothenic acid + Phosphorus + Potassium + Potassium Iodide + Pyridoxine + Riboflavin + Selenious acid + Thiamine + Vitamin C + Vitamin D + Vitamin E + Zinc,Vc II
NUTR00027,D-Methionine + Glutamic Acid + Glycine + Histidine + L-Alanine + L-Arginine + L-Aspartic Acid + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Methionine + Serine,20% Prosol
EXPT01650,Calcium Chloride + Glucose + Glutathione + Magnesium chloride + Potassium Chloride + Sodium bicarbonate + Sodium Chloride + Sodium phosphate,Bss Plus
NUTR00048,"1,2-Docosahexanoyl-sn-glycero-3-phosphoserine + 1,2-icosapentoyl-sn-glycero-3-phosphoserine calcium + Cobamamide + Cocarboxylase + Ferrous cysteine glycinate + Flavin adenine dinucleotide + Folic Acid + Glycine betaine + Leucovorin + Levomefolic acid + NADH + Phosphatidyl serine + Pyridoxal Phosphate + Threonate + Vitamin C + Vitamin C",EnBrace HR
NUTR00028,Glycine + Histidine + L-Alanine + L-Arginine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Racemethionine,Travasol Inj Without Electrolytes 8.5%
APRD00428,Calcidiol,Rayaldee
NUTR00033,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
EXPT02064,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
DB09485,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
EXPT03222,Beta carotene + Biotin + Calcium + Chromium + Copper + Cyanocobalamin + Folic Acid + Iron + Magnesium + Niacin + Pantothenic acid + Phosphorus + Potassium + Potassium Iodide + Pyridoxine + Riboflavin + Selenious acid + Thiamine + Vitamin C + Vitamin D + Vitamin E + Zinc,Vc II
APRD00426,Ergocalciferol,Vitamin D
NUTR00021,Choline + Chromium + Dexpanthenol + Inositol + L-Carnitine + L-Citrulline + Lidocaine + Methionine sulfoximine + Methylcobalamin + Nicotinamide + Pyridoxine + Riboflavin + Thiamine,Lipovite
NUTR00057,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
DB03527,Cholecalciferol + Folic Acid + Methylcobalamin + NADH + Pyridoxal Phosphate + Thiamine + Ubidecarenone + Vitamin C,Lexazin
NUTR00025,Folic Acid,Folic Acid
NUTR00024,Biotin + Cholecalciferol + Cupric sulfate + Cyanocobalamin + Doconexent + Docusate + Fish oil + Folic Acid + Icosapent + Inositol nicotinate + Iron + Pyridoxine + Riboflavin + Thiamine + Vitamin C + Vitamin E + Zinc sulfate,Tricare Prenatal DHA One
NUTR00013,Glycine + Histidine + L-Alanine + L-Arginine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Racemethionine,Travasol Inj Without Electrolytes 8.5%
NUTR00060,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
APRD00486,Calcium + Phosphorus + Vitamin A + Vitamin D,Calci A and D Tab
EXPT03227,Beta carotene + Biotin + Calcium + Chromium + Copper + Cyanocobalamin + Folic Acid + Iron + Magnesium + Niacin + Pantothenic acid + Phosphorus + Potassium + Potassium Iodide + Pyridoxine + Riboflavin + Selenious acid + Thiamine + Vitamin C + Vitamin D + Vitamin E + Zinc,Vc II
APRD00204,Beta carotene + Biotin + Calcium + Chromium + Copper + Cyanocobalamin + Folic Acid + Iron + Magnesium + Niacin + Pantothenic acid + Phosphorus + Potassium + Potassium Iodide + Pyridoxine + Riboflavin + Selenious acid + Thiamine + Vitamin C + Vitamin D + Vitamin E + Zinc,Vc II
NUTR00035,Biotin + Cholecalciferol + Chromium + Cupric sulfate + Cyanocobalamin + D-alpha-Tocopherol acetate + Folic Acid + Lipoic Acid + Lutein + Magnesium oxide + Manganese + Nicotinamide + Pantothenic acid + Pyridoxine + Riboflavin + Selenium + Thiamine + Vitamin A + Vitamin C + Zinc oxide,Strovite One Caplets
NUTR00031,Histidine + L-Cysteine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Threonine + L-Tryptophan + L-Valine + Racemethionine + Sodium bisulfite,Nephramine Liq IV
APRD00506,Calcium + Cholecalciferol + Magnesium + Phosphorus,Liquid Calcium Mg Phosphorus and Vit.d-3
NUTR00047,Glycine + Histidine + L-Alanine + L-Arginine + L-Isoleucine + L-Leucine + L-Lysine + L-Phenylalanine + L-Proline + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine + Racemethionine,Travasol Inj Without Electrolytes 8.5%
EXPT00520,Adenine + Glucose + Mannitol + Sodium Chloride,Sag-M
APRD00328,Pravastatin,Pravastatin Sodium
APRD00425,Fluvoxamine,Fluvoxamine Maleate
APRD00133,Valsartan,Valsartan
APRD00009,Ramipril,Ramipril
APRD00976,Flunisolide,Flunisolide
APRD00551,Baclofen,Baclofen
APRD00480,Amphetamine,Amphetamine Sulfate
APRD01172,Pentagastrin,Peptavlon Liq Inj 0.25mg/ml
DB11303,Nicotine,Good Sense Nicotine
APRD00224,Cevimeline,Cevimeline
APRD00116,Lorazepam,Lorazepam
APRD00954,Esmolol,Esmolol Hydrochloride
DB07475,Bortezomib,PMS-bortezomib
APRD00958,Ethchlorvynol,Placidyl Cap 500mg
APRD00160,Carbidopa + Levodopa,Carbidopa and levodopa
APRD00093,Phentermine,Phentermine Hydrochloride
APRD00028,Tramadol,Tramadol Hydrochloride
APRD00245,Betaxolol,Betaxolol
APRD00327,Fluconazole,Fluconazole
APRD01148,Oseltamivir,Oseltamivir Phosphate
APRD00953,Erythromycin,Ery
APRD01022,Hydroxocobalamin,Hydroxocobalamin
APRD00673,Acetylsalicylic acid + Butalbital + Caffeine,Fiorinal
APRD00159,Succinylcholine,Succinylcholine Chloride
APRD00556,Sildenafil,Sildenafil
APRD00367,Dofetilide,Dofetilide
APRD00599,Pyrimethamine,Daraprim
APRD00472,Reserpine,Novo-reserpine Tab 0.25mg
APRD00397,Azithromycin,Azithromycin Dihydrate
APRD01257,Ticlopidine,Ticlopidine
APRD00393,Trospium,Trospium Chloride
APRD00780,Adapalene + Benzoyl peroxide,Adapalene Benzoyl Peroxide
APRD01116,Midodrine,Mar-midodrine
APRD00073,Pantoprazole,Pantoprazole Sodium
APRD00217,Torasemide,Torsemide
APRD00147,Citalopram,Citalopram
APRD00945,Eletriptan,Eletriptan Hydrobromide
APRD00281,Moxifloxacin,Moxifloxacin
APRD00003,Nelfinavir,Viracept -50mg
APRD00381,Glimepiride,Glimepiride
APRD00921,Diflorasone,Diflorasone Diacetate
APRD00069,Indinavir,Crixivan
APRD00990,Gadodiamide,Omniscan
APRD00370,Lovastatin,Lovastatin
APRD00234,Enflurane,Ethrane Liq Inh
APRD01198,Pregabalin,Lyrica CR
APRD00676,Temazepam,Temazepam
APRD01104,Methyclothiazide,Methyclothiazide
DB09367,Aminosalicylic Acid,Granupas
APRD00010,Milrinone,Milrinone Lactate in Dextrose
APRD00752,Butabarbital,Butisol Sodium
DB08311,Nevirapine,Nevirapine
APRD01154,Oxiconazole,Oxiconazole Nitrate
APRD00783,Alclometasone,Alclometasone Dipropionate
APRD00266,Acetylsalicylic acid + Butalbital + Caffeine,Fiorinal
APRD00260,Cladribine,Mavenclad
APRD01300,Ranolazine,Ranexa
DB06396,Mesalazine,Mesalamine
APRD00748,Benzatropine,Benztropine Mesylate
APRD00540,Ziprasidone,Ziprasidone Hydrochloride
APRD00463,Methysergide,Sansert
APRD00836,Cabergoline,Cabergoline
DB03778,Idoxuridine,Sandoz Idoxuridine
APRD00345,Dapsone,Dapsone
APRD00659,Terconazole,Terconazole
APRD00241,Phenytoin,Extended Phenytoin Sodium
APRD01091,Medrysone,Hms
APRD00597,Doxycycline,Doxycycline Hyclate
EXPT01164,Diethylstilbestrol,Stilbestrol Tab 1mg
APRD00244,Clotrimazole,Clotrimazole
APRD00839,Calcium Acetate,Calcium Acetate
APRD00438,Sulfanilamide,Avc
DB03123,Cycloserine,Cycloserine
APRD00798,Anagrelide,Anagrelide
APRD00006,Carmustine,BiCNU
APRD00595,Sulfisoxazole,Apo Sulfisoxazole Tab 500mg
APRD00208,Metoprolol,Metoprolol Succinate
APRD00211,Crotamiton,Eurax
APRD00302,Ropinirole,Ropinirole Hydrochloride
APRD00298,Isradipine,Isradipine
APRD00913,Diatrizoate + Iodipamide,Sinografin - Liq Iu
APRD00237,Topiramate,Topiramate
APRD00223,Olmesartan,Olmesartan Medoxomil
APRD00064,Amsacrine,Amsa Pd Inj 50mg/ml
DB09359,Theophylline,Theolair
APRD00105,Argatroban,Argatroban
APRD01074,Liothyronine,Liothyronine Sodium
APRD00507,Disopyramide,Disopyramide Phosphate
DB05291,Lidocaine,Lidocaine Hydrochloride
APRD01161,Pamidronate,Pamidronate Disodium for Injection
APRD00875,Clemastine,Clemastine Fumarate
APRD00656,Acarbose,Acarbose
APRD00125,Venlafaxine,Venlafaxine
APRD00396,Conjugated estrogens,Premarin
APRD01271,Travoprost,Travatan Z
APRD00788,Amcinonide,Cyclocort
APRD00614,Atomoxetine,Atomoxetine Hydrochloride
EXPT00718,Bleomycin,Bleomycin
APRD00115,Chlorambucil,Leukeran
APRD00965,Etomidate,Etomidate
EXPT01092,Raltitrexed,Tomudex
APRD00766,Etonogestrel,Nexplanon
DB05354,Morphine,Morphine sulfate
APRD00492,Ropivacaine,Ropivacaine Hydrochloride
APRD00247,Bupivacaine,Burapren 0.75%
DB01730,Penciclovir,Denavir
DB13426,Lamivudine + Tenofovir disoproxil,Cimduo
APRD00609,Flucloxacillin,Fluclox 500 Cap 500mg
EXPT00508,Tranexamic Acid,Skinmd Laboratories Pure Whitenol Serum
APRD00952,Ertapenem,Ertapenem
APRD00762,Desogestrel + Ethinyl Estradiol,Cyred EQ
APRD00284,Mitomycin,Mitomycin
APRD00114,Bexarotene,Bexarotene
APRD01025,Ibutilide,Ibutilide Fumarate
APRD00392,Vindesine,Eldisine Inj 5mg/2ml
APRD00127,Chlorthalidone,Chlorthalidone
APRD01174,Pentobarbital,Pentobarbital Sodium
APRD00066,Valproic Acid,Mylan-divalproex
APRD00844,Capreomycin,Capastat Sulfate
APRD00376,Zolmitriptan,Zolmitriptan
APRD00252,Acetaminophen + Chlorphenamine + Pseudoephedrine,Sinus Ultra Strength Tablet
DB07998,Gefitinib,Apo-gefitinib
DB09471,Acetaminophen + Codeine,TYLENOL with Codeine
APRD00325,Piperacillin + Tazobactam,Piperacillin and Tazobactam for Injection
DB05743,Dihydroergotamine,Dromelate
APRD00227,Amitriptyline,Amitriptyline Hydrochloride
APRD00692,Floxuridine,Floxuridine
APRD00445,Tolcapone,Tolcapone
APRD00980,Fluorometholone,FML Forte
APRD01143,Nitroprusside,Nipride Rtu
APRD00841,Calcium Gluceptate + Calcium gluconate,Liquid Calcium
APRD01021,Hydromorphone,Hydromorphone Hydrochloride
APRD00109,Indomethacin,Indomethacin Extended-Release
APRD00957,Ethambutol,Ethambutol Hydrochloride
APRD01099,Metformin,Metformin Hydrochloride
APRD00537,Ipratropium,Ipratropium Bromide
APRD00485,Methadone,Methadone Hydrochloride
APRD00138,Olanzapine,Olanzapine
APRD00172,Atenolol,Atenolol
APRD01182,Pimecrolimus,Elidel
APRD00446,Omeprazole,Omeprazole
APRD01206,Isoniazid + Pyrazinamide + Rifampicin,Rifater
APRD00630,Cetirizine,Cetirizine Hydrochloride
APRD00606,Terfenadine,Pharmaplus Once A Day Allergy Caplet 120mg
APRD00473,Diltiazem,Cartia XT
APRD00441,Protriptyline,Protriptyline Hydrochloride
APRD00792,Aminohippuric acid,Aminohippurate Sodium Inj Liq 20%
APRD00490,Alfuzosin,Alfuzosin Hydrochloride
APRD00315,Trimethadione,Tridione
APRD01141,Nitisinone,Nitisinone Tablets
APRD00307,Clobazam,Clobazam-10
DB08225,Minoxidil,Hair Regrowth Treatment
APRD01092,Megestrol acetate,Megestrol Acetate
APRD00290,Tioguanine,Lanvis
APRD00739,Methylergometrine,Methylergonovine Maleate
EXPT00605,Aztreonam,Azactam
APRD00308,Chlorzoxazone,Chlorzoxazone
APRD00592,Aminoglutethimide,Cytadren Tab 250mg
APRD00300,Mefloquine,Mefloquine Hydrochloride
APRD00190,Sulfadiazine,Sulfadiazine
DB02692,Sapropterin,Kuvan
APRD00101,Vinorelbine,Vinorelbine
APRD01301,Anidulafungin,Eraxis
APRD00470,Clozapine,Versacloz
APRD01238,Sucralfate,Carafate
APRD01003,Grepafloxacin,Raxar
APRD00937,Acetaminophen + Dextromethorphan + Doxylamine + Phenylephrine,Alka-Seltzer Plus Maximum Strength Day and Night Cold and Flu PowerMax Gels
APRD00106,Levonorgestrel,Norlevo
APRD01299,Norepinephrine,Norepinephrine bitartrate
APRD00148,Cidofovir,Mar-cidofovir
APRD00685,Mirtazapine,Remeron
APRD01095,Meprobamate,Meprobamate
DB08625,Timolol,Timoptic
APRD01272,Treprostinil,Orenitram
APRD00884,Colestipol,Colestipol Hydrochloride
APRD00070,Trihexyphenidyl,Trihexyphenidyl Hydrochloride
APRD00351,Palonosetron,Palonosetron Hydrochloride
APRD00242,Mexiletine,Mexiletine Hydrochloride
DB02444,Dexrazoxane,Zinecard
APRD00520,Amlodipine,Amlodipine Besylate
APRD00079,Hydrochlorothiazide + Triamterene,Triamterene hydrochlorothiazide
APRD00662,Valrubicin,Valstar
APRD00383,Procyclidine,Pendo-procyclidine
APRD00365,Acetylsalicylic acid + Dextromethorphan + Phenylephrine,ALKA SELTZER PLUS Cold Day and Night Effervescent
APRD00098,Digoxin,Digoxin
APRD00729,Ethopropazine,Parsitan 50mg
APRD00612,Nimodipine,Nimodipine
DB11897,Beclomethasone dipropionate,Qvar Redihaler
APRD00417,Carisoprodol,Carisoprodol
APRD00700,Progesterone,Progesterone
DB09441,Acetaminophen + Caffeine + Diphenylpyraline + Phenylpropanolamine,Emercidin D Tab
DB07438,Sorafenib,Nexavar
DB06286,Zoledronic acid,Zoledronic Acid
APRD01004,Griseofulvin,Ultramicrosize Griseofulvin
APRD00635,Nisoldipine,Nisoldipine
APRD00431,Eszopiclone,Eszopiclone
DB05925,Alprazolam,Alprazolam
APRD00770,Dexbrompheniramine + Phenylephrine,Dallergy
APRD00998,Gentian Violet,GNP Gentian Violet 1%
APRD00574,Loxapine,Loxapine
APRD00162,Mupirocin,Mupirocin
DB02487,Carbachol,Miostat
APRD00403,Rosiglitazone,PHL-rosiglitazone
APRD00156,Pramipexole,Pramipexole Dihydrochloride
APRD00773,Acetohexamide,Dimelor Tablet 1843 500mg
APRD00320,Ampicillin,Ampicillin
APRD01318,Metocurine Iodide,Metubine Iodide Inj 2mg/ml
DB08415,Phenoxymethylpenicillin,Penicillin V Potassium
APRD00497,Secobarbital,Seconal Sodium Pulvule 240 0.1gm
APRD01118,Miglustat,Miglustat
APRD00358,Promazine,Promazine HCl Inj 50mg/ml
APRD01234,Spironolactone,Spironolactone
APRD00657,Methylphenidate,Methylphenidate Hydrochloride
APRD01102,Methocarbamol,Methocarbamol
APRD00607,Atropine + Hyoscyamine + Phenobarbital + Scopolamine,Phenohytro
APRD00095,Zolpidem,Zolpidem Tartrate
APRD00600,Famciclovir,Famciclovir
APRD00306,Triprolidine,Allerdine
APRD00209,Streptozocin,Zanosar Sterile Powder
APRD00847,Carboprost Tromethamine,Hemabate
APRD01072,Lindane,PMS-lindane Lot 1%
APRD01275,Tipiracil + Trifluridine,Lonsurf
APRD00624,Prochlorperazine,Prochlorperazine Maleate
APRD00033,Cyproheptadine,Cyproheptadine Hydrochloride
APRD01142,Nitric Oxide,INOmax
APRD00666,Bendroflumethiazide + Nadolol,Nadolol and Bendroflumethiazide
DB03027,Allopurinol,Allopurinol
APRD00857,Ceftazidime,Fortaz
APRD00102,Cerivastatin,Baycol
APRD00103,Sulfamethoxazole + Trimethoprim,Sulfamethoxazole and Trimethoprim
APRD00201,Gemcitabine,Gemcitabine
APRD00948,Entecavir,Entecavir
APRD00513,Betamethasone + Clotrimazole,Clotrimazole and Betamethasone Dipropionate
APRD00649,Teniposide,Vumon
APRD00361,Epirubicin,Epirubicin Hydrochloride
EXPT00942,Chloramphenicol,Pentamycetin Ophthalmic Solution 0.5% - Liq
APRD00077,Lansoprazole,Lansoprazole
APRD00930,Dipivefrin,Apo-dipivefrin
APRD00939,Droperidol,Droperidol
EXPT02993,Levothyroxine,Levothyroxine Sodium
APRD00618,Dexamethasone + Framycetin + Gramicidin D,Sofracort Ear/eye Ointment
APRD00074,Pethidine,Demerol
APRD00384,Loratadine + Pseudoephedrine,Allergy Relief d 12
EXPT00946,Cefalotin,Ceporacin
APRD00020,Prazosin,Prazosin
DB08002,Imipramine,Tofranil
APRD00778,Acitretin,Taro-acitretin
APRD01290,Verteporfin,Visudyne
APRD01128,Nabumetone,Nabumetone
APRD00314,Methylscopolamine bromide,Methscopolamine Bromide
APRD00575,Sodium Tetradecyl Sulfate,Sotradecol
APRD01060,Ketorolac,Acunivive 90
APRD00563,Quinine,Quinine Sulfate
APRD00011,Tenoxicam,Nu-tenoxicam
APRD00571,Dronabinol,Dronabinol
APRD00434,Montelukast,Montelukast Sodium
APRD00530,Fluoxetine,Fluoxetine
APRD00058,Methohexital,Brevital Sodium
APRD00682,Chlordiazepoxide + Clidinium,Nu-chlorax Capsules USP
APRD00060,Duloxetine,Duloxetine
APRD00482,Chlorpromazine,Chlorpromazine Hydrochloride
APRD01219,Rimantadine,Rimantadine Hydrochloride
APRD00550,Amikacin,Amikacin Sulfate
APRD01303,Lenalidomide,Revlimid
APRD00400,Raloxifene,Raloxifene Hydrochloride
APRD00373,Celecoxib,Celebrex
APRD00712,Gallamine Triethiodide,Flaxedil Inj 20mg/ml
APRD00034,Brimonidine + Dorzolamide + Timolol,Tim-Brim-Dor PF
APRD00916,Dicloxacillin,Dicloxacillin Sodium
APRD01127,Nabilone,Cesamet
APRD00652,Altretamine,Hexalen
