drugbank-id,interaction
APRD00115,"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
APRD00115,Food reduces bioavailability.
APRD00115,Take on an empty stomach.
APRD00766,Avoid alcohol.
APRD00766,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00766,"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
APRD00766,Take at the same time everyday.
APRD00766,Take with food.
DB05354,Avoid alcohol.
DB05354,Take with food.
DB05354,"To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
DB13426,"When given with a high-fat meal, the oral bioavailability, AUC, and Cmax increased. "
APRD00609,Take on an empty stomach.
APRD00127,Take with food (increases availability).
APRD00066,Avoid alcohol.
APRD00066,Do not take with milk.
APRD00066,Take with food.
APRD00252,Avoid alcohol (may increase risk of hepatotoxicity).
APRD00252,Take without regard to meals.
DB07998,Avoid fresh grapefruit and its juice during therapy as grapefruit may increase serum product levels.
DB07998,Take without regard to meals.
DB09471,Avoid alcohol.
DB09471,"Take with food, food reduces irritation."
DB09471,"To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
APRD00227,Avoid alcohol.
APRD00227,Avoid excessive quantities of coffee or tea (caffeine).
APRD00227,Avoid St.John's Wort.
APRD00227,Take with food to reduce irritation.
APRD01021,Take without regard to meals. Avoid alcohol.
APRD00109,Avoid alcohol.
APRD00109,Take with food or antacids to reduce irritation.
APRD00957,Take with food to reduce irritation.
APRD01099,Avoid alcohol.
APRD01099,Take with food to reduce gastric irritation.
APRD00485,Take without regard to meals. Avoid alcohol. Usually diluted in fruit juice.
APRD00138,Avoid alcohol.
APRD00138,Take without regard to meals.
APRD00172,Consult your doctor before taking large amounts of Vitamin K (Green leafy vegetables).
APRD00172,"Take 30-60 minutes before meals, take at the same time each day."
APRD00446,Avoid alcohol.
APRD00446,Take 30-60 minutes before meals.
APRD01206,Take without regard to meals.
APRD00630,Avoid alcohol.
APRD00630,Take without regard to meals.
APRD00473,Avoid natural licorice.
APRD00473,Take this medication 30 minutes before meals.
APRD00490,"Take after a meal (always the same meal), product bioavailability is reduced when taken on an empty stomach."
APRD00307,Alcohol increases clobazam absorption by 50%.
APRD00307,Take without regard to meals.
DB08225,Take without regard to meals.
APRD01092,Take with food.
APRD00308,Avoid alcohol.
APRD00308,Take without regard to meals.
APRD00592,Take without regard to meals.
APRD00300,Avoid alcohol.
APRD00300,Take with a full glass of water.
APRD00300,Take with food.
APRD00470,Avoid alcohol.
APRD00470,Limit caffeine intake (may reduce clozapine matabolism).
APRD00470,Take without regard to meals.
APRD01238,Avoid alcohol.
APRD01238,"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
APRD01238,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD01238,Take with a full glass of water.
APRD01003,Drink liberally but avoid coffee.
APRD01003,Take without regard to meals.
APRD00106,Avoid alcohol.
APRD00106,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00106,"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
APRD00106,Take at the same time everyday.
APRD00106,Take with food.
APRD00685,Take without regard to meals. Avoid alcohol.
APRD01095,Take without regard to meals. Avoid alcohol.
APRD00884,Take with food.
APRD00242,Take with food to reduce irritation.
APRD00520,Avoid natural licorice.
APRD00520,"Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of amlodipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of amlodipine and may cause toxicity. Avoid grapefruit products while on this medication. "
APRD00520,Take without regard to meals.
APRD00365,Take without regard to meals.
APRD00098,Avoid avocado.
APRD00098,Avoid bran and high fiber foods within 2 hours of taking this medication.
APRD00098,Avoid excess salt/sodium unless otherwise instructed by your physician.
APRD00098,"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
APRD00098,Avoid salt substitutes containing potassium.
APRD00098,"Limit garlic, ginger, gingko, and horse chestnut."
APRD00612,"Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nimodipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nimodipine and may cause toxicity. Avoid grapefruit products while on this medication."
APRD00612,"Take at the same time each day, with or without food, but always in the same manner."
DB11897,No food effects were found when given with beclomethasone dipropionate.
APRD00417,Avoid alcohol.
APRD00417,Take without regard to meals.
APRD00700,Avoid alcohol.
APRD00700,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00700,"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
APRD00700,Take at the same time everyday.
APRD00700,Take with food.
DB09441,Limit caffeine intake.
DB09441,Take without regard to meals.
APRD01004, Avoid alcohol.
APRD01004,"Take this medication with a high fat meal, fatty foods increase bioavailability."
APRD00635,"Do not take with grapefruit juice as this has been shown to interfere with nisoldipine metabolism, resulting in a mean increase in C<sub>max</sub> of about 3-fold (up to about 7-fold) and AUC of almost 2-fold (up to 5-fold)."
DB05925,Avoid alcohol.
DB05925,Avoid excessive quantities of coffee or tea (Caffeine).
DB05925,Avoid taking with grapefruit juice.
DB05925,Take with food.
APRD00574,Take with food to reduce irritation. Avoid alcohol.
APRD00316,Take without regard to meals.
APRD00156,"Take without regard to meals, however if nausea is a problem, taking the product with food may reduce its incidence."
APRD00773,Avoid alcohol.
APRD00773,Take without regard to meals.
APRD00320,Take on an empty stomach.
DB08415,Absorption is increased when taken on an empty stomach (one hour before or two hours after meals).
APRD01118,"Take without regard to meals, but always at the same time and in the same way."
APRD01234,Avoid alcohol.
APRD01234,Food increases the bioavailability of spironolactone by almost 100%. 
APRD01234,Spironolactone may decrease the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia.
APRD00657,Avoid alcohol.
APRD00657,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00657,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD01102,Avoid alcohol.
APRD01102,Take without regard to meals.
APRD00607,"Take 30 minutes before meals, and at bedtime."
APRD00095,Avoid alcohol.
APRD00095,Should not be administered with or immediately after a meal.
APRD00600,Take without regard to meals.
APRD00624,Avoid alcohol.
APRD00624,Take with a full glass of water Avoid excessive quantities of coffee or tea (Caffeine).
APRD00624,Take with food.
APRD00033,Avoid alcohol.
APRD00033,Take with food.
APRD00666,Take with food to increase bioavailability.
DB03027,Avoid alcohol.
DB03027,Take with a full glass of water.
DB03027,Take with food.
APRD00102,Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can significantly increase serum levels of this product.
APRD00102,Take without regard to meals.
APRD00103,"Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
APRD00103,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00103,Take with a full glass of water.
APRD00948,Take on an empty stomach.
APRD00948,Taking the product with a high-fat meal or a light snack reduces the maximal concentration by 44 to 46% and total exposure by 18 to 20%.
APRD00513,Take with food to reduce irritation.
APRD00361,Liberal fluid intake to increase urine output and help the excretion of uric acid.
EXPT00942,Take on an empty stomach.
APRD01077,Take on an empty stomach. Food reduces Cmax by 50 to 60%.
APRD00077,Avoid alcohol.
APRD00077,"Food reduces bioavailabilty, but this has very little clinical impact."
APRD00077,Take 30-60 minutes before meals.
EXPT02993,Absorption increased in fasting state and decreased in malabsorption states.
EXPT02993,Consistent administration in relation to meals is recommended.
EXPT02993,No iron or calium carbonate within 4 hours of taking this medication.
EXPT02993,"Oral administration with infant soybean formula, soybean flour, cotton seed meal, walnuts, foods containing large amounts of fiber, ferrous sulfate, and antacids may decrease drug absorption. "
EXPT02993,Take 30-60 minutes before breakfast.
APRD00074,Take without regard to meals. Avoid alcohol.
APRD00384,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00020,Avoid alcohol.
APRD00020,Avoid natural licorice.
APRD00020,Take without regard to meals.
DB08002,Avoid alcohol.
DB08002,Avoid excessive quantities of coffee or tea (caffeine).
DB08002,Avoid St.John's Wort.
DB08002,Do not take fibers at the same time.
DB08002,Take with food.
APRD01128,Avoid alcohol.
APRD01128,Take with food for faster absorption.
APRD01060,Take with food to reduce GI irritation
APRD00563,Take with food to reduce irritation.
APRD00571,Avoid alcohol.
APRD00571,Take without regard to meals.
APRD00434,Take without regard to meals.
APRD00530,Avoid alcohol.
APRD00530,Take with food to reduce irritation and nausea.
APRD00682,Avoid alcohol.
APRD00682,Take without regard to meals.
APRD00060,"Food does not affect maximum levels reached, but delays it (from 6 to 10 hours) and total product exposure appears to be reduced by only 10%."
APRD00060,People taking this product who drink large amounts of alcohol are exposed to a higher risk of liver toxicity.
APRD00060,Take without regard to meals.
APRD00482,Avoid alcohol.
APRD00482,Take with food to reduce irritation.
APRD01303,"When given with a fatty meal, the extent of absorption is reduced."
APRD00400,Avoid alcohol.
APRD00400,Take without regard to meals.
APRD00373,Take without regard to meals.
APRD00373,"Taking this product with a high-fat meal will delay the Cmax, but total absorption will be increased by 10 to 20%."
APRD00916,"Take on an empty stomach, food decreases the availability."
APRD01127,Take without regard to meals. Avoid alcohol.
APRD00222,Always take at the same time with respect to meals.
APRD00222,Avoid alcohol.
APRD00222,Avoid taking grapefruit or grapefruit juice throughout treatment.
APRD00222,Take with food.
APRD01117,"Take with food, at beginning of each meal. Iron needs increased."
APRD00526,"Do not take calcium, aluminum, magnesium or iron supplements, or antacids within 2 hours of taking this medication."
APRD00526,Fosinopril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia. 
APRD00526,"Herbs that may attenuate the antihypertensive effect of fosinopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
APRD00526,High salt intake may attenuate the antihypertensive effect of fosinopril. 
APRD00526,Take without regard to meals.
APRD00416,Take without regard to meals.
APRD00903,Take without regard to meals.
APRD00387,Take without regard to meals. Avoid alcohol.
APRD00984,Take without regard to meals.
APRD00568,Avoid alcohol.
APRD00568,Best effect when taken with food.
APRD00568,Limit caffeine intake.
APRD00538,"Take with food to reduce irritation, limit caffeine intake. Avoid alcohol."
APRD00312,Avoid St.John's Wort.
APRD00312,Take with food.
APRD00911,Take without regard to meals.
DB04134,Take without regard to meals.
APRD00655,Take without regard to meals.
APRD00359,"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use. "
APRD01269,"Herbs that may attenuate the antihypertensive effect of trandolapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice.  "
APRD01269,High salt intake may attenuate the antihypertensive effect of trandolapril. 
APRD01269,Take without regard to meals.
APRD01269,Trandolapril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia. 
APRD01109,Take with food to reduce gastric irritation.
APRD00951,Take at least 1 hour before or 2 hours after any food.
APRD00951,Take with a glass of water.
APRD00408,Drink liberally- 2 to 3 liters/day.
APRD00408,Take with food to reduce irritation.
APRD00644,Avoid taking antacids at same time (up to 2 hours before or after antibiotic).
APRD00644,Avoid taking iron preparations at same time (up to 2 hours before or after antibiotic).
APRD00644,Take without regard to meals.
EXPT00999,Avoid excessive quantities of coffee or tea (Caffeine).
EXPT00999,"Avoid milk, calcium containing dairy products, iron, magnesium, zinc, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
EXPT00999,Take with a full glass of water.
EXPT00999,Take without regard to meals.
APRD00602,Avoid alcohol.
APRD00602,Avoid excessive quantities of coffee or tea (caffeine).
APRD00602,Take with food to reduce irritation.
APRD00063,Benazepril may decrease the excretion of potassium. Salt um may increase the risk of hyperkalemia. substitutes containing potassi
APRD00063,Food slows absorption without decreasing the quantity absorbed.
APRD00063,"Herbs that may attenuate the antihypertensive effect of benazepril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
APRD00063,High salt intake may attenuate the antihypertensive effect of benazepril.
APRD00063,Take without regard to meals.
APRD00142,Avoid alcohol.
APRD00142,Take with food to reduce irritation.
EXPT03204,Vitamin B1 needs increased with long term use.
APRD00380,Take with food to decrease adverse effects.
APRD00377,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00297,Take at the same time everyday.
APRD00157,"Take with food or milk, or in two divided doses 30 minutes apart to decrease nausea."
APRD01187,Take with food. Avoid alcohol.
APRD00570,Take without regard to meals.
APRD00688,Avoid alcohol.
APRD00688,Take with food.
APRD00829,Take without regard to meals.
APRD00353,Milk appears to reduce its absorption.
APRD00353,Take without regard to meals. Limit caffeine intake.
APRD00337,Avoid alcohol.
APRD00337,Avoid taking grapefruit or grapefruit juice throughout treatment.
APRD00337,Grapefruit can significantly increase serum levels of this product.
APRD00337,"Take with food, increases availability and reduces irritation."
APRD00250,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00194,Avoid alcohol.
APRD00194,Avoid natural licorice.
APRD00194,Take with food.
EXPT02427,Avoid alcohol.
EXPT02427,Take with food.
APRD00970,Avoid alcohol.
APRD00970,Take with food to reduce irritation.
APRD00319,Take without regard to meals.
DB07566,Avoid alcohol.
DB07566,Take without regard to meals.
APRD00846,Take on an empty stomach.
APRD01085,"If product causes GI problems, it can be taken during meals."
APRD01085,"May be taken without regard to meals, but preferably 1 hour before a meal."
APRD01063,Take without regard to meals. Drink liberally.
APRD00510,Enalapril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia. 
APRD00510,"Herbs that may attenuate the antihypertensive effect of enalapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice.  "
APRD00510,High salt intake may attenuate the antihypertensive effect of enalapril.
APRD00510,Take without regard to meals.
APRD00706,Avoid alcohol.
APRD00706,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00706,Do not take Aluminum or magnesium antacids or supplements while on this medication.
APRD00706,May take Vitamin D.
APRD00706,"No iron, zinc or fluoride within 2 hours of taking this medication."
APRD00706,Take without regard to meals.
APRD00527,Avoid alcohol.
APRD00527,Take with food to reduce irritation.
APRD00474,Avoid alcohol.
APRD00474,Avoid natural licorice.
APRD00474,Take without regard to meals.
DB11514,Take without regard to meals.
APRD00318,Avoid alcohol.
APRD00318,Take with food.
EXPT00514,Avoid drastic changes in dietary habit.
EXPT00514,Avoid natural licorice.
EXPT00514,Avoid salt substitutes containing potassium.
EXPT00514,Take with food to reduce irritation.
APRD01062,Take without regard to meals.
DB08769,Take without regard to meals.
APRD01058,"When administered with a high fat meal, the bioavailability is increased 2.5 times."
APRD00627,Take with food.
APRD00454,"Grapefruit and grapefruit juice should be avoided throughout treatment, grapefruit can significantly increase serum levels of this product."
APRD00454,"Increases absorption, take 30 minutes before a meal."
APRD00468,Take with food to reduce irritation and increase bioavailability.
APRD00835,Avoid alcohol.
APRD00257,Take without regard to meals.
APRD00094,High-fat meals slow the rate of absorption.
APRD00094,Take with food to reduce irritation.
APRD00272,Avoid milk and multivalent ions.
APRD00272,Take on an empty stomach.
DB03261,"Take with food to reduce the incidence of gastric irritation. Follow with a large glass of water. A lipid rich meal will slightly reduce and delay absorption. Avoid grapefruit and grapefruit juice throughout treatment, grapefruit can significantly increase serum levels of this product."
APRD00088,Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product.
APRD00088,Take without regard to meals.
APRD00633,Avoid alcohol.
APRD00633,Take with food to reduce irritation.
DB07709,Avoid excessive or chronic alcohol consumption.
DB07709,Take without regard to meals.
APRD00536,Avoid alcohol.
APRD00536,Take with food.
APRD00881,Avoid alcohol.
APRD00881,Take without regard to meals.
APRD00561,Take 30-60 minutes before breakfast.
APRD00561,Take with a full glass of water.
DB06189,"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use. "
APRD00340,Avoid alcohol.
APRD00340,Avoid taking with grapefruit juice.
APRD00340,Take with food to reduce irritation.
APRD00340,"When Rayos, the delayed-release tablet, is taken without food, Cmax and bioavailability were lower compared to the fed state. "
APRD00879,"Take with food, since it may reduce gastric irritation."
APRD00585,"Take on an empty stomach, food decreases absorption by 60%."
DB06639,Avoid caffeine containing foods and drinks.
APRD00104,Avoid alcohol.
APRD00104,Avoid drastic changes in dietary habit.
APRD00104,Avoid taking with grapefruit juice.
APRD01086,Lipid rich meals may improve absorption.
APRD01086,Take with food.
APRD01146,Take without regard to meals.
APRD00548,Take without regard to meals. Avoid alcohol.
APRD00494,Take without regard to meals.
APRD01173,Take without regard to meals. Avoid alcohol.
APRD00533,Avoid alcohol.
APRD00533,Food decreases the rate and extent of absorption. 
APRD00661,Take without regard to meals.
APRD00661,Taking the product with food reduces its C<sub>max</sub> by 42% and total drug exposure by 23% (not considered significant).
APRD00335,Avoid alcohol.
APRD00335,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00335,Avoid natural licorice.
APRD00335,Avoid taking with grapefruit juice.
APRD00335,Take with food.
APRD00150,Avoid alcohol.
APRD00150,Take before breakfast.
APRD00515,Take 30 minutes before breakfast and at bedtime.
APRD00583,"Preferably on an empty stomach, rate of absorption is decreased but extenet of absorption remains the same: not really problematic."
APRD00029,Avoid alcohol.
APRD00029,Food reduces the rate of absorption.
APRD00029,Take 30 minutes before meal.
APRD00100,Take without regard to meals.
EXPT01628,Take with food.
APRD00052,"Take without regard to meals. Take at same time each day. Food delays absorption, but does not affect the extent of absorption."
APRD00341,Avoid alcohol.
APRD00341,Avoid drastic changes in dietary habit.
APRD00341,Avoid St. John's Wort.
APRD00341,Consult your doctor before ingesting large amounts of dietary Vitamin K (e.g. from green leafy vegetables).
APRD00341,"Limit garlic, ginger, gingko, and horse chestnut."
APRD00680,Grapefruit juice slows the product's absorption and significantly increases its bioavailability.
APRD01175,"Take on an empty stomach, 1 hour before or 2 hours after meals."
DB02478,Avoid excess salt/sodium unless otherwise instructed by your physician.
DB02478,Take with food to reduce irritation.
APRD01602,"Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
APRD01602,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00983,Avoid alcohol.
APRD00983,Take without regard to meals.
APRD01120,"Herbs that may attenuate the antihypertensive effect of moexipril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
APRD01120,High salt intake may attenuate the antihypertensive effect of moexipril.  
APRD01120,Moexipril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia. 
APRD01120,Take moexipril one hour before or two hours after meals. 
DB07799,Avoid alcohol.
DB07799,Avoid excess salt/sodium unless otherwise instructed by your physician.
DB07799,Increase potassium intake; add a banana or orange juice; unless instructed otherwise.
DB07799,Take with food to reduce irritation.
APRD00677,Caffeine increases absorption.
APRD00677,Take without regard to meals.
APRD00191,Do not take magnesium at the same time.
APRD00191,Take with food since it increases bioavailability and reduces irritation.
APRD00605,"Avoid alcohol, especially with the oral solution since it contains propylene glycol which competes with alcohol for alcohol dehydrogenase metabolism."
APRD00605,"Take with or without food, however avoid lipid-rich meals."
APRD00605,Vitamin E increases amprenavir bioavailability.
APRD00740,"Take with food, more than 6 hours before bedtime increase liquid intake."
DB05067,Take without regard to meals.
DB08563,Take without regard to meals.
APRD00036,Take 30 minutes after a meal (always after the same meal). Taking the drug with food minimizes plasma levels variations.
APRD00681,"Take without regard to meals. Food does not decrease the extent of absorption, but it decreases the Cmax by slowing the rate of absorption."
DB04635,Take on an empty stomach. All foods markedly reduce (up to 90%) ibandronate bioavailabilty. Take with plain water (not mineralized) at least 1 hour before any food. Bioavailability and effect on bone density are both impaired if the patient eats or drinks in less than 1 hour after taking this product. Drink a large glass of water and stay in an upright position for at least 60 minutes after taking this product.
APRD00753,Avoid alcohol.
APRD00753,Take with food to reduce gastric irritation.
DB00715,Take without regard to meals. Avoid alcohol.
APRD00679,Take without regard to meals.
APRD00781,Take without regard to meals.
APRD00810,Avoid alcohol.
APRD00810,Take with food to reduce irritation.
APRD00639,Food decreases absorption. Take on an empty stomach.
APRD00560,"Herbs that may attenuate the antihypertensive effect of lisinopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice. "
APRD00560,High salt intake may attenuate the antihypertensive effect of lisinopril.
APRD00560,Lisinopril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia. 
APRD00560,Take without regard to meals.
APRD00153,Avoid alcohol.
APRD00153,Dissolve under the tongue.
APRD00153,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00593,Take upto 30 minutes before meals.
APRD00363,Take without regard to meals.
APRD00354,Take with food to reduce irritation. Avoid alcohol.
APRD00145,Take on an empty stomach 1 hour before or 2 hours after meals.
DB07886,"Take with food to reduce irritation. Calcium, phosphorous, potassium, Vitamin A, C, D and zinc needs increased with long term use."
APRD00534,Take without regard to meals.
APRD00067,Avoid alcohol.
