citation,drugbank-id,isbn
"23. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 291-2). Edinburgh: Elsevier/Churchill Livingstone.",DB11133,978-0-7020-3471-8
Whateley T. (1992). Microencapsulation of drugs. Hardwood Academic Publishers..,DB11148,3-7186-5247-1
"13. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 159-161). Edinburgh: Elsevier/Churchill Livingstone.",DB11181,978-0-7020-3471-8
"Chapter 39: Histamine, Bradykinin, and Their Antagonists. (2018). In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB11235,978-1-25-958473-2
"Steinhilber, D., Schubert M. and Roth H. (2005). Medizinische Chemie. Deutscher Apotheker Verlag.",DB11274,3-7692-3483-9
"Steinhilber, D., Schubert M. and Roth H. (2005). Medizinische Chemie. Deutscher Apotheker Verlag.",DB11275,3-7692-3483-9
Richard C. Dart (2004). Medical Toxicology Third Edition (3rd ed.). Lippincott Williams & Wilkins.,DB11300,0781728452
"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",DB11053,978-0-07-17803-2
"Bobyrov V., Devyatkina T., Vazhnicha O. and Khristyuk V. (2015). Pharmacology: Textbook for medical higher education institutions (3rd ed.). Nova Knyha.",DB11361,978-966-382-553-3
"53. (2011). In Goodman and Gilman's the pharmacological basis of therapeutics, Pharmacological basis of therapeutics (12th ed.). New York: McGraw-Hill.",DB11367,9780071624428
"Yannai, Shmuel (2003). Dictionary of Food Compounds with : Additives, Flavors, and Ingredients. CRC Press LLC.",DB07980,1584884169
"Yannai, Shmuel (2003). Dictionary of Food Compounds with : Additives, Flavors, and Ingredients. CRC Press LLC.",DB11446,1584884169
"Yannai, Shmuel (2003). Dictionary of Food Compounds with : Additives, Flavors, and Ingredients. CRC Press LLC.",DB11457,1584884169
Lis-Balchin M. (2006). Aromatherapy science (1st ed.). Pharmaceutical Press.,DB11482,0-85369-578-4
"Castile RG, Davis SD (2012). 12. In Kendig & Chernick's Disorders of the Respiratory Tract in Children (8th ed., pp. 211). Elsevier Saunders.",DB11589,978-1-4377-1984-0
"6. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 82-84). Edinburgh: Elsevier/Churchill Livingstone.",DB11601,978-0-7020-3471-8
"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB11626,978-1-25-958473-2
Rene Germanier (2012). Bacterial Vaccines. Academic Press.,DB11735,0323140211
"49. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 612-614). Edinburgh: Elsevier/Churchill Livingstone.",DB11943,978-0-7020-3471-8
"39. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 489-490). Edinburgh: Elsevier/Churchill Livingstone.",DB12161,978-0-7020-3471-8
Kapoor A. and Raju S. (2013). Ilustrated Medical Pharmacology. Jaypee Brothers.,DB12532,978-93-5090-655-2
"Caroline Ashley, Aileen Dunleavy (2017). The Renal Drug Handbook: The Ultimate Prescribing Guide for Renal Practitioners (4th ed.). CRC Press.",DB12783,1498794610
12. (2011). In Applied Pharmacology (pp. 129). Elsevier Health Sciences.,DB13163,978-1-4377-0310-8
"5. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 614, 631-632). Edinburgh: Elsevier/Churchill Livingstone.",DB01361,978-0-7020-3471-8
"25. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 315). Edinburgh: Elsevier/Churchill Livingstone.",DB13200,978-0-7020-3471-8
"Rashid I., Nidal H. Daraghmeh M., Omari A., Babur Z., Chowdhry S., Leharne H., Adnan A. (2011). Profiles of drug substances and related methodology. Academic Press.",DB13249,978-0-12-387667-6
Morton W. and Schuman J. (1993). Toxicology of the eye (4th ed.). Charles C Thomas.,DB13268,0-398-05860-1
Coyne C. (2006). Comparative diagnostics pharmacology. Blackwell publishing.,DB13444,978-0-8138-1753-8
"37. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 455). Edinburgh: Elsevier/Churchill Livingstone.",DB13532,978-0-7020-3471-8
" Maillard, Adam P. Fraise, Peter A. Lambert, Jean-Yves (2007). Principles and Practice of Disinfection, Preservation and Sterilization (pp. 4). Oxford: John Wiley & Sons.",DB13765,0470755067
"43. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 533-534). Edinburgh: Elsevier/Churchill Livingstone.",DB13872,978-0-7020-3471-8
"Sandip Pravin Patel, Razelle Kurzrock (2017). Early Phase Cancer Immunotherapy: Current Cancer Research. Springer.",DB13896,3319637576
"13. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 159-161). Edinburgh: Elsevier/Churchill Livingstone.",DB13913,978-0-7020-3471-8
"25. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 310-312). Edinburgh: Elsevier/Churchill Livingstone.",DB13949,978-0-7020-3471-8
"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II. (pp. 261). Springer, Berlin, Heidelberg.",DBSALT000065,978-3-642-60107-1
"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DBSALT000066,978-3-642-60107-1
"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DBSALT000067,978-3-642-60107-1
"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DBSALT002570,978-3-642-60107-1
"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DBSALT000068,978-3-642-60107-1
"Kathy Moscou, Karen Snipe (2014). Pharmacology for Pharmacy Technicians. Elsevier Health Sciences.",DB13966,9780323292658
"Stefan Dubel, Janice M. Reichert (2014). Handbook of Therapeutic Antibodies, Volume 3: Approved Therapeutic Antibodies (3rd ed.). John Wiley & Sons.",DB13979,978-3-527-32937-3
"Institute of Medicine (US) Panel on Dietary Antioxidants and Related Compounds (2000). Dietary Reference Intakes for Vitamin C, Vitamin E, Selenium, and Carotenoids. National Academies Press (US).",DBSALT001494,0309069491
"Institute of Medicine (US) Panel on Dietary Antioxidants and Related Compounds (2000). Dietary Reference Intakes for Vitamin C, Vitamin E, Selenium, and Carotenoids. National Academies Press (US).",DBSALT001457,0309069491
"Institute of Medicine (US) Panel on Dietary Antioxidants and Related Compounds (2000). Dietary Reference Intakes for Vitamin C, Vitamin E, Selenium, and Carotenoids. National Academies Press (US).",DB14003,0309069491
"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",DB14146,978-0-07-162442-8
