category,drugbank-id,mesh-id
UGT1A1 Substrates,DB05354,
Sensory System Agents,APRD00492,D018689
Sensory System Agents,APRD00247,D018689
Tranquilizing Agents,APRD00902,D014149
Xanthine derivatives,DB01730,D013806
Tenofovir Prodrugs,DB13426,
Sulfur Compounds,APRD00609,D013457
Polycyclic Compounds,EXPT00508,D011083
Sulfur Compounds,APRD00952,D013457
Steroids,APRD00762,D013256
Toxic Actions,APRD00284,D004786
Pyrimidinones,APRD01333,D011744
Specialty Uses of Chemicals,APRD00114,D020313
Sulfur Compounds,APRD01025,D013457
Vinca Alkaloids and Analogues,APRD00392,
Thiazide-like Diuretic,APRD00127,
Thiazoles,DB07727,D013844
Pyrimidinones,APRD01174,D011744
Valerates,APRD00066,D014631
Protein Synthesis Inhibitors,APRD00844,D011500
Triptans,APRD00376,D014363
UGT1A1 Substrates,APRD00252,
Tyrosine Kinase Inhibitors,DB07998,
UGT1A1 Substrates,DB09471,
Sulfur Compounds,APRD00325,D013457
Vasoconstrictor Agents,DB05743,D014662
UGT1A1 Substrates,APRD00227,
Uridine,APRD00692,D014529
Phenols,APRD00445,D010636
Vasoprotectives,APRD00980,
Vasodilating Agents,APRD01143,D014665
Supplements,APRD00841,
Sensory System Agents,APRD01021,D018689
UGT1A1 Substrates,APRD00109,
Polyamines,APRD00957,D011073
Oral Hypoglycemics,APRD01099,
Tropanes,APRD00537,D014326
Serotonin Modulators,APRD00485,
UGT1A1 Substrates,APRD00138,
Sympatholytics,APRD00172,D013565
Sensory Organs,APRD00050,
Sensory System Agents,APRD01182,D018689
Sulfur Compounds,APRD00446,D013457
Pyrazines,APRD01206,D011719
Xanthenes,APRD01101,D014966
Respiratory System,APRD00630,D012137
Respiratory System,APRD00606,D012137
Vasoprotectives,APRD00473,
Serotonin Modulators,APRD00441,
Tests for Renal Function and Ureteral Injuries,APRD00792,
Urologicals,APRD00490,
Oxazolidine Derivatives,APRD00315,
Various Alimentary Tract and Metabolism Products,APRD01141,
Psycholeptics,APRD00307,
Vasodilating Agents,DB08225,D014665
Steroids,APRD01092,D013256
Toxic Actions,APRD00290,D004786
Uterotonics,APRD00739,
Respiratory System,APRD00723,D012137
Sulfur Compounds,EXPT00605,D013457
Peripheral Nervous System Agents,APRD00308,D018373
Steroid Synthesis Inhibitors,APRD00592,D065088
Quinolines,APRD00300,D011804
Sulfur Compounds,APRD00190,D013457
Various Alimentary Tract and Metabolism Products,DB02692,
Vinca Alkaloids and Analogues,APRD00101,
Polycyclic Compounds,APRD01301,D011083
Tranquilizing Agents,APRD00470,D014149
Thioglycosides,APRD01238,D013865
Topoisomerase Inhibitors,APRD01003,D059003
Respiratory System,APRD00937,D012137
Steroids,APRD00106,D013256
Vasoconstrictor Agents,APRD01299,D014662
Pyrimidinones,APRD00148,D011744
Serotonin Receptor Antagonists,APRD00685,D012702
Tranquilizing Agents,APRD01095,D014149
Sulfur Compounds,APRD00323,D013457
Thiazoles,DB08625,D013844
Vasodilating Agents,APRD01272,D014665
Toxic Actions,APRD00884,D004786
Tertiary Amines,APRD00070,
Serotonin Receptor Antagonists,APRD00351,D012702
Steroids,APRD00941,D013256
Voltage-Gated Sodium Channel Blockers,APRD00242,D061567
Topoisomerase Inhibitors,DB02444,D059003
Vasodilating Agents,APRD00520,D014665
Psychoanaleptics,APRD00690,
"Synthetic Anticholinergics, Esters With Tertiary Amino Group",APRD00399,
Sodium Channel Blockers,APRD00079,D026941
Topoisomerase Inhibitors,APRD00662,D059003
Tertiary Amines,APRD00383,
Vasoconstrictor Agents,APRD00365,D014662
Thyroid Therapy,APRD00503,
Steroids,APRD00098,D013256
Tranquilizing Agents,APRD00032,D014149
Tertiary Amines,APRD00729,
Vasodilating Agents,APRD00612,D014665
"Steroids, Chlorinated",DB11897,D013258
Peripheral Nervous System Agents,APRD00417,D018373
Steroids,APRD00700,D013256
Vasoconstrictor Agents,DB09441,D014662
Vascular Endothelial Growth Factor Receptor 2 Antagonist,DB07438,
Organophosphorus Compounds,DB06286,D009943
Tubulin Inhibiting Agent,APRD01004,
Vasodilating Agents,APRD00635,D014665
Pyridines,APRD00431,D011725
Tests for Bile Duct Patency,APRD00861,
Triazolobenzodiazepines,DB05925,
Substituted Alkylamines,APRD00770,
Miscellaneous Antifungals,APRD00998,
Polysaccharides,APRD00803,D011134
Tranquilizing Agents,APRD00574,D014149
Tranquilizing Agents,APRD00316,D014149
RNA Synthetase Inhibitor Antibacterial,APRD00162,
Trimethyl Ammonium Compounds,DB02487,D050337
Vasodilating Agents,APRD00403,D014665
Thiazoles,APRD00156,D013844
Urea,APRD00773,D014508
Sulfur Compounds,APRD00320,D013457
Tetrahydroisoquinolines,APRD01318,D044005
Sulfur Compounds,DB08415,D013457
Pyrimidinones,APRD00497,D011744
Various Alimentary Tract and Metabolism Products,APRD01118,
Tranquilizing Agents,APRD00358,D014149
Steroids,APRD01234,D013256
Respiratory and CNS Stimulants,APRD00657,
Phenylcarbamates,APRD01102,D048448
Tropanes,APRD00607,D014326
Psycholeptics,APRD00095,
Sensory Organs,APRD00600,
Respiratory System,APRD00306,D012137
Urea,APRD00209,D014508
Uterotonics,APRD00847,
Third-Generation Cephalosporins,APRD00856,
Toxic Actions,APRD01072,D004786
Toxic Actions,APRD01275,D004786
Tranquilizing Agents,APRD00624,D014149
Serotonin Receptor Antagonists,APRD00033,D012702
Vasodilating Agents,APRD01142,D014665
"Thiazides, Plain",APRD00666,
Xanthine Oxidase Inhibitors,DB03027,
Third-Generation Cephalosporins,APRD00857,
UGT1A1 Substrates,APRD00102,
Trimethoprim and Derivatives,APRD00103,
Toxic Actions,APRD00201,D004786
Xanthine derivatives,APRD00948,D013806
Vasoprotectives,APRD00513,
Topoisomerase Inhibitors,APRD00649,D059003
Topoisomerase Inhibitors,APRD00361,D059003
Sensory Organs,EXPT00942,
Thiazines,APRD01077,D013843
Sulfur Compounds,APRD00077,D013457
Sympathomimetics in Glaucoma Therapy,APRD00930,
Tranquilizing Agents,APRD00939,D014149
UGT1A1 Substrates,EXPT02993,
Sensory Organs,APRD00618,
Tetracyclines,APRD00343,D013754
Serotonin Modulators,APRD00074,
Respiratory System,APRD00384,D012137
Thiazines,EXPT00946,D013843
Vasodilating Agents,APRD00020,D014665
Tricyclics and Other Norepinephrine-reuptake Inhibitors,DB08002,
Terpenes,APRD00778,D013729
Tetrapyrroles,APRD01290,D045725
Sensory System Agents,APRD01128,D018689
Tropanes,APRD00314,D014326
Pyrimidinones,APRD00757,D011744
Vasoprotectives,APRD00575,
Tromethamine,APRD01060,D014325
Stimulants,APRD00269,
Topoisomerase Inhibitors,APRD00947,D059003
Sensory System Agents,APRD00563,D018689
Thiazines,APRD00011,D013843
Terpenes,APRD00571,D013729
Respiratory System Agents,APRD00434,D019141
Vasodilating Agents,APRD00530,D014665
Polycyclic Compounds,APRD01014,D011083
Pyrimidinones,APRD00058,D011744
Tranquilizing Agents,APRD00682,D014149
Thiophenes,APRD00060,D013876
Tranquilizing Agents,APRD00482,D014149
Polycyclic Compounds,APRD01219,D011083
Sensory Organs,APRD00550,
Thalidomide Analog,APRD01303,
UGT1A1 Substrates,APRD00400,
Sulfur Compounds,APRD00373,D013457
Quaternary Ammonium Compounds,APRD00712,D000644
Sympathomimetics in Glaucoma Therapy,APRD00034,
Sulfur Compounds,APRD00916,D013457
Tranquilizing Agents,APRD01127,D014149
Topoisomerase Inhibitors,APRD00108,D059003
Triazines,APRD00652,D014227
Sympatholytics,APRD01230,D013565
Tranquilizing Agents,APRD00222,D014149
Piperidines,APRD01117,D010880
Protease Inhibitors,APRD00526,D011480
Third-Generation Cephalosporins,APRD00854,
Phenols,APRD00416,D010636
UGT1A1 Substrates,APRD00449,
Urologicals,APRD00903,
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,APRD00387,D020230
Vitamin K Antagonists,APRD00166,
Non-Steroidal Anti-Androgens,APRD00984,
Topical Products for Joint and Muscular Pain,APRD01268,
P-glycoprotein/ABCB1 Substrates,APRD00568,
Tranquilizing Agents,APRD00538,D014149
UGT1A1 Inducers,APRD00312,
Sensory System Agents,APRD00733,D018689
"Synthetic Anticholinergics, Quaternary Ammonium Compounds",APRD00286,
Sulfur Compounds,APRD00558,D013457
Tranquilizing Agents,APRD00465,D014149
"Lipid Modifying Agents, Plain",APRD00911,
Steroids,APRD01334,D013256
Peptides,EXPT03217,D010455
Lipids,DB04134,D008055
Serotonin Modulators,APRD00655,
Specialty Uses of Chemicals,APRD00359,D020313
Silicon Dioxide,APRD00819,D012822
Polycyclic Compounds,APRD00800,D011083
Tubulin Modulators,APRD00782,D050257
Protease Inhibitors,APRD01269,D011480
Polycyclic Compounds,APRD00199,D011083
Sympatholytics,APRD00195,D013565
Tests for Pancreatic Function,APRD00818,
Vitamin A,APRD00017,D014801
Thiazide-like Diuretic,APRD01109,
Thiocarbamates,APRD01607,D013859
QTc Prolonging Agents,APRD00186,
Vasoprotectives,APRD00915,
Vasodilating Agents,APRD00193,D014665
Reverse Transcriptase Inhibitors,APRD00669,D018894
UGT1A1 Inhibitors,APRD00951,
Toxic Actions,APRD00408,D004786
Nervous System,APRD00512,D009420
Sulfur Compounds,APRD00151,D013457
Organometallic Compounds,APRD00864,D009942
Third-Generation Cephalosporins,APRD00644,
Guanidines,EXPT01546,D006146
Topoisomerase Inhibitors,EXPT00999,D059003
Specialty Uses of Chemicals,APRD00993,D020313
Tamoxifen,APRD00391,D013629
Tricyclics and Other Norepinephrine-reuptake Inhibitors,APRD00602,
Vinca Alkaloids and Analogues,APRD00495,
Hypotensive Agents,APRD00063,
Serotonin Receptor Antagonists,APRD00142,D012702
Uracil,EXPT03204,D014498
Pyridinium Compounds,APRD00380,D011726
Triazolobenzodiazepines,APRD00724,
"Steroids, Fluorinated",APRD00910,D013259
Misc. Skin and Mucous Membrane Agents,EXPT00598,
Toluene,APRD00377,D014050
Uracil,APRD00297,D014498
Urologicals,EXPT01688,
Ribonucleosides,APRD00202,D012263
Terpenes,APRD00157,D013729
Topical Products for Joint and Muscular Pain,APRD01187,
Voltage-Gated Sodium Channel Blockers,APRD00570,D061567
Ultrasound Contrast Media,APRD01177,
QTc Prolonging Agents,APRD00688,
Sugar Acids,APRD00378,D013400
Vasodilating Agents,APRD00829,D014665
Tetracyclines,APRD01307,D013754
Respiratory System Agents,APRD00935,D019141
Thiazides,APRD00728,D049971
Toxic Actions,APRD00353,D004786
UGT1A1 Inducers,APRD00337,
Peripheral Nervous System Agents,APRD00874,D018373
Sulfur Compounds,APRD01236,D013457
Thiazines,APRD00250,D013843
Vasodilating Agents,APRD00332,D014665
Polysaccharides,DB11728,D011134
Vinca Alkaloids and Analogues,APRD00708,
Vasodilating Agents,APRD00194,D014665
Tropanes,EXPT02427,D014326
Sensory System Agents,APRD00970,D018689
Stimulants,APRD00319,
Sympathomimetics in Glaucoma Therapy,DB07566,
Thiazoles,APRD00684,D013844
Xanthine derivatives,APRD00697,D013806
Sulfur Compounds,APRD00846,D013457
Neurotransmitter Uptake Inhibitors,APRD01085,D014179
Sulfur Compounds,DB07576,D013457
Polysaccharides,APRD01063,D011134
Triazoles,APRD00543,D014230
Trimethyl Ammonium Compounds,APRD01070,D050337
Protease Inhibitors,APRD00510,D011480
Thiazoles,APRD00706,D013844
UGT1A1 Substrates,APRD00527,
Sulfur Compounds,APRD00637,D013457
Steroids,APRD00065,D013256
Serotonin Receptor Antagonists,APRD00636,D012702
Quinazolines,APRD00474,D011799
Vasoprotectives,APRD00977,
Piperazine and Derivatives,DB11514,
Succinimides,APRD00318,D013388
Sodium Channel Blockers,EXPT00514,D026941
Tetracyclines,APRD00019,D013754
Vasoconstrictor Agents,APRD01010,D014662
Specialty Uses of Chemicals,APRD00992,D020313
Vasodilating Agents,APRD01062,D014665
Thiobarbiturates,APRD00660,D013858
Phenols,APRD01121,D010636
Serotonin Modulators,DB08769,
Toxic Actions,APRD01058,D004786
Steroids,APRD00627,D013256
Serotonin Receptor Agonists,APRD00454,D017366
Sensory System Agents,APRD01243,D018689
"Thiazides, Plain",EXPT01082,
Sulfur Compounds,DB08269,D013457
Sensory System Agents,APRD00468,D018689
Toxic Actions,APRD00961,D004786
Vasoconstrictor Agents,APRD00555,D014662
Sensory System Agents,APRD00835,D018689
Sympatholytics,APRD00257,D013565
Quinolines,APRD00796,D011804
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,APRD00988,D020230
Rifamycins,APRD00094,D012294
Prodrugs,APRD00027,D011355
Oxazolidine Derivatives,APRD00236,
Tetracyclines,APRD00272,D013754
Tyrosine Kinase Inhibitors,DB03261,
Vasoprotectives,APRD00422,
Steroids,APRD01151,D013256
Vasodilating Agents,APRD00088,D014665
Tranquilizing Agents,APRD00633,D014149
Testosterone Congeners,DB05275,D045165
UGT1A1 Inducers,DB07709,
Throat Preparations,APRD00816,
Vitamins,APRD00536,D014815
Tranquilizing Agents,APRD00881,D014149
Neurotransmitter Agents,APRD00487,D018377
Organophosphorus Compounds,APRD00561,D009943
Toxic Actions,DB06189,D004786
Lipids,APRD00933,D008055
Sensory System Agents,APRD00578,D018689
Sulfur Compounds,APRD00452,D013457
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",APRD00340,
Toxic Actions,APRD00879,D004786
Respiratory System,APRD00585,D012137
Tests for Renal Function and Ureteral Injuries,APRD01034,
Imidazole Derivatives,APRD00834,
Vasodilating Agents,DB06639,D014665
UGT1A1 Substrates,APRD00104,
Xanthine derivatives,EXPT02075,D013806
Tubulin Modulators,APRD01086,D050257
Tests for Fertility Disturbances,APRD01001,
Throat Preparations,APRD00940,
Specialty Uses of Chemicals,APRD01146,D020313
Sensory System Agents,APRD00548,D018689
P-glycoprotein/ABCB1 Inhibitors,APRD00494,
Toxic Actions,APRD00440,D004786
Vitamins,APRD00698,D014815
Xanthines and Adrenergics,APRD00769,
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,APRD01173,D020230
Vasodilating Agents,APRD01080,D014665
Sensory Organs,APRD01065,
Steroids,APRD00588,D013256
Tranquilizing Agents,APRD00533,D014149
Terpenes,APRD00458,D013729
Specialty Uses of Chemicals,APRD01226,D020313
Sulfur Compounds,APRD00661,D013457
Peripheral Nervous System Agents,APRD00514,D018373
Verapamil,APRD00335,D014700
Respiratory System,APRD01277,D012137
"Steroids, Fluorinated",APRD00975,D013259
Sulfur Compounds,APRD00517,D013457
Non-Steroidal Anti-Androgens,APRD00150,
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",APRD01129,
Vasoconstrictor Agents,EXPT00496,D014662
Vasoconstrictor Agents,APRD00379,D014662
Neurotransmitter Agents,APRD00515,D018377
Third-Generation Cephalosporins,APRD00583,
Urea,APRD00029,D014508
Substance P/Neurokinin-1 Receptor Antagonist,APRD00100,
QTc Prolonging Agents,EXPT01628,
Stilbenes,APRD00123,D013267
Toxic Actions,DB02775,D004786
Protease Inhibitors,APRD00763,D011480
UGT1A1 Substrates,APRD00052,
Tranquilizing Agents,APRD00596,D014149
Voltage-Gated Sodium Channel Blockers,APRD01124,D061567
Therapeutics,APRD00797,D013812
Vitamin K Antagonists,APRD00341,
Tranquilizing Agents,APRD00680,D014149
Sensory Organs,APRD00582,
Topoisomerase Inhibitors,APRD01281,D059003
Vasoprotectives,APRD01175,
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",DB02478,
UGT1A1 Substrates,APRD01602,
Thiazines,APRD00858,D013843
Tranquilizing Agents,APRD00983,D014149
QTc Prolonging Agents,APRD01120,
Vasodilating Agents,APRD00615,D014665
Xanthenes,DB07777,D014966
Topoisomerase Inhibitors,APRD00521,D059003
UGT1A1 Substrates,DB07799,
Vasoconstrictor Agents,APRD00677,D014662
Sensory System Agents,APRD00128,D018689
Renal Agents,APRD00191,D012076
Vasodilating Agents,APRD00617,D014665
Steroids,APRD00707,D013256
Sulfur Compounds,APRD00605,D013457
Ultrafiltration,APRD01026,D014462
Thiazoles,APRD00740,D013844
UGT1A1 Substrates,DB05067,
Reverse Transcriptase Inhibitors,DB08563,D018894
Urologicals,APRD00036,
Tetrapyrroles,APRD00078,D045725
Sensory System Agents,DB05563,D018689
Zalcitabine,APRD00681,D016047
QTc Prolonging Agents,DB04635,
Piperazines,APRD00918,D010879
UGT1A1 Substrates,APRD00753,
Sulfur Compounds,APRD01149,D013457
Urologicals,DB05816,
Serotonin Modulators,DB00715,
Sensory Organs,APRD01137,
Testosterone Congeners,APRD00679,D045165
Reverse Transcriptase Inhibitors,APRD00781,D018894
Respiratory System,APRD00810,D012137
Organophosphorus Compounds,APRD00639,D009943
Vasoprotectives,DB05342,
Specialty Uses of Chemicals,APRD00560,D020313
Vasoconstrictor Agents,APRD00062,D014662
Quinolines,APRD01030,D011804
Polycyclic Compounds,APRD01017,D011083
Tricyclics and Other Norepinephrine-reuptake Inhibitors,APRD00498,
Vasoprotectives,APRD00153,
Steroids,APRD01221,D013256
Respiratory System Agents,APRD00928,D019141
Thiazoles,DB08630,D013844
